N	G	Iteration	dist_percent	z_score
2	10	0	0.035	-1.64406613554
2	12	1	0.222	-0.94085257618
2	15	2	0.004	-1.17318252679
2	14	3	0.217	-1.22796415481
2	17	4	0.046	-1.02702783049
2	14	5	0.249	-1.30082366313
2	18	6	0.061	-1.76059759146
2	15	7	0.238	-0.908644592513
2	14	8	0.387	-0.919946544321
2	15	9	0.004	-1.18827025289
2	13	10	0.415	-1.03781871023
2	17	11	0.313	-0.941108202958
2	10	12	0.391	-0.434075081102
2	11	13	0.043	-1.75292106025
2	17	14	0.018	-1.77853292506
2	12	15	0.426	-0.274674722161
2	16	16	0.501	-0.940251059627
2	12	17	0.001	-1.21486366957
2	15	18	0.0	-1.19343034696
2	16	19	0.171	-1.18499240964
2	18	20	0.5	-0.799105502476
2	12	21	0.379	-0.956541088327
2	14	22	0.146	-0.959963086951
2	10	23	0.01	-1.85638035986
2	14	24	0.02	-1.85861891198
2	14	25	0.395	-1.10210404141
2	16	26	0.022	-2.00100466001
2	59	27	0.175	-1.01136617132
2	17	28	0.35	-0.982101394612
2	12	29	0.127	-1.70203791971
2	14	30	0.454	-0.949093365797
2	18	31	0.197	-1.26155246519
2	11	32	0.492	0.981346520477
2	18	33	0.231	-1.01116634018
2	16	34	0.128	-1.55981594522
2	10	35	0.222	-0.891341109217
2	11	36	0.25	-0.621964833894
2	17	37	0.099	-0.926982199877
2	11	38	0.0	-1.17869321312
2	10	39	0.117	-1.52657582813
2	14	40	0.156	-1.46016134314
2	16	41	0.227	-1.37876278048
2	8	42	0.0	-2.71878597356
2	14	43	0.361	-0.496876814847
2	17	44	0.748	0.991855607922
2	13	45	0.001	-1.1779660735
2	9	46	0.266	-1.24752780147
2	12	47	0.243	-0.947330818586
2	18	48	0.003	-1.18967090984
2	14	49	0.484	-0.938399793966
2	9	50	0.012	-1.82093702213
2	14	51	0.478	-0.805169682228
2	16	52	0.0	-1.17597335745
2	16	53	0.461	-0.930541163404
2	13	54	0.181	-1.23982320734
2	16	55	0.001	-1.21050433392
2	13	56	0.383	-0.626864311526
2	9	57	0.332	-0.882991544405
2	16	58	0.139	-0.972842662202
2	14	59	0.089	-1.71454982557
2	15	60	0.132	-1.38785061976
2	18	61	0.281	-0.883834016815
2	15	62	0.0	-1.20298711668
2	14	63	0.356	-1.05087236987
2	14	64	0.212	-1.39207092876
2	12	65	0.364	-0.898696224864
2	14	66	0.354	-0.892024079949
2	9	67	0.022	-1.31157123492
2	16	68	0.527	-0.785008196019
2	11	69	0.463	-0.908111375877
2	13	70	0.017	-1.46590114489
2	9	71	0.189	-1.41327021798
2	14	72	0.019	-1.00721021944
2	16	73	0.143	-1.36717929381
2	11	74	0.05	-1.32419521573
2	15	75	0.24	-1.10169896804
2	17	76	0.052	-1.04547035161
2	12	77	0.017	-1.77654424359
2	9	78	0.026	-1.35981568971
2	16	79	0.474	-0.817314304298
2	13	80	0.001	-1.19333592626
2	17	81	0.033	-1.14474745179
2	13	82	0.22	-1.35818236787
2	15	83	0.314	-0.934007690559
2	12	84	0.379	-0.506406838304
2	13	85	0.014	-2.21746366424
2	15	86	0.086	-0.957250520179
2	15	87	0.17	-0.939474086549
2	11	88	0.392	-0.316912562909
2	8	89	0.218	-1.38255004951
2	16	90	0.12	-0.9636640399
2	14	91	0.09	-1.62028735508
2	16	92	0.273	-0.983090289789
2	16	93	0.204	-1.25180615479
2	14	94	0.453	-0.968223246399
2	18	95	0.002	-1.18143202839
2	18	96	0.001	-1.25810771932
2	15	97	0.4	-0.895183536604
2	14	98	0.005	-2.01717537614
2	15	99	0.048	-1.38609382298
2	15	100	0.056	-1.56105818597
2	13	101	0.079	-1.32965586176
2	16	102	0.0	-1.21337224576
2	13	103	0.162	-0.860388872131
2	8	104	0.373	-0.865178139407
2	12	105	0.127	-1.40557627155
2	17	106	0.538	0.0866936890483
2	18	107	0.002	-1.20482899335
2	14	108	0.52	-0.791187772129
2	17	109	0.137	-1.33558622862
2	13	110	0.531	1.05329668411
2	12	111	0.475	-0.439641071894
2	16	112	0.511	1.02223491512
2	18	113	0.497	-0.944175162963
2	17	114	0.117	-1.24497226486
2	16	115	0.09	-1.16899469086
2	15	116	0.191	-0.972700941909
2	19	117	0.193	-1.17862485431
2	11	118	0.003	-1.34608257495
2	13	119	0.02	-1.70211382466
2	13	120	0.416	-0.941119604607
2	15	121	0.517	-0.787316155463
2	11	122	0.029	-2.43733272156
