Gene	k_i	C_i
ECB_00212	0	0
ECB_00256	2	0.0
ECB_00376	0	0
ECB_00490	0	0
ECB_00503	0	0
ECB_00624	0	0
ECB_00737	4	0.166666666667
ECB_00739	3	0.333333333333
ECB_00825	1	0
ECB_01252	1	0
ECB_01413	2	0.0
ECB_01992	2	0.0
ECB_01996	0	0
ECB_01999	0	0
ECB_02002	2	0.0
ECB_02003	0	0
ECB_02008	2	0.0
ECB_02035	0	0
ECB_02512	3	0.333333333333
ECB_02798	1	0
ECB_02800	0	0
ECB_02804	4	0.666666666667
ECB_02821	7	0.285714285714
ECB_03516	1	0
ECB_03523	0	0
ECB_03714	0	0
ECB_03951	0	0
ECB_04076	0	0
ECB_04210	0	0
ECB_misc_RNA_47	7	0.380952380952
ECB_misc_RNA_7	2	1.0
ESCRE0483	0	0
ESCRE0749	0	0
ESCRE1328	0	0
ESCRE1397	0	0
ESCRE1901	1	0
ESCRE2157	0	0
ESCRE3628	0	0
ESCRE4497	2	1.0
IS3_insF	0	0
IS5_ESec3	3	1.0
abgB	0	0
actP	2	1.0
adhE	0	0
araE	2	1.0
argA	3	0.666666666667
aroA	0	0
aroK	0	0
aspA	0	0
atoC	3	0.333333333333
atpC	0	0
atpE	0	0
atpF	1	0
atpG	3	0.333333333333
azoR	0	0
bcsB	0	0
bglJ	0	0
bssR	0	0
cbpA	2	1.0
clpB	6	0.333333333333
cls	0	0
crp	7	0.0952380952381
cusC	0	0
cysH	0	0
cysQ	0	0
dacA	3	1.0
dapA	3	0.333333333333
dedA	0	0
deoA	0	0
dfp	0	0
dgsA	0	0
dgt	0	0
dinG	0	0
dld	0	0
dnaA	8	0.178571428571
dnaX	0	0
dppD	0	0
dusB	5	0.2
eamA	3	0.0
ebgA	0	0
efeO	2	1.0
emrB	0	0
endA	0	0
entF	3	1.0
envZ	0	0
eutJ	0	0
fadH	2	1.0
fadL	0	0
fbp	6	0.133333333333
fcl	4	0.166666666667
fimE	1	0
fis	8	0.285714285714
flgC	0	0
flhA	0	0
folM	7	0.52380952381
frmB	1	0
frmC	0	0
fruK	3	0.666666666667
fsr	0	0
ftsH	5	0.6
ftsW	3	0.666666666667
fusA	0	0
gabD	0	0
gcp	0	0
glgA	0	0
glgC	6	0.133333333333
glgP	4	0.0
glgX	1	0
glmM	1	0
glmS	3	0.333333333333
glpE	0	0
glpF	0	0
glpG	2	1.0
glpK	1	0
glpR	5	1.0
glpT	7	0.142857142857
gltB	0	0
gltL	0	0
gor	0	0
gspF	0	0
gspG	1	0
gyrB	0	0
hemA	0	0
hemL	1	0
hrpA	0	0
hsdR	0	0
hslU	1	0
hupB	13	0.141025641026
hycE	0	0
hyfG	0	0
hypE	2	1.0
iclR	0	0
ilvE	0	0
ilvG	0	0
ilvL	2	0.0
infB	3	0.333333333333
ispH	2	1.0
kefC	0	0
kpsE	10	0.133333333333
kpsM	6	0.266666666667
kpsT	8	0.392857142857
leuV	0	0
leuX	0	0
livJ	0	0
lon	2	1.0
lptB	0	0
lsrG	1	0
lysP	3	1.0
lysR	0	0
malQ	0	0
manX	0	0
manZ	0	0
mdoG	3	0.333333333333
mdoH	5	0.4
mdtE	0	0
metA	4	0.166666666667
metH	5	0.4
metJ	5	0.1
metW	4	0.666666666667
mhpR	0	0
motB	0	0
mraY	0	0
mraZ	4	0.5
mrdA	2	0.0
mrdB	9	0.111111111111
mreB	1	0
mreC	4	0.166666666667
mreD	9	0.138888888889
murA	0	0
murE	0	0
mutL	0	0
nagD	4	0.666666666667
napA	0	0
narG	0	0
narY	0	0
nrdR	0	0
nuoA	0	0
nuoM	0	0
nuoN	1	0
nusA	7	0.047619047619
ompR	6	0.133333333333
orn	1	0
oxyR	2	1.0
pbpG	0	0
pck	1	0
pdhR	3	0.666666666667
pgaB	3	1.0
phnD	0	0
pitB	2	1.0
pmbA	0	0
polB	0	0
potD	0	0
poxA	0	0
ppiA	0	0
ppk	3	0.333333333333
pqiB	0	0
prc	0	0
prfA	0	0
proM	0	0
proQ	0	0
proW	0	0
pta	1	0
puuD	0	0
puuP	3	1.0
pyrB	0	0
rep	4	0.333333333333
rhlB	1	0
rho	0	0
rhsA	0	0
rhsB	0	0
rluB	3	0.666666666667
rmlA	0	0
rmlB	2	1.0
rnc	0	0
rne	0	0
rplF	1	0
rpoA	3	0.333333333333
rpoB	0	0
rpoC	1	0
rpoD	6	0.133333333333
rpoH	0	0
rpoS	5	0.4
rpsA	5	0.1
rpsC	0	0
rpsR	2	1.0
rrlB	0	0
rsmC	0	0
rssB	3	0.0
rtn	0	0
sbcC	3	0.666666666667
sbmA	0	0
sdaC	0	0
secF	5	0.1
sgrR	0	0
slyA	2	0.0
speB	0	0
sucB	0	0
sufD	0	0
sufI	7	0.571428571429
tap	0	0
thiI	0	0
thrA	6	0.2
thrB	0	0
thrS	0	0
tig	2	1.0
tktB	0	0
tldD	0	0
topA	4	0.5
torS	0	0
torY	0	0
treF	0	0
truB	2	0.0
ubiB	0	0
uidB	0	0
ulaG	0	0
uraA	4	0.833333333333
uspA	7	0.142857142857
uvrD	0	0
uxaA	0	0
vacJ	0	0
valT	1	0
wbbC	2	1.0
wbbD	0	0
wcaI	0	0
wzyE	1	0
yahA	0	0
yahG	1	0
yahN	0	0
ybaL	0	0
ybbN	2	1.0
ybeA	2	1.0
ybfA	2	1.0
ybhI	1	0
ybhJ	0	0
ybiO	0	0
ybiV	0	0
ybiW	0	0
ybjE	0	0
ycbC	4	0.166666666667
ycbS	0	0
yccE	7	0.619047619048
yceF	0	0
ycfQ	0	0
ycgV	0	0
yciQ	0	0
ycjP	0	0
ydaE	4	0.666666666667
ydbD	0	0
ydcD	0	0
ydcN	3	0.666666666667
ydcR	0	0
ydcU	0	0
yddV	0	0
ydeH	0	0
ydeJ	4	0.833333333333
ydgR	0	0
ydiJ	0	0
yebS	0	0
yecP	0	0
yedW	3	1.0
yeeJ	2	1.0
yegE	0	0
yehU	6	0.133333333333
yejA	1	0
yejM	1	0
yfaE	3	0.666666666667
yfcD	0	0
yfcI	0	0
yfcN	2	1.0
yfdC	0	0
yfeY	1	0
yfgA	0	0
yfhK	1	0
yfiB	0	0
ygaD	3	0.666666666667
ygcN	0	0
ygdH	0	0
ygfA	2	1.0
ygfK	0	0
yggG	0	0
ygiV	2	1.0
ygjF	0	0
yhaO	0	0
yhdJ	0	0
yhhA	0	0
yhhF	7	0.571428571429
yhiO	0	0
yiaG	0	0
yicC	3	0.333333333333
yjaG	5	0.6
yjaH	0	0
yjbA	0	0
yjcC	0	0
yjcF	2	0.0
yjcO	0	0
yjcR	2	1.0
yjeP	3	0.666666666667
yjgN	0	0
yjgQ	1	0
yjhA	0	0
yjhC	0	0
ykgE	0	0
ykgG	3	0.0
ylaB	1	0
ylbH	0	0
yncB	0	0
yneH	0	0
ynjA	0	0
ynjI	3	1.0
yqeA	0	0
yraL	4	0.333333333333
yraM	0	0
yraQ	0	0
znuA	0	0
zraR	0	0
