Gene	k_i	C_i
ECB_00212	1	0
ECB_00256	3	0.666666666667
ECB_00376	1	0
ECB_00490	0	0
ECB_00503	0	0
ECB_00624	0	0
ECB_00737	5	0.5
ECB_00739	3	0.333333333333
ECB_00825	2	1.0
ECB_01252	2	1.0
ECB_01413	3	0.666666666667
ECB_01992	3	0.333333333333
ECB_01996	0	0
ECB_01999	1	0
ECB_02002	3	0.666666666667
ECB_02003	1	0
ECB_02008	3	0.666666666667
ECB_02035	0	0
ECB_02512	4	0.666666666667
ECB_02798	2	0.0
ECB_02800	0	0
ECB_02804	5	0.8
ECB_02821	8	0.392857142857
ECB_03516	1	0
ECB_03523	0	0
ECB_03714	1	0
ECB_03951	0	0
ECB_04076	0	0
ECB_04210	0	0
ECB_misc_RNA_47	8	0.535714285714
ECB_misc_RNA_7	3	1.0
ESCRE0483	0	0
ESCRE0749	0	0
ESCRE1328	1	0
ESCRE1397	1	0
ESCRE1901	2	1.0
ESCRE2157	0	0
ESCRE3628	1	0
ESCRE4497	3	1.0
IS3_insF	1	0
IS5_ESec3	4	1.0
abgB	0	0
actP	3	1.0
adhE	0	0
araE	3	1.0
argA	4	0.833333333333
aroA	0	0
aroK	0	0
aspA	0	0
atoC	4	0.5
atpC	0	0
atpE	0	0
atpF	2	1.0
atpG	3	0.333333333333
azoR	1	0
bcsB	0	0
bglJ	0	0
bssR	0	0
cbpA	3	0.666666666667
clpB	7	0.47619047619
cls	1	0
crp	8	0.321428571429
cusC	0	0
cysH	0	0
cysQ	0	0
dacA	4	0.833333333333
dapA	4	0.666666666667
dedA	0	0
deoA	0	0
dfp	0	0
dgsA	1	0
dgt	0	0
dinG	0	0
dld	0	0
dnaA	9	0.333333333333
dnaX	0	0
dppD	0	0
dusB	6	0.466666666667
eamA	4	0.5
ebgA	0	0
efeO	3	1.0
emrB	0	0
endA	1	0
entF	4	1.0
envZ	0	0
eutJ	0	0
fadH	2	1.0
fadL	0	0
fbp	7	0.380952380952
fcl	5	0.5
fimE	2	1.0
fis	9	0.416666666667
flgC	0	0
flhA	0	0
folM	8	0.642857142857
frmB	2	1.0
frmC	0	0
