N	prob_greater	prob_greater_025	prob_greater_975
6	0.4760649350649351	0.39932067932067933	0.5514685314685315
10	0.4345954045954046	0.3604595404595405	0.5088311688311689
14	0.4123706293706294	0.33548451548451547	0.48837162837162834
18	0.38685714285714284	0.31290709290709295	0.46217782217782216
22	0.3663306693306693	0.2938261738261739	0.43982017982017985
26	0.34667532467532464	0.2768031968031968	0.41884115884115886
30	0.3300789210789211	0.26525474525474524	0.40009990009990004
34	0.32753046953046955	0.2608991008991009	0.39888111888111893
38	0.3062927072927073	0.24171828171828172	0.3745454545454545
42	0.3116813186813187	0.24555444555444556	0.3807992007992009
46	0.29301098901098904	0.23086913086913086	0.35802197802197794
50	0.306993006993007	0.2435764235764236	0.3753846153846154
54	0.2927442557442558	0.23026973026973027	0.35548451548451554
58	0.2792547452547452	0.2189010989010989	0.34205794205794204
62	0.2685334665334665	0.20871128871128872	0.33166833166833165
66	0.2580399600399601	0.1999200799200799	0.31916083916083915
70	0.24827472527472524	0.19204795204795208	0.30823176823176823
74	0.23763936063936064	0.1841958041958042	0.29716283716283715
78	0.23384415584415585	0.17904095904095904	0.29264735264735264
82	0.210004995004995	0.1606793206793207	0.26387612387612386
86	0.1985944055944056	0.14927072927072926	0.24969030969030967
90	0.1827872127872128	0.13836163836163837	0.23334665334665336
94	0.17512987012987014	0.13288711288711288	0.22115884115884119
98	0.1625924075924076	0.12421578421578422	0.20601398601398604
102	0.14057642357642358	0.10683316683316685	0.1789010989010989
106	0.12067632367632368	0.09354645354645355	0.15144855144855146
110	0.09917782217782217	0.08053946053946053	0.12025974025974026
114	0.07986713286713287	0.07144855144855146	0.08963036963036965
