N	G	Power	Power_025	Power_975	z_score_mean	z_score_025	z_score_975
5	31.175	0.118	0.06	0.18	0.37470974109670124	0.17232155766555576	0.5846101828152084
10	54.173	0.292	0.21	0.38	0.9276471526296786	0.7221560217220129	1.1334509948880804
15	73.309	0.327	0.24	0.41	1.042893804992139	0.8466990408394461	1.241612768665125
20	91.779	0.375	0.29	0.47	1.2056551006544003	1.0017671322722674	1.403109642831193
25	109.634	0.4	0.31	0.49	1.315375267593099	1.1033647750917075	1.528560392075893
30	126.566	0.446	0.36	0.54	1.4622981749726436	1.2386681461730422	1.6828874049617173
35	141.439	0.422	0.33	0.51	1.4747413631461928	1.2375832224511576	1.716622529567849
40	156.541	0.445	0.35	0.54	1.5648493993855956	1.3348092116521846	1.799352748621055
45	171.394	0.463	0.37	0.56	1.6364850801817552	1.4097670932090218	1.8672532628754042
50	184.52	0.484	0.39	0.58	1.7755115593103579	1.5438898309899516	2.011276901604887
55	201.464	0.483	0.39	0.58	1.8430758203764872	1.603403826879758	2.083271562611186
60	213.606	0.473	0.38	0.57	1.8357708754341306	1.5942391418872917	2.075172963395713
65	228.482	0.508	0.41	0.6	2.009946686709075	1.7608184615284097	2.2520939410078666
70	241.656	0.499	0.41	0.59	2.062689202906637	1.822265994853874	2.3091211741966844
75	254.822	0.451	0.36	0.55	2.0297819654988842	1.7809648863996572	2.282512723067529
80	267.565	0.474	0.38	0.57	2.1296361062263887	1.8826464025030711	2.3805250365201003
85	282.064	0.469	0.38	0.56	2.139792757590442	1.9110585440451033	2.3825492030841082
90	294.938	0.468	0.37	0.56	2.2509791122751754	2.01591047504658	2.4936991211312183
95	305.928	0.435	0.34	0.53	2.203926245014663	1.9863659048591251	2.4342258322600774
100	318.243	0.364	0.28	0.46	2.0729030351049715	1.865182388734069	2.295429797793238
105	332.194	0.318	0.23	0.41	2.0648182874288206	1.8722330187599574	2.2699471242358467
110	344.069	0.215	0.14	0.29	1.939739590229538	1.7959418835366308	2.1069670279735333

