Gene	z_score	p_score
ybaL	0.0959883264744	0.3019
ESCRE0483	0.109767457211	0.1845
cls	0.439445786128	0.148
motB	-0.323018519483	0.4184
rho	3.39679795529	0.0071
rpoB	-0.482004952233	0.6528
iclR	1.7453641889	0.0328
rpsR	0.669741175171	0.0301
ECB_01992	-0.966090861142	0.8438
ECB_01996	0.679402523043	0.1247
vacJ	0.812555796054	0.1111
glpR	0.251964682645	0.2641
glgP	-0.805226673251	0.8265
thrB	-0.252273815583	0.3348
mrdA	-0.976243392361	0.9144
rssB	-0.200379311424	0.4742
kpsM	-0.683716687647	0.8116
ECB_03523	-0.266813022305	0.3478
ilvL	-2.5227667144	0.9467
mrdB	0.515625743886	0.1942
infB	1.81357450402	0.0425
mreD	-0.355764171673	0.5564
fis	-0.571513471277	0.9332
yjhA	-0.377204040379	0.5155
murE	-0.42626357512	0.8245
ESCRE0749	-0.360302580168	0.4802
ybiW	-0.448574539984	0.8441
ycbS	-0.429096489032	0.8361
abgB	-0.45963445159	0.8267
nuoA	-0.45502614238	0.7501
lysR	-0.449852864199	0.8062
mdoG	1.79364012057	0.0395
fadH	3.12418162295	0.0127
rpoA	1.97756486341	0.0403
ESCRE1901	1.01911407861	0.1491
yecP	0.253702307032	0.1759
rpoD	-0.897427872783	0.8777
mreB	4.36825500327	0.0057
ESCRE3628	1.01341498076	0.1035
rpoC	-0.903735051958	0.8927
fbp	-0.0389203954557	0.3805
ilvE	-0.157203383788	0.2812
wzyE	-0.0350727600147	0.3087
mreC	2.01122989954	0.0405
nrdR	-0.460559469991	0.8208
ynjA	-0.475373191261	0.8388
yehU	-1.01122343827	0.9852
tldD	-0.443490411739	0.873
glgC	-0.261174567893	0.4997
rep	-0.544517154767	0.9107
actP	-0.593901566993	0.9304
ftsW	-0.440702968388	0.7736
ycbC	-0.158657933638	0.367
yfaE	-0.389591666328	0.5373
glpF	3.86759056059	0.0078
sbmA	0.111954663458	0.1958
tktB	0.0240794056716	0.2226
aroK	0.490672124821	0.1401
ECB_00376	-0.339890631344	0.4501
ECB_02008	-0.0710259744965	0.2198
yejM	-0.353315727556	0.5109
ybbN	-0.0913771645621	0.2469
pitB	-0.167571761163	0.2892
crp	-0.589797873787	0.7535
hemA	1.58859486368	0.0621
ECB_01999	2.1151572101	0.0451
kpsD	-0.759256724109	0.854
ilvG	1.50017653488	0.0691
torS	1.78759548579	0.0453
yhaO	-0.400760015363	0.6632
nusA	0.10502283645	0.3335
glgA	-0.560879462622	0.8342
ECB_00825	-0.0658147126543	0.2438
rne	-0.0687407562769	0.2571
rplF	0.315828190173	0.1637
gor	0.0159810282079	0.2225
gyrB	-0.0772525687941	0.2513
lon	-0.435114118646	0.8385
ESCRE4497	-0.373362197934	0.4727
ebgA	-0.298246985972	0.405
uspA	0.821425236048	0.1252
hemL	1.46432729378	0.0655
ECB_00739	0.388113396876	0.1816
kpsE	-0.367404534268	0.5752
dgt	-0.183768410751	0.3115
glmS	-0.0305001864463	0.3177
poxA	-0.152069860842	0.2793
ompR	-0.397387684315	0.5907
secF	0.345429923146	0.1905
ydaE	-0.522660580647	0.9586
metW	-0.511727036288	0.933
glpE	-0.515022169089	0.9655
ispH	-0.476329664112	0.8626
zraR	-0.460807147881	0.8757
metA	-0.440140527143	0.6289
cysQ	-0.462706899717	0.8518
thrA	-0.295604876651	0.4819
entF	-0.255637337632	0.4207
