N	G	Power	Power_025	Power_975	z_score_mean	z_score_025	z_score_975
10	53.743	0.041	0.01	0.08	-0.074423415851929	-0.25685002839098775	0.10917625675567091
100	319.448	0.909	0.85	0.96	2.5411980746800635	2.427637779439957	2.648557791183843
105	331.736	0.949	0.91	0.99	2.7373490355803725	2.6353660668812817	2.835683253864829
110	344.142	0.987	0.96	1.0	2.981110094823276	2.9001023895173397	3.0576662935656476
15	73.32	0.094	0.04	0.15	0.1885034973066977	-0.0016665773540911193	0.3800344209593044
20	91.467	0.141	0.08	0.21	0.433478067515502	0.22648866551316138	0.6396919083732008
25	109.151	0.188	0.12	0.26	0.599355261172793	0.38941207049247195	0.8065185031161706
30	124.616	0.218	0.14	0.3	0.7830702395760184	0.5805663067372878	0.9790162571504092
35	139.742	0.238	0.16	0.32	0.9321324705572885	0.7475097682911281	1.1214410312206569
40	155.968	0.309	0.23	0.4	1.0813034484551296	0.8979565354498454	1.2614613187580026
45	171.268	0.339	0.25	0.43	1.177767890305231	0.9984431445562373	1.3564515933845873
5	31.212	0.013	0.0	0.04	-0.3435281572677023	-0.5150214568635483	-0.17074714668255414
50	185.93	0.371	0.28	0.46	1.2794831222663305	1.112611886774737	1.4440248206337967
55	199.718	0.432	0.34	0.53	1.3934632357036707	1.2140021528476952	1.5681303106416271
60	214.488	0.452	0.36	0.54	1.4878505006743572	1.3188226735641178	1.656481941365723
65	227.779	0.528	0.43	0.62	1.6529702207148267	1.4884245156015703	1.813145383869167
70	241.329	0.599	0.51	0.69	1.800925541637137	1.644603299502557	1.9568922424493738
75	254.855	0.653	0.56	0.74	1.9185558610785574	1.767881649644866	2.073036683500732
80	268.088	0.723	0.64	0.8	2.0808009281928035	1.940236397588247	2.2201203970507626
85	280.929	0.765	0.69	0.84	2.1610379387740015	2.029154262602599	2.2889495258038077
90	293.514	0.794	0.72	0.87	2.254315558593516	2.118258359587089	2.389965788094911
95	305.792	0.86	0.79	0.92	2.3998161923598045	2.2754695875724593	2.518476927893843
