"ECB_02512"	"ECB_02798"	"ECB_02804"	"ECB_02821"	"ESCRE1901"	"IS3_insF"	"IS5_ESec3"	"actP"	"cls"	"crp"	"cysQ"	"eutJ"	"fbp"	"fis"	"glgC"	"glgP"	"glmM"	"glmS"	"glpE"	"glpF"	"glpR"	"glpT"	"hupB"	"hycE"	"hypE"	"iclR"	"ilvE"	"infB"	"ispH"	"kpsD"	"kpsE"	"kpsM"	"lptB"	"metA"	"metH"	"metW"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nagD"	"nrdR"	"nusA"	"ompR"	"pitB"	"ppiA"	"puuP"	"rep"	"rho"	"rhsA"	"rnc"	"rpoB"	"rpoC"	"rpoD"	"rssB"	"secF"	"speB"	"tldD"	"torS"	"truB"	"uspA"	"wzyE"	"ybaL"	"ybbN"	"ybfA"	"ydaE"	"yehU"	"yjhA"	"ynjA"	"zraR"
"ECB_02512"	1	-0.0754218016995726	-0.0505867198419155	0.166557473197378	0.0688055420750551	0.0712532231609656	-0.0497225521109404	0.111112827651068	-0.0466508475387498	-0.0317246110824347	0.0514295973421206	0.00294381996521636	0.095521609949241	-0.213608526640915	0.11453058067663	-0.000494436518212067	-0.0971540601980016	0.163354473806737	0	0.0117447558999406	-0.13176049096992	-0.0861188253776481	0.16361338746877	0.0015518843415757	-0.132119547832087	-0.247528644721407	0	-0.202586602585764	0.0523998775684235	0.182645250149484	0.0410993965529832	0	0.00143977072744848	0	-0.137904606347159	0	0.16278926269597	0.135912310946054	-0.0746930094097065	0.102849689747271	-0.0719798019685764	-0.104779728243128	-0.050686361391239	0.112574312700644	0.0577456765499621	-0.00780354111136658	-0.0898204522873201	0.0927133553332085	-0.0500244411324272	0.215625443704118	-0.188364928250702	0.00324620492632765	-0.0898214503389429	0	0.0308048305507719	0.0114582437383762	-0.212350903255929	0	0.0750534648656607	0.108303315073434	-0.168695322389373	-0.0989692548263904	0.249918358390109	0	-0.0841865693424745	-0.0910778987527251	0.182786535446569	0	0.048810440509141	-0.199435075501595	0.109464908143004	0.0543782657328582
"ECB_02798"	-0.0754218016995726	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.204249099784161	0	0	0	0	0.0310881975846022	0	0	0.00599171750551182	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00768313324058744	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02804"	-0.0505867198419155	0	1	0	0	0	0.0355706227611551	0	0	0	0	-0.00109855043984461	0	0.0022704113730993	0	0	0	0	0	0	0	-0.0323015560447092	0	-0.00527252264377985	0	0.0168779798080552	0.000581481796190881	0	0	-0.000117772733429878	0	0	-0.0066554937729925	-0.00316207819935937	0	0	0	0	-0.021148743879919	0	0	0	0.037947270680713	0	0.00995144835562697	0	0	0	0.0368392301030761	0	0	-0.00687424419554364	0	0	0	-0.195388093800601	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0.166557473197378	0	0	1	0	0	0	0	0	0	0	0	0	-0.000484614315828524	0	0	0	0.0215732224758536	0	0	0	-0.0173599903689113	0.0224600608273097	0	-0.0127925967291448	0	0	0	0	0	0	0	0	0.0536922586915119	0	0	0.0231145934024891	0	-0.0572915481330293	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0464874049243805	-0.0234945626733093	0	0	0	-0.021153829603041	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0.0688055420750551	0	0	0	1	0	0	0	0	0	0	0	0.00159989089850592	0	0	0	0	0	0	-0.0041499776483177	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0360764355636711	0	0	0	0	-0.0129725175864673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0306610692677457	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS3_insF"	0.0712532231609656	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.173457123645832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0378392510382151	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS5_ESec3"	-0.0497225521109404	0	0.0355706227611551	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0287015966406577	0	0	0	0.00851771084925573	0	0	0	0	0	0	0	-0.00479776461128354	0	0	0	0	-0.0168291209532923	0	0	0	0.0329023014289729	0	0.000348971439926604	0	0	0	0.0315902103973327	0	0	0	0	0	0	-0.198069921642178	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0.111112827651068	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.152457462788061	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	-0.0466508475387498	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0302874759411927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	-0.0317246110824347	0	0	0	0	0	0	0	0	1	0	0	0	0	-0.00375159291734259	0	0	0	0	0	0	0.0470775215691692	0	0	0	0	-0.0181604349839394	0	0	0	0	0	0	0.25523446411129	0	0	0	0	0	0	-0.00207267961975815	0	0	0	0	0	0.0566059340493365	0	0	0	0	0	0	0	0	0.0613278931944011	0	0	0	0	0	0	0	-0.0152565512029886	0	0.0548005453981209	0	0	0	0	0	0
"cysQ"	0.0514295973421206	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0075440846046777	0	0	0	0	0.150420492668957	0	0	0	0	-0.0513968311241097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0988033762226391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00111838259123288
"eutJ"	0.00294381996521636	0	-0.00109855043984461	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0258444094805761	0	0	0	0	0	0	0	0	0	0	0	0.0889139898991843	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.164702055308879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
