"ECB_01992"	"ECB_02003"	"ECB_02821"	"ECB_04210"	"ECB_misc_RNA_47"	"ESCRE1328"	"ESCRE1901"	"ESCRE2157"	"ESCRE4497"	"actP"	"atoC"	"atpF"	"cls"	"dppD"	"dusB"	"endA"	"fbp"	"fis"	"flhA"	"frmB"	"frmC"	"ftsW"	"glgA"	"glgP"	"glmS"	"glpF"	"glpR"	"glpT"	"gltL"	"hupB"	"hypE"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"leuX"	"lon"	"manX"	"metH"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"nusA"	"ompR"	"prfA"	"proW"	"pta"	"rho"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rsmC"	"rssB"	"secF"	"slyA"	"tap"	"thrA"	"topA"	"uraA"	"uspA"	"uvrD"	"valT"	"ybaL"	"ycbC"	"ydeJ"	"ydgR"	"ydiJ"	"yehU"	"yejA"	"yfaE"	"yfcI"	"yfgA"	"ygcN"	"yggG"	"yhaO"	"yicC"	"yjcF"	"yjcO"	"yqeA"
"ECB_01992"	1	0.0253794400239598	0	0.110124058359436	-0.102655718289906	-0.0580770607931693	0	-4.88781380873663e-05	0.00610236795397494	0.0131201751885597	0	-0.0141434344542574	-0.0517502911241329	0	0.00948174775987042	-0.0145086278557253	0.025758143353841	0.130942616387929	0.00908569152315744	-0.00447844312358741	-0.0908351225897346	-0.0182652686204722	0	0.0877809462118989	0	0	0.00812431087216597	0	0.0249211577060806	0	0	-0.0367433194096849	0.112114643142362	-0.00101570898657752	0.177794865087887	0.0261044319463479	0.00643289166745331	-0.0543374128365725	0.00942488694445455	0	-0.0966038831102963	0	0.0666265710358498	0	0.0767532108315983	0.0899668492866072	-0.0186021409818609	0	0	-0.0579302674278569	-0.0371081398376005	0.108329871229678	0	-0.0207599856791631	0	0.117629425280203	0	-6.11545980839307e-05	0.121055212600665	-0.000891685402304841	0	-0.095493673232552	-0.09941972526661	0	0	0	0	-0.0167421576203663	-0.103537379337829	0.025113989561976	-0.0152798904549844	-0.0224222859345173	-0.0148579559014933	-0.018134811002743	0.0133217793329678	0.00794879462478909	0.0207658453219621	0.0108809037703645	0	0.0286119270671094	0.0281683336752827	0.00784961575952499	-0.0591107929526404
"ECB_02003"	0.0253794400239598	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0463177973595266	0.00757887407176645	0	0	0	-0.0335814147152858	0.00423663637788143	0.041702263974419	0	0	0	0	-0.00508484702210927	0	0	0.0723721455421706	0	0	0	0.0497144580038892	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.142590881262536	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0291353050232518	-0.00145666263177016	0	0	-0.00025108997122302	0	-0.0309224121653832	0	0	0	0	0	0.0633515545821979	0.0508688097285468	0	0
"ECB_02821"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.078367289194727	0	0	0	0	0.0797518426640589	0	-0.0866199259026496	0	0	0	0	0	0	0	0	0	0.0805179774040325	0	0	0	0	0	0	0	0	0	0	0	0.0780095690728112	0	0	0	0	0	0	0	0	0	0.072291044073755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0136780320202914	0	0	0
"ECB_04210"	0.110124058359436	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0540075000421621	0	0	0	0	0	0	0	-0.0763698044184325	0	0	0.0659345470617842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0737731428727301	0	0	0.0769619027771452	0	0	0	0	0	0	0	0	0	-0.00680458454816363	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0113809156113141
"ECB_misc_RNA_47"	-0.102655718289906	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0226945251684503	0	0	0	0	0	-0.155686567228926	0	0	0	0	0	0	0	0	0	0	-0.0353510898973628	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0593465229544815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027264696006476	0	0	0	0	0	0	0	0	0	0	-0.00164738473364193	0	0	0
"ESCRE1328"	-0.0580770607931693	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0952894737882061	0	0	0	0	-0.0275874346540158	0	0	0.146694689918013	0	0	-0.00218544921572207	0	0	0.016286971326366	0	0	0	0	0	0	0	0	0	0	0	0.0224559177247682	0	0	0	-0.0290707310144655	0	-0.00134684396689434	0	0	-0.00671386695369417	0	0	0	0	0	0	0	0	0	0	-0.0183902025533556	0	0	0	0	0	0	-0.00778516924648425	0	0	0	0	0	0.0396383977598609
"ESCRE1901"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00702516020550995	0	0	-0.0432598131609655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0305514071175989	0	0	0	0	0	0	0.0566735606569973	0	0	0	0	0	0	0.0569390804512878	0	0	0	0	0.0562580801016397	0	0	0	0	0	0.043436275593968	0	0	0.0975321086800925	0	0	0.0765629286102196	0	0	0	0	0
"ESCRE2157"	-4.88781380873663e-05	0	0	0	0	0	0	1	0	0	0.0615569898645443	0	0	0.0592754174491417	0	0	0	0	0	0.0724757011418849	0	0	0	-0.015404021501449	0	0	0	0	-0.0152036049922599	0	0	0.0876469690941865	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0590956457801847	0	0	0	0	0	0.0640193174073172	0	0	0	0	0	0	0	0	0	-0.00542141276790442	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE4497"	0.00610236795397494	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00524474021808714	0	0	0	0	0	0	0	0	0	0	0	0	0.13902710198484	0	0.153675014391407	0	0	0	0.0178656346929812	0	0	0	0	0	0	0	0	0	0	-0.0743699945423393	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0.0131201751885597	0	0	0	0	0	0	0	0	1	0	0	0	0	0.105498334806694	0	0	0	0.110183118288147	0	0	0	0	0	0	0	0.11123596232019	0	0	0	0	0	0	0	0.0860335254359777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.018326803174566	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102050363389996	0	0	0	0	0	0.110411208498802	0
