"ECB_00212"	"ECB_00256"	"ECB_00376"	"ECB_00825"	"ECB_01252"	"ECB_01992"	"ECB_02008"	"ECB_02035"	"ESCRE1901"	"ESCRE3628"	"IS3_insF"	"actP"	"araE"	"aspA"	"atoC"	"atpG"	"azoR"	"cbpA"	"clpB"	"cls"	"dapA"	"deoA"	"dusB"	"efeO"	"fbp"	"flhA"	"fruK"	"glgC"	"glgP"	"glmS"	"glpF"	"glpR"	"glpT"	"gltB"	"gor"	"gspG"	"gyrB"	"hsdR"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"metJ"	"mrdA"	"mreB"	"mreD"	"napA"	"nusA"	"ompR"	"pdhR"	"pta"	"pyrB"	"rho"	"rne"	"rplF"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpsC"	"sdaC"	"secF"	"slyA"	"thiI"	"treF"	"ubiB"	"uspA"	"uxaA"	"wbbD"	"ybaL"	"ybeA"	"ybhI"	"ycjP"	"ydcN"	"yecP"	"yehU"	"yejM"	"yfcI"	"yfgA"	"ygaD"	"yggG"	"ygjF"	"yhhF"	"yjcO"
"ECB_00212"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0186408175422337	0	0	0	0	-0.124132105895833	0	0	0	0	0	0	0	0	0	0	0	0	0.146932511540027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00256"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.106080246884503	0	0	0	0	0.156516815233187	0	0	0	0	-0.00652816118033791	0	0	0	0	0	0	0	0.0431005576254909	0	0	0.00206592891605752	0	0	-0.0190581807765238	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00376"	0	0	1	0	0	0	0.00511390513391545	0	0	0	0	0	-0.0138647992108729	0	0	0	0	0	0	0	0	0	0	-0.0121989822884168	0	0	0	0.0122827839385457	0	0	0	0	0	0	0	0	0	0	0	0.131608047705385	0	0	0	0	0.150129438981407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00102315364167496	0	0	0	0	0	0	0
"ECB_00825"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0144688445503032	0	0	0	0	0	0	0	0	0.000931723653855901	0	0	0	0	0	0	0.0266470190130788	0	0.0250685560062352	0	0	0.205824031046479	0	0	-0.00610672885064871	0	0	0	0	0	0	0	-0.00791176706380551	0	0	0	0.0242896378408036	0.0359306811224922	0	0.0845111425176037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01252"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0948285820095625	0	0	0	0	0.151628144484587	0	0	0	0	0	0	0	0	0	0	0	0	0.0340425784366282	0	0	0	0	0	-0.0019263010640637	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.00554251622495042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0299959030450579	0	0	0	0	-0.0417097167823423	0	0	0	0	0	0	0	0	0	0	0	0	-0.26095995168044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02008"	0	0	0.00511390513391545	0	0	0	1	0	0	0	0	0	-0.0168382775622024	0	0	0	0	0	0	0	0	0	0	-0.0152681259704958	0	0	0	0.0155563964842989	0	0	0	0	0	0	0	0	0	0	0	0.133035103819045	0	0	0	0	0.152206352468434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00494751420639376	0	0	0	0	0	0	0
"ECB_02035"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0935794599863706	0	0	0	0	0.149732588176226	0	0	0	0	0	0	0	0	0	0	0	0	0.0331194208486258	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	0	0	0	0	1	0.0806693389455901	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11569647471259	0	0	0	-0.0236528400788825	0	0	0	0	0	0	0	0	0	0	-0.0378574810569713	0	0	0	0	-0.0205566287784351	0.0366468473609496	0	0	0	0	0	0	0	0	0	0	0	0.0246565955146019	0.195165043910067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0749624450800357	0	0	0.0360807900210491	0	0	0.0216364260783633	0	0	0
"ESCRE3628"	0	0	0	0	0	0	0	0	0.0806693389455901	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0851586120085609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0427922383402944	0	0	0	0	0.00961025880804327	0.0456548015384656	0	0	0	0	0	0	0	0	0	0	0	0.113493962306616	0.105895038467253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0632919882232338	0	0	0	0	0	0	0	0	0
"IS3_insF"	0	0	0	0	0	0	0	0	0	0	1	0	0.0101237764496746	0	0	0	0	0	0	0	0	0	0	0.00839477626986371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0502263446352311	0	0	0	0	-0.174694515539666	0	0	0	0	0	0	0	0	0	0	0	0	0.0162637757523322	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.19307704140076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"araE"	0	0	-0.0138647992108729	0	0	0	-0.0168382775622024	0	0	0	0.0101237764496746	0	1	0	0	-0.00487006261852621	0	0	0	0	0	0	0	0.0340979281978981	0	0	0	-0.0224709316171718	0	0	0	0	0	0	0	0	0	0	0	-0.0555587445634079	0	0	0	0	-0.194127299308917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0105549220921008	0.0238800194483378	0	0	-0.00622944989845645	0	0	0	0	0	0	-0.0146965565658011	0	0	-0.013786005539386	0	0	-0.0154618093319422	0	0	0	0
