"ECB_02821"	"ECB_03523"	"cls"	"glmS"	"glpF"	"hupB"	"ilvL"	"kpsM"	"mraZ"	"mrdA"	"rpoB"	"rssB"	"thrB"	"uspA"	"ybaL"
"ECB_02821"	1	-0.248619795911246	0.239568628053871	0.263425286759831	0.217843803008167	0.28435694189061	-0.210379960294493	-0.302903085624688	0.304777994276843	-0.241583210367212	0	-0.267460763356051	-0.287224600991271	0.223201780203091	-0.435437145436339
"ECB_03523"	-0.248619795911246	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0.239568628053871	0	1	0	0	0	0	0	0	0	0	0	0	0	0
"glmS"	0.263425286759831	0	0	1	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0.217843803008167	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"hupB"	0.28435694189061	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"ilvL"	-0.210379960294493	0	0	0	0	0	1	0	0	0	0	0	0	0	0
"kpsM"	-0.302903085624688	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"mraZ"	0.304777994276843	0	0	0	0	0	0	0	1	0	0	0	0	0	0
"mrdA"	-0.241583210367212	0	0	0	0	0	0	0	0	1	0	0	0	0	0
"rpoB"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
"rssB"	-0.267460763356051	0	0	0	0	0	0	0	0	0	0	1	0	0	0
"thrB"	-0.287224600991271	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"uspA"	0.223201780203091	0	0	0	0	0	0	0	0	0	0	0	0	1	0
"ybaL"	-0.435437145436339	0	0	0	0	0	0	0	0	0	0	0	0	0	1
