"ECB_00739"	"ECB_01992"	"ECB_02002"	"ECB_02804"	"ECB_04076"	"ESCRE1328"	"ESCRE1901"	"IS3_insF"	"IS5_ESec3"	"actP"	"aroA"	"cls"	"crp"	"dapA"	"dusB"	"fbp"	"flhA"	"glgC"	"glgP"	"glmS"	"glpR"	"glpT"	"hslU"	"hyfG"	"iclR"	"ilvE"	"kpsD"	"kpsE"	"leuX"	"metA"	"metJ"	"mrdA"	"mrdB"	"mreB"	"nagD"	"nusA"	"ppiA"	"proQ"	"pta"	"puuP"	"pyrB"	"rho"	"rpoB"	"rpoC"	"speB"	"ubiB"	"wzyE"	"ybaL"	"ybhJ"	"ycbC"	"yehU"	"yfcN"	"yfgA"	"ygjF"	"yjbA"	"yjcO"	"yqeA"	"yraQ"
"ECB_00739"	1	0	0.0986565427119255	0.0153629783836107	0	0.0686917433088601	-0.131728018337322	-0.0234291040669181	0	0	0	0.0452331676321703	-0.0284825386632901	-0.125815204686441	0	-0.115179715808246	0	-0.00285959015907713	-0.150602620326263	-0.126334165765636	0	0	0.100898359151408	0	0.0325468499343066	-0.107368171539762	-0.0451232267593461	0	0.0615579183384013	-0.0324127703635948	0.00161798212215668	0	0	0	0	-0.0430002440719565	-0.113236473994645	0.0987222658499201	0.0625707760866685	0	-0.127980934928729	0.12319567250048	0	-0.16244761884099	-0.0238225711925789	-0.12795905823347	-0.0595412616216171	0	0	0.0767234541171122	0.120388417050248	0.121622879230025	0	-0.127361144220476	-0.000495901581273251	0	0.0638171310542112	0.117630839366972
"ECB_01992"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.272588055585676	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13461185181495	0	0	0	0	0	0	0	0
"ECB_02002"	0.0986565427119255	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.12631483185809	0	0	0	0	0	0	0.0572350672591123	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133467735716869	0	0	0	0	0	0	0	0
"ECB_02804"	0.0153629783836107	0	0	1	0	0	0	0	0.00845673508382983	0	0	0	0	0	0	0.130979876467542	0	-0.031292181103636	0	0	0	0	0	0	0.203035951402083	0	0	0	0	0	0	0	0	0	0.0103278968793238	0	0	0	0	0.00911642803952264	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_04076"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.15349114017865	0	-0.175125413071778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1328"	0.0686917433088601	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0235647904736469	0	0.113924730460783	0	0	0	0	0	0	0.188327915509103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	-0.131728018337322	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.156345469814799	0	0.0622845584074873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.178991710296451	0	0	0	0	0	0	0	0
"IS3_insF"	-0.0234291040669181	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0801559546113645	0	0.126555104268509	0	0	0	0	0	0	0.0897239710737742	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.106640814323443	0	0	0	0	0	0	0	0
"IS5_ESec3"	0	0	0	0.00845673508382983	0	0	0	0	1	0	0	0	0	0	0	0.128819808363469	0	-0.0152353544363576	0	0	0	0	0	0	0.191116964775161	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.161774808741806	0	0.0205965165845871	0	0	0	0	0	0	-0.14713608227926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
