"ECB_00256"	"ECB_00739"	"ECB_01252"	"ECB_01992"	"ECB_01996"	"ECB_02003"	"ECB_02035"	"ECB_02800"	"ESCRE0483"	"ESCRE1901"	"IS3_insF"	"actP"	"aroK"	"clpB"	"cls"	"crp"	"dapA"	"deoA"	"dinG"	"dnaA"	"dnaX"	"dusB"	"fbp"	"fis"	"flhA"	"fruK"	"ftsH"	"glgA"	"glgC"	"glgP"	"glmS"	"glpF"	"glpG"	"glpR"	"glpT"	"gltL"	"hsdR"	"hupB"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"mdoH"	"metA"	"metH"	"metJ"	"motB"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"napA"	"nusA"	"ompR"	"orn"	"oxyR"	"pdhR"	"ppiA"	"ppk"	"pyrB"	"rhlB"	"rho"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpsC"	"rpsR"	"rssB"	"sbmA"	"sdaC"	"secF"	"slyA"	"speB"	"sucB"	"tig"	"tktB"	"torS"	"treF"	"ubiB"	"ulaG"	"vacJ"	"wbbD"	"wcaI"	"yahN"	"ybaL"	"ybjE"	"yccE"	"ycgV"	"ydgR"	"yeeJ"	"yehU"	"yfcN"	"yfgA"	"ygcN"	"ygfA"	"ygiV"	"ygjF"	"yhaO"	"yhhF"	"yicC"	"yjaG"	"yjaH"	"yjcF"	"yjcO"	"yjhA"	"ykgE"	"yraM"	"yraQ"
"ECB_00256"	1	0	0.0936571892492309	0	0	0	0.0455549976384921	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0776347838211798	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121431030829249	0	0	0	0	0	0	0	0.00776066170956503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0877255079792644	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00739"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0892378196630162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131864778129402	0.123600574157949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01252"	0.0936571892492309	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0143209819529297	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.089658601945494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00362518756964244	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	0	0	1	0	0	0	0	0	0	0	0	0	0.106186978531391	0	0	0	0	0	0	0	0	0	0.0771812231281947	0	0	0	0	0	0.0731895292685839	0	0	0	0	0.0302903449276311	0	0	0.189442183203965	0	0.00218820901364695	0	0.0177652528759597	0	0	0	0	0	0	0	0	0	0	0	0.0428045285843508	0	0	0	0	0	0.0653092762941161	0	0	0	0	0	0	0	0	0.0288458644968371	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0168252315857255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01996"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02003"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225067966642222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0242029812400544	0.0141531473962368	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0953519794128479	0	0	0.0492523787197629	0	0	0	0	0
"ECB_02035"	0.0455549976384921	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0623800217550806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02800"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE0483"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0238811343450477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.023161908844674	0	0	0	0	0	0	0.0139254862781079	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112092180115209	0	0	0	0.0733774626166571	0	0	0	0	0	0	0	0	0	0.164733296862126	0	0	0	0	0	0	0	0	0	0	0	0.0978593082713711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
