"ECB_01992"	"ECB_01999"	"ECB_02804"	"ECB_02821"	"ECB_03516"	"ECB_misc_RNA_47"	"ESCRE1901"	"ESCRE2157"	"ESCRE4497"	"IS3_insF"	"IS5_ESec3"	"araE"	"aroK"	"atoC"	"cls"	"crp"	"dppD"	"efeO"	"envZ"	"folM"	"frmB"	"frmC"	"fusA"	"glgC"	"glgP"	"glmS"	"glpF"	"glpR"	"glpT"	"hemA"	"hupB"	"hypE"	"iclR"	"ilvG"	"ilvL"	"infB"	"kpsD"	"kpsM"	"lon"	"malQ"	"metH"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"murA"	"nagD"	"nuoN"	"nusA"	"ompR"	"pta"	"puuP"	"rho"	"rmlA"	"rpoB"	"rpoC"	"rpoD"	"rpsR"	"rssB"	"sbmA"	"secF"	"sufD"	"tap"	"thiI"	"tktB"	"topA"	"uraA"	"uspA"	"wbbC"	"ybaL"	"ydbD"	"yddV"	"ydeJ"	"yehU"	"yicC"	"yjcC"	"yjgN"	"yjgQ"	"yneH"
"ECB_01992"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0816676801007266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0890750928817248	0	0	0	0	0	0	0	0	0	0	0	0	0.0674759325990762	0	0	0	0	0	0	0	0	0	0	0	0.0519242641565161	0	0	0	0.0910712806239304	0	0	0	0	0	0
"ECB_01999"	0	1	-0.00336401489902949	-0.124152851229443	0	0	0	0	0	0	0	-0.0123621429792501	0	0	0	0	0	-0.0135058798330386	0	0	0	0	0	0.0740477476812029	0	0	0	0	0	0.0152529860717626	-0.0220286725107725	0	0	0.0322390292335944	0	0	0.026802895234602	0	0	0	0	0	0	0.0445992589706317	0	0	0	0	-0.0189430940026236	0	0	0	0	0	0	0	0.109435110466068	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02804"	0	-0.00336401489902949	1	0.0345579010136167	0	0	0	0	0	0	0.0141770445225085	0	0	0	0	0	0	0	0	0	0	0	0	-0.171056934689055	0	0	0	0	0	0	0.00307907995517604	0	0	-0.0179237298472194	0	0	-0.0118142007063536	0	0	0	0	0	0	-0.0112942351333354	0	0	0.0164151163855482	0	0.0218983059387854	0	0	0.0135914096644561	0	0	0	0	-0.110627111917929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00508978362889636	0	0	0	0	0	0
"ECB_02821"	0	-0.124152851229443	0.0345579010136167	1	0.17811481556199	-0.0784936540367908	-0.27853325637866	0	0.0474092561347616	0.109301058022735	0.0472662871201056	0.127336821057746	-0.103578796351382	0	-0.0090020803019333	0	0	0.126639765066915	0.169251198112838	0.0565542425063047	0	-0.0683286602857059	0	0.0861875108766762	0.163839140930998	0.0888769651016031	0.0371052460609797	-0.119421974727333	-0.0275269638010003	-0.122974932695703	0.201160471972131	-0.0263446756660265	0	-0.122970324238767	0.149309099909651	0	-0.124595947969958	0.0313986132139642	0.0367149717166963	0	-0.0212382071239748	0.0916579351574962	0.0886666045504261	0	0.112826900417653	0.0540923189992442	0.039564100026282	-0.00212746121247264	0.100305755392242	-0.158232300651834	-0.000630503309571349	0.0370427538373597	-0.055176917043993	-0.000297134691121015	0	-0.0558548010354423	-0.0501806182755242	0.0529546407413274	-0.0248129232476867	-0.107370377204077	0	0	0	0.130488051552603	-0.105156253301317	-0.0702209509097864	-0.0741418815099946	0.0847460270061289	0.00392542254145415	-0.075531178930497	0	0.167223995322377	-0.0981197980697545	-0.1732290891226	0.0522144490863883	0	0	-0.152615923210812	0.0490297265980928
"ECB_03516"	0	0	0	0.17811481556199	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0849570758154794	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0119097482043786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0509750722558173	0	0	0	0	0	0
"ECB_misc_RNA_47"	0	0	0	-0.0784936540367908	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000629317803718351	0	-0.0327260513573755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0606869595924898	0	0	0	0	0	0	0	0	0	0	0	0	0.0332686871691202	0	0	0	0	0	0	0	0	0.00448145776450809	0.0118425128529933	0	0.0181621500611915	0	0	0	0.186627986189566	0	0	0	0	0	0
"ESCRE1901"	0	0	0	-0.27853325637866	0	0	1	0	0	0	0	-0.00101923206168388	0	0	0	0	0	-0.00304029673001846	0	0	0	0	0	0	0	0	0	0	0	0	-0.00875832940938667	0	0	0	0	0	0	0	0	0	0	0	0	0.0765177844556788	0	0	0	0	0	0	0	0	0	0	0	0	0.0828051729072233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE2157"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000187888304600986	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0980841511907993	0	0	0	0	0	0	0	0	0	0	0	0	-0.0601805143235852	0	0	0	0	0	0	0	0	0	0	0	-0.0485255956161322	0	0	0	-0.155725499947053	0	0	0	0	0	0
"ESCRE4497"	0	0	0	0.0474092561347616	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146205851265788	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0048206115946865	0.0159155516516781	0	0	0	0	0.0145890913619465	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.150102029285101	0	0	0	0	0	0
"IS3_insF"	0	0	0	0.109301058022735	0	0	0	0	0	1	0	0	0	0	0	0	0	3.85807471384448e-05	0	0	0	0	0	-0.017164354406973	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.110430794984176	0	0	0	0	0	0	0	0	0	0	0	0	-0.0279528281119008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0146701672025348	0	0	0	0	0	0
