"ECB_00739"	"ECB_01992"	"ECB_01999"	"ECB_02804"	"ECB_03523"	"ESCRE0749"	"ESCRE1901"	"IS3_insF"	"IS5_ESec3"	"abgB"	"actP"	"araE"	"aspA"	"atoC"	"atpE"	"atpG"	"bglJ"	"cbpA"	"cls"	"crp"	"cysQ"	"dacA"	"dapA"	"dusB"	"efeO"	"fbp"	"fis"	"flhA"	"fruK"	"glgA"	"glgP"	"glmM"	"glmS"	"glpF"	"glpR"	"glpT"	"gspG"	"hemA"	"hemL"	"hupB"	"iclR"	"ilvG"	"ilvL"	"infB"	"ispH"	"kpsD"	"kpsE"	"kpsM"	"lysP"	"lysR"	"metA"	"metH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"murE"	"nagD"	"napA"	"nuoA"	"nusA"	"ompR"	"pbpG"	"pmbA"	"ppiA"	"puuP"	"pyrB"	"rho"	"rnc"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsR"	"rssB"	"secF"	"sufD"	"thiI"	"thrB"	"truB"	"ubiB"	"uspA"	"wbbC"	"wzyE"	"yahG"	"ybaL"	"ybeA"	"ybhJ"	"ybiW"	"ycbS"	"ycjP"	"ydcN"	"yehU"	"yfgA"	"ygaD"	"ygjF"	"yhaO"	"yhhF"	"yhiO"	"yjcO"	"yjhA"	"ynjI"	"zraR"
"ECB_00739"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00626530722430317	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.154135198577529	0	0	0.000731163924417899	0	-0.0762418670555004	0	0	0	0	0	0.000831375121384043	0	0	0	0.0769521323795077	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0242731037699478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0501454384170184	0	0	0	0	0	0	0	0	0	-0.00857153198913929	0	0	0	0	0	0	0	0	0	-0.0145654392363969	0	0	0	-0.0152793400369761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00288406303893326	0.211852819085803	0	0	-0.014823501080442	0	0	0	0	0	0	0	0	0	0	0	-0.108182211042755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01999"	0	0	1	0	0	0	0.021951196276142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.01630225677461	0	0	0	0	-0.103440805950517	0.015537597569219	0	0	0	0	0	0	0	0	-0.0864631635962842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0786716027349511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02804"	0	0	0	1	0	0	0	0	0.00178170077981428	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.106649742573586	0	0	0	0	0.125325563649627	-0.00158688456386966	0	0	0.00280529511441505	-0.00444529271672358	0	0	0	0	0.0904393795068141	0	0	0	0	0	0	0	0	0.00972349194970904	0	0	0	0	0	0	0	0.00712610855988918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_03523"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104640923717905	0	0	0	0	-0.0392011244734342	0	0	0	-0.00097379151602572	0	0	0	0	0	-0.129507669092386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0231277684771541	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE0749"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0828057942674407	0	0	0	0	0.116293076472199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.066560841686479	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0.021951196276142	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0347771382229839	0	0.0118061415562487	0	0	-0.062725449623413	0.0208925132123278	0	0	0	0	0	0	0	0	-0.0103832718825115	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.131491478175055	0.0060213398821412	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS3_insF"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0121982340104289	0	0	0	0	-0.0841481861730886	0	0	0	0	0	0	0	0	0	0.0883307427899882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0722479303509894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS5_ESec3"	0	0	0	0.00178170077981428	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0980383822182555	0	0	0	0	0.124603824080574	0	0	0	0	0	0	0	0	0	0.088078190442986	0	0	0	0	0	0	0	0	0.00285371138136645	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"abgB"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0896541878043599	0	0	0	0	0.129889627058459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0715897750959445	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
