"ECB_00256"	"ECB_00376"	"ECB_00825"	"ECB_01252"	"ECB_01992"	"ECB_02002"	"ECB_02008"	"ECB_02035"	"ECB_misc_RNA_7"	"ESCRE1901"	"cls"	"crp"	"dapA"	"deoA"	"dnaA"	"ebgA"	"eutJ"	"fbp"	"glgC"	"glgP"	"glmS"	"glpK"	"glpR"	"glpT"	"gor"	"gyrB"	"hsdR"	"hslU"	"hupB"	"hycE"	"iclR"	"infB"	"kpsD"	"kpsE"	"lptB"	"metJ"	"mrdA"	"mreB"	"mreC"	"nusA"	"pitB"	"proQ"	"pyrB"	"rho"	"rhsA"	"rmlB"	"rne"	"rplF"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rpsC"	"rpsR"	"rssB"	"rtn"	"sdaC"	"secF"	"torS"	"treF"	"ubiB"	"uspA"	"wbbD"	"wzyE"	"ybaL"	"ybbN"	"ybhI"	"ybhJ"	"ycbC"	"ydeH"	"yehU"	"yejM"	"yfcI"	"yfgA"	"yggG"	"ygjF"	"yjcR"	"yjhC"	"ylaB"
"ECB_00256"	1	-0.0156174825906951	0	0.0552421894421008	-0.193293027364806	-0.00190603449143941	-0.0188541226701216	0.0524769862445629	0	0	0	0	0	0	0	0	0	0.0540794258622834	-0.0228658338509951	0.0847219319655122	0	0	0	0	0	0	0	-0.00500553132250448	-0.00648061665323074	0	0	0	0	0	0	0	0	-0.000180086162406477	0	0	0	-0.00452922352566957	0.00209871359138303	0	0	0	0	0	0	0	0	0	0.0556642325075309	0	0	0	0	0	-0.00154380789369443	0	0	0	0	0	0	0	0	0	-0.0150407757236407	0	0	-0.0162095763547811	0	0	0	0	0	0	0
"ECB_00376"	-0.0156174825906951	1	0	0	0.12576278087529	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.14257420905048	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00825"	0	0	1	0	-0.105045343214003	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.193230908396612	0	0	0	0	0.007716695370336	0.00576705621657271	0	0	0	0	0	0	0	0	0	-0.054457325944066	0	0	0	0	0	0	0	0	0	0	0.00394155517950957	0.0135922392555111	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01252"	0.0552421894421008	0	0	1	-0.181113991282713	0	0	0.0245757558282609	0	0	0	0	0	0	0	0	0	0.026889897506254	0	0.0794568657323671	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0291523299848791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	-0.193293027364806	0.12576278087529	-0.105045343214003	-0.181113991282713	1	0.144085720084978	0.128947434226925	-0.177047073641088	-0.174774127594414	-0.0505625654136189	0.0461202815247244	0.0117055641171432	-0.0795782713628226	0.0517973175611428	-0.0540258432048242	-0.190487919426164	-0.0644661115268271	-0.179116685387897	0.131731382951368	0.113189991916044	-0.081119382677822	8.67471669616517e-05	0.167044269300379	-0.0676556391312204	-0.103935789937849	-0.103298492847983	0.0575901875047222	0.147175098606696	0.156264885543121	-0.0668025096491469	0.0132405368417873	0.0645817350078727	-0.238781784788266	-0.0691591224924044	-0.0677703150893399	0.127701039493345	-0.0208554086077393	0.148166837865224	-0.208905301729776	0.00508574656669197	-0.0135255226557627	0.151531312481294	-0.0830616033579692	0.00813009170388609	-0.0672743337319569	-0.164855622936158	-0.103035131859275	-0.105655378692613	0	0	-0.0695754155069862	0.010389699211059	-0.182585891870116	-0.0209270340668834	0.0414657225622817	6.21754635087219e-05	0.0622999216300784	0.0605187577421964	0.0422023116957716	0.0643672848197947	-0.0822697526672218	-0.230576200182365	0.0612841725839748	0.154953184643194	-0.147315757071317	-0.0125776543704687	0.146592647175112	0.152107747086616	0.163403724290991	8.61777643899312e-05	-0.0667134457415942	0.126417826544999	-0.0492831751805819	-0.0598908107023659	-0.0469428121921063	-0.0804639066256516	-0.0644360485616146	-0.0613485995052175	0.00205301268921913
"ECB_02002"	-0.00190603449143941	0	0	0	0.144085720084978	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0177656853862949	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115227327624233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02008"	-0.0188541226701216	0	0	0	0.128947434226925	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.145354040386906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02035"	0.0524769862445629	0	0	0.0245757558282609	-0.177047073641088	0	0	1	0	0	0	0	0	0	0	0	0	0.0228309306869061	0	0.0770546399794341	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0251321790583199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_7"	0	0	0	0	-0.174774127594414	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.028106599850545	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00345452105892972	0	0	0	0	0	0	0	0	0	0.00100780338971203	0	0	0	0.147742920567301	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	-0.0505625654136189	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0499559375493346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
