"ECB_01992"	"ECB_04210"	"ECB_misc_RNA_47"	"ESCRE1328"	"ESCRE1901"	"aroA"	"atpF"	"cls"	"crp"	"dnaA"	"endA"	"fis"	"frmC"	"glgC"	"glgP"	"glpE"	"glpT"	"iclR"	"ilvE"	"ilvL"	"infB"	"kpsD"	"kpsM"	"leuX"	"metH"	"metW"	"mrdA"	"mrdB"	"mreB"	"mreD"	"nusA"	"pta"	"rho"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rsmC"	"secF"	"slyA"	"thrA"	"topA"	"uraA"	"valT"	"wzyE"	"ybaL"	"ydaE"	"ydeJ"	"ydiJ"	"yejA"	"yfcI"	"yfgA"	"yggG"	"yjcR"	"yjhA"	"yjhC"	"yqeA"
"ECB_01992"	1	0.0841344961442552	-0.0773916913587677	0	0	0	0	0	0	0	0	0.0821201199739576	-0.0554440200531288	0.00207755348453866	0.02555020995456	-0.0482426090535605	0	0	0.00174096683236634	0.023355783359856	0	0.168439170813768	-0.0548784671306917	0	-0.0640438050733603	-0.0624883499384014	0	-0.0456976389174085	0.068889465661837	0	0	0	0	0.0178688230676048	0	0.00354677989641579	-0.0566561958521466	0	0.0906867947489295	-0.0481439231056836	0.0924169321788735	0	-0.0651485730042973	-0.072514282943452	0	0	0	-0.0563885073586119	-0.0842464727591268	0	0	0	0	0	0	0	0	0
"ECB_04210"	0.0841344961442552	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0788837525074909	0	0	0	0	0	0	0.0781629365270436	0	0	0	0	0	0	0	-0.0226393876834164	0	0.11032188402379	0	0.113043499698364	0	0	0	0	0	0	0	-0.0408482170830608	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_47"	-0.0773916913587677	0	1	0	0	0	0	0	0	0	0	-0.0538008340915015	0	0	0	0	0	0	0	0	0	-0.179819161252971	0	0	0.000405616482020777	0.000898767930168516	0	0.0198752568440524	0	0	0	0	0	0	0	0	0.054291610483482	0	0	0	-0.00306064618478727	0	0.00202361197363369	0.0122897164954436	0	0	0	0	0.0786081923335338	0	0	0	0	0	0	0	0	0
"ESCRE1328"	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.039515999873092	0	0	-0.0118547455654207	0	0	0	0	-0.170663428557968	0	0.0189183314676864	0	0	0	-0.0601584461324337	0	0	0	0.028751320647397	0	0	0	0	-0.120413359492308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0471780443461323
"ESCRE1901"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118315356150376	0	0	0	0	0	0.102764645883272	0	0	0	0	0	0	0	0	0.205656705115797	0	0	0	0	0.00987186505218575	0	0	0.00805889371868453	0	0	0	0	0	0	0.0451302395485436	0	0.0204126523006923	0	0	0	-0.00441254898386253
"aroA"	0	0	0	0	0	1	0	0	0	0	0	0	0	0.108185834326144	0	0	0.0880984115160434	0	0	0	0	0.166079377165286	0	0	0	0	0	0.0254729549701446	0	0	0	0	0	0	0	0	0.0680074293506172	0	0	0	0	0	0	0	0	0	0	0	-0.0124612289415036	0	0	0	0	0	0	0	0	-0.0177577908961698
"atpF"	0	0	0	0	0	0	1	0	0	0	0.126816433062539	0	0	0	0	0	0	0	0	0	0	-0.0663332978155394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0040657431949967	0	0	0	0	0	0	0	0	0	0	0	0	0.118380867710827	0.13010555800554	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.143183940442166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.146156511524281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0643400434031309	0	0	0	0	0.0608785040482868	-0.00357459399351779	0	0	0.0714125620682769	0	0	0	0	0	-0.0302279924042019	0.221507678783398	0	0	0	0	0	0	0	0	0	0	-0.0317413686356415	0	0	0	0	0	0	0	0	0
"dnaA"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.166321344260446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0258428650870724	0.149382349911355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162165607265725	0	0.175822772335563	0	0.165770859188031	0
