"aroK"	"cls"	"dnaA"	"iclR"	"rho"	"rpoB"	"rpsA"	"sbmA"	"tktB"	"ybaL"	"yfgA"	"yjcR"	"yjhC"
"aroK"	1	0	-0.257334242650348	0	0	0	0	0	0	0	0	-0.24222493773408	0
"cls"	0	1	-0.238263598232411	0	0	0	0	0	0	0	0	-0.22263988549472	0
"dnaA"	-0.257334242650348	-0.238263598232411	1	0	-0.261127842768838	0	0.252211211070884	-0.258214912669214	-0.227902727833555	0	0.164885548828769	0.137349589989958	0.207749637202792
"iclR"	0	0	0	1	0	0	0	0	0	0	0	0	0
"rho"	0	0	-0.261127842768838	0	1	0	0	0	0	0	0	-0.246073374871501	0
"rpoB"	0	0	0	0	0	1	0	0	0	0	0	0	0
"rpsA"	0	0	0.252211211070884	0	0	0	1	0	0	0	0	0.236926335451768	0
"sbmA"	0	0	-0.258214912669214	0	0	0	0	1	0	0	0	-0.243079321527043	0
"tktB"	0	0	-0.227902727833555	0	0	0	0	0	1	0	0	-0.211989611880541	0
"ybaL"	0	0	0	0	0	0	0	0	0	1	0	0	0
"yfgA"	0	0	0.164885548828769	0	0	0	0	0	0	0	1	0.147131776128509	0
"yjcR"	-0.24222493773408	-0.22263988549472	0.137349589989958	0	-0.246073374871501	0	0.236926335451768	-0.243079321527043	-0.211989611880541	0	0.147131776128509	1	0.191283454604466
"yjhC"	0	0	0.207749637202792	0	0	0	0	0	0	0	0	0.191283454604466	1
