"ECB_00212"	"ECB_00739"	"ECB_01992"	"ECB_02821"	"ESCRE1901"	"argA"	"aroA"	"atoC"	"cbpA"	"cls"	"crp"	"dnaA"	"eutJ"	"fbp"	"fis"	"glgA"	"glgC"	"glgP"	"glpF"	"glpG"	"glpT"	"hupB"	"hycE"	"iclR"	"kpsD"	"kpsE"	"lptB"	"manZ"	"metH"	"mraY"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nusA"	"ompR"	"pgaB"	"rho"	"rhsA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rssB"	"sufD"	"uidB"	"uxaA"	"wbbC"	"yahA"	"ybaL"	"yedW"	"yehU"	"yfcD"	"yfcN"	"yfeY"	"ygfK"	"yhaO"	"yraQ"
"ECB_00212"	1	0	0	0.0234078317177353	0	-0.0134211398113436	0	0	0	0	0	0	0	-0.00564461033814124	-0.0230458987139186	0	0.0355030395481504	0	0	0	0	0	0	0	0.0750901510096802	-0.157011466497026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0211364339562632	0	0	0	0	-0.00183906722922121	0.0590373138224806	0.124112164730868	0	0	0	0	0	0	0	0	0	0
"ECB_00739"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0587834414992227	0	-0.0128875562045746	0	0	-0.219106835188308	-0.0185513282952503	0	0	0	0	0	0	0	0	0	0	0	0	-0.0152432211697301	0	0	0	0	0	0	0	0	0	-0.0936246324930115	0	0	0	0	0	0.0343293018774316	0	0	0	0.0227616575181705
"ECB_01992"	0	0	1	0	0	0	0	0	0	0	0.0336441852478027	-0.00498703511621329	0	0	0	0	0	0	0	0	0.0289397111148214	0	0	0	0	0	0	0	0.0226025857302061	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0504219426959509	0	0	0	0.0327523622944268	0	0	0.225375835557988	0	0	0	0	0	0	-0.0268569839180774	0	0	0
"ECB_02821"	0.0234078317177353	0	0	1	0.0673444946664191	0	-0.0749844560257255	-0.155661209644646	-0.15829380800564	0.0642365371675133	0	0	-0.0704486195562123	0	0	0.0393668166992682	-0.101108635700181	0.199081464567204	0	-0.0799917383876719	-0.103944510937948	0.160906180577337	-0.0731480674041563	0.160082909271922	0	-0.0103781918395843	-0.072756000889072	0	0	0.159956664384787	-0.0630608762798897	-0.0851997033678944	0.0668055438934966	-0.0815603589079668	-0.157304657532284	0.0466369929805373	0.0628365655730476	0.162207568963721	0.108143592201112	-0.0729621789415948	-0.0725053269671708	-0.141228672391005	0.175397975620392	0.0306808296045314	-0.153717800431516	0	0	0	0.0227770315053961	0	0	0	0.162114562010853	-0.0316609529289764	0	0	0	0	0.0422926072888423	0
"ESCRE1901"	0	0	0	0.0673444946664191	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0287595121801643	0	0	0	0	-0.164648241815619	0	0	0	0	0	0	0	0	0	0	0.0516634620547466	0	0	0	0	0	0.105074011615157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"argA"	-0.0134211398113436	0	0	0	0	1	0	0	0	0	0	0	0	0.0203867781595051	0.0359136405313632	0	-0.132922096790639	0	0	-0.00217796031367546	0	0	0	0	-0.0501197233961386	0.178364296556447	0	0	0	0	0	0	0	-0.00707627344733904	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0170640525639598	-0.00377159228214758	-0.0408445496817031	0	0	0	0	0	0	0	0	0	0
"aroA"	0	0	0	-0.0749844560257255	0	0	1	0	0	0	0	0	0	0	-0.00224109026693732	0	0.171792553083515	0	0	0	0.100406670660091	0	0	0	0.0605704489885263	-0.00866585550472609	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.090131446054884	0	0	0	0	0	0	0	0	0	0
"atoC"	0	0	0	-0.155661209644646	0	0	0	1	0.0125339890168364	0	0	0	0	0	0	0	0.0758411910583518	0	0	0	0.0315325848480762	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00650971888802477	0	0	0	0	0	0	0	-0.0847686290254958	0	0	0	0	0	0	-0.0930639466016538	0	0	0	0	0	0	0	0	0	0
"cbpA"	0	0	0	-0.15829380800564	0	0	0	0.0125339890168364	1	0	0	0	0	0	0	0	0.080200214226286	0	0	0	0.0386125992879104	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0184075727103559	0	0	0	0	0	0	0	-0.0966756780600374	0	0.00207471061684022	0	0	0	0	-0.0973558622759037	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0.0642365371675133	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0772182380726441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0345999945186486	0	0	0	0	0	0	0.0271338494492449	0	0	0	0	0	0	0	0	0	0
