"ECB_00376"	"ECB_01992"	"ECB_02003"	"ECB_02008"	"ESCRE1901"	"ESCRE2157"	"IS3_insF"	"atoC"	"atpE"	"atpF"	"bglJ"	"cls"	"crp"	"dacA"	"dnaA"	"dppD"	"dusB"	"ebgA"	"endA"	"fbp"	"frmB"	"fruK"	"fusA"	"glgA"	"glgC"	"glgP"	"glpF"	"glpR"	"glpT"	"gltL"	"gspF"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"lysP"	"malQ"	"manZ"	"mdoG"	"metA"	"metH"	"metJ"	"mrdA"	"mreB"	"mreC"	"napA"	"nusA"	"ompR"	"orn"	"oxyR"	"pck"	"pmbA"	"rhlB"	"rho"	"rluB"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rrlB"	"rssB"	"sbcC"	"secF"	"speB"	"tap"	"tig"	"uspA"	"yahA"	"yahG"	"ybaL"	"ydbD"	"ydcN"	"ydcU"	"ydgR"	"ydiJ"	"yehU"	"yejA"	"yejM"	"yfcD"	"yfeY"	"ygaD"	"ygcN"	"ygfK"	"yhhF"	"yicC"	"yjcC"	"yjcF"	"yjeP"	"yjgN"	"ynjI"	"yraL"
"ECB_00376"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121535658676408	0	0	0	0	0	0	0	0	0	0	-0.142347256778916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0777113589459976	0	0	0	0	0	0	0	0	0	0	0.166591504215187	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02003"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.132822178222643	0	0	0	0	-0.000508173926350469	0	0	0	0	0	0	0	0	0	0	0.112395074371643	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00776637645457144	0	0	0	0	0	0
"ECB_02008"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.126205475431178	0	0	0	0	0	0	0	0	0	0	-0.146176406397523	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0611302550682656	0	0	0	0	0.00413975717967152	0	0	0	0	0	0	0	0	0	0	0.0248194434196987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE2157"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00283282163418748	0	0	0	0	-0.0863146498755637	0	0	0	0	0	0	0	0	0	0	-0.172022790932683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS3_insF"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.0728864692032089	0	0	0	0	-0.0206978838894038	0	0	0	0	0	0	0	0	0	0	0.14984252333642	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atoC"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.00254093041396998	0	0	0	0	-0.0852384093012589	0	0	0	0	0	0	0	0	0	0	-0.170203550922132	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpE"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.105851048269905	0	0	0	0	0.137171737144783	0	0	0	0	0	0	0	0	0	0	-0.0295944398757556	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpF"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.0568858942092179	0	0	0	0	-0.186577648395286	0	0	0	0	0	0	0	0	0	0	-0.0536329194126356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
