"ECB_00739"	"ECB_00825"	"ECB_01992"	"ECB_01996"	"ECB_02512"	"ECB_04210"	"ESCRE0749"	"ESCRE1901"	"IS3_insF"	"abgB"	"actP"	"araE"	"argA"	"aroK"	"cls"	"crp"	"dapA"	"efeO"	"fbp"	"fis"	"fruK"	"glgA"	"glgC"	"glgP"	"glmM"	"glmS"	"glpF"	"glpG"	"glpR"	"glpT"	"gor"	"gyrB"	"hupB"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsE"	"lysR"	"mdoH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreD"	"murE"	"nrdR"	"nuoA"	"nusA"	"ompR"	"oxyR"	"pbpG"	"pyrB"	"rep"	"rho"	"rnc"	"rne"	"rplF"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rpsR"	"rsmC"	"rssB"	"sbmA"	"slyA"	"thiI"	"thrA"	"thrS"	"tig"	"tktB"	"tldD"	"truB"	"ubiB"	"uidB"	"uspA"	"vacJ"	"valT"	"wzyE"	"ybaL"	"ybfA"	"ybhJ"	"ybiW"	"ycbS"	"yccE"	"ydcN"	"yehU"	"yfcN"	"ygaD"	"ygjF"	"yhaO"	"yhiO"	"ynjA"	"yraQ"
"ECB_00739"	1	0	-0.214631732382088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0597531085981205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306826841958113	0	0	0	0	0	0.0179857123105291
"ECB_00825"	0	1	-0.1019052337444	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0173030788630576	0.0132081011212587	0	0	0	0	-0.206506811191407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0111737936534167	0.0251429168327199	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	-0.214631732382088	-0.1019052337444	1	0.123704815956478	-0.0744144468455123	0.104698844526259	0.0787490879877283	-0.0321168416219267	0.0468310438094479	0.0813339550252479	-0.196382259388988	0.0589239680948757	-0.00595326295338576	-0.0408210672638402	0	0.0603553903880288	0	0.059088060157454	-0.0058349526335154	0.025993921602967	0.0591131256853183	0.0518986569217446	-0.215497175612117	0.271613872041632	0.0460212564132586	0	0.0444821123184533	-0.0212263685641904	0.213477979777315	-0.0734137262072673	-0.0947121447013674	-0.0927146162572403	0	0.0270966937473535	0.100465718922287	0.061404934543513	0.140133520856111	-0.00597818264963287	0.080845267928881	-0.0143663300555735	-0.0222061228112571	-0.0221893558584074	-0.0572100479091263	0	0.0614753687598117	0.0810271765286372	-0.20127249515407	0.080082261047679	0.145619435123656	0.044970759163253	-0.0417960670044788	0.125375121560261	0	-0.159313439318494	0	0.0456199376325485	-0.0913476560339259	-0.0992358862610773	0.0954116092643216	0	-0.0817972126090631	0	0.0587237108142829	-0.0219031012110114	0.113244086390729	0.125257307918146	-0.0407009348614664	0.115530373276986	0.0563672451893762	-0.055144157743272	0.0602500721565681	-0.0417405575796804	-0.0400270091916534	-0.186847950541983	0.0466442012623833	0	-0.00588397945059814	-0.116883243087272	0.135759654428742	-0.0549570309029105	0.0839398346641035	-0.0451821514691464	-0.0765240660304974	0.0780299789174551	0.0802158237875845	0.0798830710647577	-0.0142758133975346	-0.0759449404271972	-0.27083824666329	-0.203660919110163	-0.0757728447931724	0	0.0539680536415102	0.121214909704702	-0.190809784317588	-0.184801006415015
"ECB_01996"	0	0	0.123704815956478	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0336629570351057	0	0	0	0	0	0	0	-0.0570504405318531	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0428046977977026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02512"	0	0	-0.0744144468455123	0	1	0	-0.00444407198467444	0	0	-0.0151782161069734	0	0	0	0	0	0	0	0	0	0	0	0	0.00823754891624348	0	0	0	0	0	-0.00274323128957726	0	0	0	0	0	0	0	0.185844199783746	0	-0.0130984239381756	0	0	0.0162691028841582	0	0	0	-0.0137377868772169	0	-0.00967853404540086	0	0	0	0	0	0.0575554581720062	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0351879883861099	0	0	0	0	0.0722485649793168	0	-0.0102394470397689	-0.00887811700590641	0	0	0	0	0	0	0	0	0	0
"ECB_04210"	0	0	0.104698844526259	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0920685138194853	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0463526801871878	0	0	0.0487375672674759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE0749"	0	0	0.0787490879877283	0	-0.00444407198467444	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.175378833263448	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	-0.0321168416219267	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0708650275456496	0	0	0	0	0	0	0	0	0.0753715631703755	0	0	0	0	0	0	0	0	0	0	0.0344997598272853	0	0	0	0	0	0.0657738285441323	0	0	0	0	0	0	0	0	0	0.0803936587292409	0	0	0	0	0	0	0	0.0551149778905559	0.0931508921961515	0	0	0	0	0	0	0	0.106998540641371	0	0	0	0	0	0.0802682745529305	0	0	0	0.106467237720174	0	0	0	0	0	0	0	0	0	0	0	0.0768844966865487	0	0	0	0
"IS3_insF"	0	0	0.0468310438094479	0	0	0	0	0	1	0	0	0.0813640200022877	0	0	0	0	0	0.0815985500407349	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.054828587806535	0	0	0	0.0340795337578909	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0758404853429879	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"abgB"	0	0	0.0813339550252479	0	-0.0151782161069734	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.191146775905262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
