"ECB_00503"	"ECB_00739"	"ECB_01413"	"ECB_01992"	"ECB_01999"	"ECB_02798"	"ECB_03523"	"ESCRE1397"	"ESCRE1901"	"ESCRE2157"	"ESCRE3628"	"actP"	"aroA"	"aroK"	"atoC"	"bglJ"	"cbpA"	"cls"	"dedA"	"deoA"	"dgsA"	"dgt"	"dinG"	"dnaX"	"dppD"	"dusB"	"fbp"	"fis"	"frmB"	"fruK"	"fusA"	"glgC"	"glgP"	"glmM"	"glmS"	"glpE"	"glpF"	"glpG"	"glpR"	"glpT"	"gltL"	"hemA"	"hemL"	"hsdR"	"iclR"	"ilvE"	"ilvG"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"malQ"	"metH"	"metJ"	"metW"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nrdR"	"nusA"	"ompR"	"orn"	"pbpG"	"poxA"	"prc"	"pta"	"rep"	"rhlB"	"rho"	"rluB"	"rnc"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpsA"	"rpsR"	"rssB"	"sbmA"	"sdaC"	"secF"	"tap"	"thrB"	"thrS"	"tktB"	"tldD"	"treF"	"truB"	"uspA"	"wbbD"	"wcaI"	"wzyE"	"yahG"	"ybaL"	"ybhJ"	"ydaE"	"ydbD"	"ydcN"	"ydcU"	"ydgR"	"yecP"	"yehU"	"yfiB"	"ygaD"	"ygcN"	"yhiO"	"yiaG"	"yjcC"	"yjeP"	"yjgN"	"yjhA"	"ykgE"	"ynjA"
"ECB_00503"	1	0	0	-0.0723165541434584	0	0	0	0.0620411025897715	0	0	0	0	0	0	0	0	0	0	0.0370649606536304	0	0	0	0	0	0	0	0	0	0	0	0	0.0796214887329748	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0313579035000157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0409300377744288	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00739"	0	1	0	0.135562509681227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0797073866927678	0	0	0	0	0	0	0	0	0	0	0.054214923346697	0	0	0	0	0	0	0	0.0520165948733724	0	0	0	0	0	0	0	0	0	0	0	0.0109644775827031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0362962891383832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01413"	0	0	1	0.0784818330763563	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0743795839461998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0494782552001931	0	0	0	0	0	0	0	0	0	0.0517662592667316	0	0	0.0126704841126053	0	0	0	0	0	0	0	0	0	0	0	0.0105310614732765	0	0	0	0	0.0534843816573089	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0439793456099786	0	0	0	0	0	0
"ECB_01992"	-0.0723165541434584	0.135562509681227	0.0784818330763563	1	-0.0587583396886523	0.0483262784801016	-0.0190553308293082	-0.088473191363571	-0.0620265452987989	-0.137187642566616	-0.0314862394897757	0	-0.0671456590185178	-0.0629955736358536	-0.153306856766712	-0.0508219509951401	-0.0746189925405194	0.000195669083322647	-0.0651957423238615	0.0666963589866437	-0.0634661781633091	0.122080518436187	-0.133153254469168	-0.188137580461084	-0.115045991940681	0.0630498306748683	-0.0319299619421139	0.100406726569747	-0.161645792637245	0.000529444904193791	0.0598932146523917	0	0.265329720064673	0.0405106278348525	0.129127208922853	-0.0203377489195957	-0.00649997830190266	-0.0424960989692207	0	-0.25356374583298	0.00138293801485409	-0.0537321798961339	0.127679389851883	0.0780912688118216	-0.043807937366054	0.0866248410714	-0.0661144126081851	0.0643538708715017	0.0708342307240563	0.000585377080472381	0.124482439105003	-0.0883024482697586	0.0581547214483854	-0.0269641885773054	0.159998314251195	-0.0228713596824362	-0.000385053727590422	-0.139232123123491	0.00101529221686746	0.0975149092812169	0.0240428506084125	0	0.092838090461178	0.0283730150477274	0.00616996547285952	0.147417173595657	0.128682004130958	-0.0690155177138682	-0.0447939818160133	0	0.00715439841166231	0	0.112909195250388	0.0347240850128309	0.131290977274028	-0.00424673426671745	0.0895054212772305	0.00974638319290079	-0.0444468471078621	0.0736821205116309	-0.0916734216356902	0.083496846577642	-0.0631235243303212	0.0761993660619138	0	-0.143159516807397	-0.0209461928800597	0.0258712408314354	-0.0571187390722044	0	0.0797645606323541	0.0408213805799134	-0.0989200978727278	0.0736387154051978	-0.165321312678288	0.153354254705013	-0.0629871066179946	-0.154602787489056	0.0951407691442713	-0.0223829441924374	0.0638414652292707	-0.139966140764346	0	0.000925147806113258	-0.0258156664582931	-0.0465737318206379	0	-0.13933607989684	0.000231751794434734	0.136772748780315	0.0669472317655462	0.0551963148887585	0.111888653250406	0.0644333404318515	0.0233381398223949	-0.192015541227649	0
"ECB_01999"	0	0	0	-0.0587583396886523	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0779061280910418	0	0	0	0	0	0	0	0	0	0.0594373088475063	0	0	0	0	0.0756914080974362	0	0	0.0397752981435434	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0148615817018709	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02798"	0	0	0	0.0483262784801016	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285529124921772	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0965617524210693	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00972688893915461	0	0	0	0	0.0494211734574859	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_03523"	0	0	0	-0.0190553308293082	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0250399530947996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0946365165869693	0	0	0	0.0984726034268298	0	0	0	0	0.0131227729905017	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0933962446478818	0	0	0	0	0.120481329513234	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1397"	0.0620411025897715	0	0	-0.088473191363571	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.056314745887895	0	0	0	0	0	0	0	0	0	0	0	0	0.0968878538599521	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0459963099416484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0593688933782937	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	-0.0620265452987989	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0998603400581658	0	0	0	0	0	0	0.0348823165760814	0	0.0355842336683654	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0277344706480413	0	0	0	0	0.00710540927934827	0	0	0	0	0	0	0	0
"ESCRE2157"	0	0	0	-0.137187642566616	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0529631498416029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
