"ECB_00737"	"ECB_01992"	"ECB_02002"	"ECB_02800"	"ECB_02821"	"ECB_03516"	"ECB_03523"	"ECB_misc_RNA_47"	"ESCRE1328"	"ESCRE1901"	"ESCRE3628"	"IS3_insF"	"argA"	"aroK"	"atpC"	"atpE"	"bcsB"	"cls"	"crp"	"dacA"	"dnaA"	"ebgA"	"envZ"	"fbp"	"fis"	"folM"	"frmC"	"ftsH"	"glgP"	"glgX"	"glpF"	"glpG"	"glpR"	"glpT"	"hslU"	"hupB"	"hypE"	"iclR"	"ilvL"	"kefC"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"leuX"	"lysP"	"metH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"nusA"	"ompR"	"orn"	"pmbA"	"proQ"	"pta"	"rhlB"	"rho"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsA"	"rpsR"	"rssB"	"sbmA"	"sucB"	"sufI"	"thrB"	"tktB"	"topA"	"torS"	"uidB"	"ulaG"	"uraA"	"uspA"	"yahN"	"ybaL"	"ybjE"	"ycbC"	"yccE"	"yddV"	"ydeJ"	"yecP"	"yehU"	"ygdH"	"yhhF"	"yjaG"	"yjaH"	"yjgQ"	"ykgG"	"ynjI"	"yqeA"	"yraL"
"ECB_00737"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0461884519023235	0	0	0	0	0.00756049108300853	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0812851718774813	0	0	0	0.0014984450925153	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0549666432533267	0	0	-0.161191464843146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00118465014819105	0	0	0	0	0	0	0	0
"ECB_01992"	0	1	0.0164401861911208	0	0	0	0	0	-0.0247931804903232	0	0	0	0	-0.00894449447597096	0	0	0	0	0	0	0	0.00794954609736719	0	0	0.14118254688951	0	0	0	0	0	0	0.0220867370287006	0	0	0.0183422952347099	0	0	0	0	0	0.0223118838457707	0	0	0.0814296712239556	-0.0181830920313657	0	0	0	0	0	0	0.00962650896813815	0	0	-0.0172325512106027	0	0.0157141097066364	-0.0219718437513878	-0.0242599517276337	0	0.00685696655898373	0	-0.0274254439945423	0	-0.0186158053258016	0.214907260231051	0	-0.0276965476354413	0	-0.00701910035788205	0	0	0	-0.00512200133365588	0	0	0	0	0	0.00982739377170319	-0.0247765699229526	0	0	0.0207429122281008	0	0	0	0	0	0	0	0	-0.0241245563040512	0	0	0	-0.0283829419491405	0
"ECB_02002"	0	0.0164401861911208	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0960010827070267	0	0	0	0	0	0	0	0	0	0.0094494789354463	0	0	0	0	0	0	0	0	0.0171083562623845	0	0	0	0	0	0	0	0	0	0	0	0	0.00579069598872982	0	0	0	0	0	0.0250717547528502	0	0	0.145147227646485	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0119254206291585	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02800"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.102751358101913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.066075652882712	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0313489920305718	0	0	-0.0553783647289621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0	0	0	0	1	0.0350367856337592	0	-0.00176095980193628	0	0	0	0	0	0	0	-0.00029844549524579	0	0	0	-0.00385280602725726	0	0	0.0286959869202701	0	0.0815082717760759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0249283142501625	0	-0.00332497121298096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.167864923920535	0	0	-0.0692427334469979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0306126412826216	-0.0052523903998975	0	0	0	0	0	0	0	0	-0.00435437956452412	0	0
"ECB_03516"	0	0	0	0	0.0350367856337592	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0203096449611131	0	0.0789327099601294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.023139674964851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.159049691073158	0	0	-0.0679677759592159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225221566146282	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_03523"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225176014300931	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00764692375752403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.207602889630322	0	0	0.00403071052665802	0	0	0	0	0	0	0.00259538265278827	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_47"	0	0	0	0	-0.00176095980193628	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.157115459653987	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00180405382982719	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.107652743870527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1328"	0	-0.0247931804903232	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.153135435769926	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00886342253496367	0	0	-0.100956830231536	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00725815448739221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0100745624400896	0	0	0	0	0	0	0	0	0.023912514266068	0	0	0.00375127813065386	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0676080517716773	0	0	0	0	0.103956408277058	0	0	0	0
