"ECB_00737"	"ECB_01992"	"ECB_02798"	"ECB_02821"	"ESCRE1901"	"IS3_insF"	"actP"	"araE"	"atoC"	"atpC"	"cbpA"	"cls"	"crp"	"dapA"	"dgt"	"efeO"	"fcl"	"fruK"	"glgA"	"glgC"	"glgP"	"glmS"	"glpF"	"glpG"	"glpT"	"hupB"	"iclR"	"ilvL"	"kpsE"	"mraY"	"mrdA"	"mrdB"	"mreB"	"mreD"	"napA"	"nrdR"	"nusA"	"pgaB"	"pitB"	"poxA"	"rep"	"rho"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rssB"	"secF"	"thiI"	"tldD"	"ybaL"	"ybbN"	"yedW"	"yehU"	"yhaO"	"yhhF"	"yjgQ"	"ykgG"	"ylbH"	"ynjA"	"yraL"
"ECB_00737"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.124493013636714	-0.14304038970115	0	0	0	0	0	0	0	0.0693539576720946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	1	0.215375237812575	0.0778551437583561	-0.265321134480723	0.0171292245955143	-0.0330662457983642	0.0210741709848999	-0.16077581018481	0.0586916831057389	-0.167817224114124	-0.0416731506601205	-0.171763417214523	0	0.208739589527168	0.0210819191123503	0	0.154058606763685	-0.112273492072316	-0.0166094337760649	0	0.212723917283784	0.157122182282945	0.0312366774519943	0.16231568089465	0.131391945207376	0.137696679256705	0.266422740691085	0.00225708191754169	0.0760050615343385	0.014961276331653	-0.267825925425046	-0.0734114584405033	0	0.166369415614955	-0.0335629702087192	-0.0555443243061827	0.0779732415674822	-0.176323735415148	0.212434206163864	-0.0327777872626985	-0.0109165997566288	-0.00910561246798707	0.0323998604408899	0.0410321556558668	-0.152164909037532	0.210053905514606	0.162013722728738	0.0209458913903076	-0.0321896669085992	-0.140593582329002	-0.175527404637855	0.0778258110950368	-0.130229171882247	-0.116053308592708	0.166499889110496	-0.267320868387295	0.0600523564996887	0	-0.0325336262969438	0.059886829319242
"ECB_02798"	0	0.215375237812575	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0343604077538199	-0.102945776021636	0	0	0	0	0	0	0	0.0945733027869161	0	0	0	0	0.0520683058726321	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0	0.0778551437583561	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0915265558363227	0.153277743948714	0	0	0	0	0	0	0	-0.0742634822393348	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	-0.265321134480723	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00594290881398192	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS3_insF"	0	0.0171292245955143	0	0	0	1	0	0.00994180113113691	0	0	0	0	0	0	0	0.00997896114820236	0	0	0	0.111812611957326	0.16421186673082	0	0	0	0	0	0	0	-0.0796891275896028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0	-0.0330662457983642	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.224049230919039	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"araE"	0	0.0210741709848999	0	0	0	0.00994180113113691	0	1	0	0	0	0	0	0	0	0.0334528491515244	-0.0201002927195977	0	0	0.120823231110376	0.179084987254553	0	0	0	0	0	0	0	-0.0929115692092667	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0225188562581842	0	0	0	0	0	0	0	0	0	0	0	0
"atoC"	0	-0.16077581018481	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0774178836624393	-0.120075729085755	0	0	0	0	0	0	0	0.0385253096256927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpC"	0	0.0586916831057389	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.130851723352114	-0.138945473070499	0	0	0	0.00448233621230149	0	0	0	0.0953829386020451	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0076117767055338	0	0	0.00360241200603077
"cbpA"	0	-0.167817224114124	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0819598392595024	-0.12457272813243	0	0	0	0	0	0	0	0.0415129726145673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	-0.0416731506601205	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	-0.0627141890518836	0.0512483540399035	0	0	0	0	0	0	0	-0.0214142219160251	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	-0.171763417214523	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.175047302363877	0	0	0	0	0	0	0	0	-0.00408725125654657	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
