"ECB_00376"	"ECB_01992"	"ECB_02008"	"ECB_03523"	"ESCRE1328"	"ESCRE1901"	"ESCRE2157"	"atoC"	"azoR"	"cls"	"crp"	"dgsA"	"dnaA"	"dppD"	"dusB"	"fbp"	"frmB"	"ftsW"	"glgC"	"glgP"	"glpE"	"glpF"	"glpG"	"glpR"	"gltB"	"hrpA"	"hupB"	"iclR"	"ilvL"	"infB"	"kpsD"	"kpsM"	"kpsT"	"leuX"	"mdoH"	"metJ"	"metW"	"mrdA"	"mrdB"	"mreC"	"nuoM"	"nuoN"	"nusA"	"orn"	"ppiA"	"ppk"	"pta"	"rhlB"	"rho"	"rmlA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsA"	"rpsR"	"rssB"	"secF"	"tap"	"thrB"	"wzyE"	"yahN"	"ybaL"	"ybhJ"	"ycbC"	"yccE"	"ycgV"	"ydaE"	"yeeJ"	"yehU"	"yejM"	"yfaE"	"yfdC"	"ygfA"	"ygiV"	"yjaH"	"yqeA"	"yraM"	"znuA"
"ECB_00376"	1	0	0.143015351400459	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.134053370998928	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125284604175666	0	0	0	0	0	0	0	0
"ECB_01992"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0164461527636254	0	-0.013629592272773	0.0937133412315802	0.132559759692711	0	0	0	-0.0537665075116186	0	0	0	0	0.131677976612786	0	0	0.148452494052308	0	0.0606968031836623	-0.0136722785565347	0	0	0	0	0	0	0	-0.0791332859946717	0	-0.0768929382444166	0	0	0.0465194543823499	0	0	0	0.108784430060167	0	-0.053916238600601	0	0	0	0	0.0574454514540585	0	0	0	0	0	0	0	0	0.0952684072433996	0	0	0	0	0	0	0	0	0
"ECB_02008"	0.143015351400459	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.158062926108414	0	0	0	0	0	0	0	0	0.00594594949460462	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148692510434642	0	0	0	0	0	0	0	0
"ECB_03523"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106727715496175	0	0	0	0	0	0.0500569592304969	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0843041486656496	0	0	0.0989985186243682	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1328"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.12312997810562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140057583745317	0	0
"ESCRE1901"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.128358877080176	0	0	0	0.0457851252233679	0	0	0	0.157273571701871	0	0	0	-0.0322486744411896	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139808430452968	0	0	0	0	0	0	0	0	0	0.0444524032214982	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE2157"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atoC"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"azoR"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.128245178298416	0	0	0	0	0.116120661803997	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.144527736410394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103632390037606	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.0699936358230633	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0831706206483104	0	0	0	0	0.14675138381454	0	0	0	-0.0368534963471892	0	0	0	0	0	0	0	0	0	0.129220908910047	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dgsA"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0132619834739509	0	0	0	0.00486228894010549	0	0	0	0	0	0	0	0	0	0	0.116903141708059	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaA"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.100118925812391	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.145664725832621	-0.0661445868823989	0	0	0	0	0	0.0946997637191723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.092823057384998	0	0	0	0	0	0	0.127297965600206	0	0	0	0	0
"dppD"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dusB"	0	0	0	0	0	0	0	0	0	0	0	0	0.100118925812391	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0862288113790822	0	0	0	0	0	0	0.00877337881140461	0	0	0	0	0	0	0	0.11440725800148	-0.161587219842079	0	0	0	0	0	0.000212660207324656	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0327820941732656	0	0.11521855539346	0	0	0	0	0.0840453393106237	0.082761237929615	0	0	0.0526194148650462	0
"fbp"	0	0	0	0	0	0.128358877080176	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0788576798203849	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.148602682321299	0	0.0419111856585806	0	0	0	0	0	0	0	0.10273914073855	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"frmB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0286743670747015	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ftsW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.0796647059030229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112892379313778	0.141933317770466	0	0	0	0	0	0	0	0	0	0	0	0	0.152631767623292	0	0	0	0	0	0	0.153123249875489	0	0	0	0	0	0	0
"glgC"	0.134053370998928	0	0.158062926108414	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.142270104920815	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127020545952757	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.140560539519504	0	0	0	0	0	0	0	0
"glgP"	0	0.0164461527636254	0	0	0	0.0457851252233679	0	0	0.128245178298416	0	0.0699936358230633	0	0	0	0	0.0788576798203849	0	0	0	1	0	0	0	0.0475647964921442	0.0940380720265233	0	0	-0.228734673390921	0	0	0	-0.0167324007908783	0	0	0	0.0917105318412184	0	0	-0.0774552641995997	0.0580189774951692	0	0	0.203448932383257	0	0	0	0.00505841370051394	-0.00448388854543834	0	0	0	0	0.146895469779106	0	0	0	0.0406215176946224	-0.0465179927806571	0	-0.0725534485253225	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glpE"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0.0734846303108046	0	0	0	0	0.105894033697708	0	0.0793910529064072	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0735476856902977	0	0	0	0	0	0.0442877497885027	0	0	0	0	0	0	0	0	0	0.0885873362237626	0	0	0	0	0	0	0	0	0	0	0
"glpF"	0	-0.013629592272773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0796647059030229	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0479784124759929	0	0	0	0.0808504011950358	0	0	0	0	0.098453731796881	0	0	0	0	-0.137244713908927	0	0	0	0	0	0.0074905202767269	0	0	0	0	0	0.00424497967457988	0	0	0.0712992471764009	0	0	0	-0.00265449365924159	0	0	0.0724005236217552	0	0	0	0	0	0	0
"glpG"	0	0.0937133412315802	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142270104920815	0	0	0	1	0	0	0	0	0	0	0	0	0	0.124735659038745	0	0	0	0	0.0430492620533846	0	0.0921865703497824	0	0	0	0	0	0	-0.0455855942161832	0	0	0	0	0.0158840257493961	0	0	0	0.0923435920832517	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0712040665069808	0	0	0	0	0	0	0	0	0
"glpR"	0	0.132559759692711	0	0	0	0.157273571701871	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0475647964921442	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.125512617113963	0	0	0	0	0	0	0	0	0	0	-0.0596999853897052	0	0	0	0	0.02262536000354	0	0	0	0	0	-0.0038307157221966	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"gltB"	0	0	0	0	0	0	0	0	0.116120661803997	0	0	0	0	0	0	0	0	0	0	0.0940380720265233	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.118946825089673	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hrpA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.121488743674841	0	0.0983620433218431	0	0	0	0	0	0.0946206962114889	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0583705581474328	0	0	0	0	0	0.102694921964312
"hupB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.161368023684854	0	0	0	0	0	0	0	0	0	0	0	-0.0389674543958224	0	0	0	0	0.0109350264831778	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157096421350167	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	-0.0537665075116186	0.00594594949460462	0	0	-0.0322486744411896	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.228734673390921	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.0850121521959636	0	0	0	0	-0.197401997948914	0	0	0	0.0680674837139582	0.0158874161316436	0	0	0	0	-0.188180599459035	0	0	0	0	0.0206434620721298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00114226589837975	0	0	0	0	0	0	0	0.149611687718995	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0862288113790822	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0564311608438536	0	0	0	0	0	0	0	0	-0.090019809652372	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.139649703368972	0	0	0	0	0	0.121356208677774	0	0	0.102387610180976	0
"kpsM"	0	0	0	0.106727715496175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0167324007908783	0.0734846303108046	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.125262192402655	0.0768811782106767	0.0802504778247771	0	0	0	0	0	0	0	-0.0581095775715297	0	0	0	0	0.0489042276565792	0	0.0810211740064872	0	0	0	-0.00919078779246987	0.127525500986239	0.0857600168585743	0	0.13572364812891	0	0	0	0	0	0	0	0.116442037402442	0	0	0	0	0	0	0	0	0	0	0
"kpsT"	0	0.131677976612786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124735659038745	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0977835128821237	0	0	0	0	0	0	0	0	-0.0441018043231798	0	0	0	0	0	0	0	0	0.138755988367583	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.128445492501911	0	0	0	0	0	0	0	0	0
"leuX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0109706282186511	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"mdoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.161368023684854	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.037018253336672	0	0	0	0	0.00340001224343096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15319565631573	0	0	0	0	0	0	0	0	0	0	0	0	0
"metJ"	0	0.148452494052308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0917105318412184	0	0	0	0.125512617113963	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.0195318604863272	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0320839708887443	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"metW"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105894033697708	0	0	0	0	0	0	0	0	0	0	0.125262192402655	0	0	0	0	1	0	0.131765458160358	0	0	0	0	0	0	0	-0.00340344513119788	0	0	0	0	0	0	0.126982977276833	0	0	0	0	0	0.115127284831789	0	0	0	0	0	0	0	0	0	0.133465871939627	0	0	0	0	0	0	0	0	0	0	0
"mrdA"	0	0.0606968031836623	0	0.0500569592304969	0	0	0	0	0	0	0.0831706206483104	0	0	0	0.00877337881140461	0	0	0	0	0	0	-0.0479784124759929	0.0430492620533846	0	0	0	0	-0.0850121521959636	0	0	0.0564311608438536	0.0768811782106767	0.0977835128821237	0	0	0	0	1	0	0	0	-0.0174187399916271	0.041576739360965	0	0	0	-0.140594814552707	-0.00404422215254792	-0.172426507456434	0	0	0.0704603024667471	0	0	0	0.0623681955074012	0.0577957150725085	-0.0957879045317442	0.0801763284533153	0	0	0.0899088660521073	0	0	0	0	0	0	0	0	0.098351599601947	0.0422978431354959	0	0	0	0	0.0514823458613467	0	-0.0108247888451032	0.0102740972219975	0
"mrdB"	0	-0.0136722785565347	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0774552641995997	0.0793910529064072	0	0	0	0	0.121488743674841	0	0	0	0	0	0.0802504778247771	0	0	0	0	0.131765458160358	0	1	0	0.123780502406648	0	-0.0363016058973812	0	0	0	0.00699321681868186	0	0	0	0	0	-0.0148510787637791	0.100293618369251	0	0	0	0	0	0.0824071714616344	0	0	0	0	0	0	0	0	0	0.121337684940014	0	0	0	0	0.0950762245007641	0	0	0	0	0	0.126663963431292
"mreC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127020545952757	0.0580189774951692	0	0	0.0921865703497824	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0836534596883669	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"nuoM"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0983620433218431	0	0	0	0	0	0	0	0	0	0	0	0	0.123780502406648	0	1	0	-0.000757929997062788	0	0	0	0.0975308694165549	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0634394552408966	0	0	0	0	0	0.105634151196059
