"ECB_01992"	"ECB_01996"	"ECB_01999"	"ECB_02002"	"ECB_04076"	"ECB_04210"	"ESCRE0483"	"ESCRE0749"	"ESCRE1901"	"ESCRE4497"	"IS3_insF"	"abgB"	"aroA"	"aroK"	"bglJ"	"cls"	"crp"	"deoA"	"dinG"	"dnaX"	"eamA"	"eutJ"	"fbp"	"fruK"	"fsr"	"fusA"	"gabD"	"glgC"	"glgP"	"glpF"	"glpG"	"glpR"	"glpT"	"hemA"	"hsdR"	"hupB"	"hycE"	"hyfG"	"iclR"	"ilvG"	"ilvL"	"infB"	"kpsD"	"kpsE"	"kpsM"	"lon"	"lptB"	"lsrG"	"lysR"	"malQ"	"mdoH"	"metA"	"metJ"	"motB"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"murE"	"napA"	"nuoA"	"nusA"	"pta"	"rho"	"rhsA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpsR"	"rsmC"	"rssB"	"sbmA"	"sdaC"	"secF"	"slyA"	"speB"	"thrS"	"tktB"	"topA"	"treF"	"vacJ"	"wbbD"	"wcaI"	"yahG"	"yahN"	"ybaL"	"ybiW"	"ycbS"	"yccE"	"ydbD"	"yehU"	"yfcI"	"yfhK"	"yfiB"	"yggG"	"yhhF"	"yjaH"	"yjbA"	"yjcC"	"yjgN"	"ykgE"
"ECB_01992"	1	0	0	0	0	0	0	0	-0.000747223472902018	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0838689245364466	0	0	0	0	-0.0361110835762453	0.108954603656599	0	0	0.0232596953379363	0	0	0	0.0264471581906104	0	0	0	0	0	0	0	0.000915433526277267	0	0	0	0	0	0	0	0	0	0	0	0	0.144302433777831	0	0	0	0.0649236384870064	0	0.00803176737782678	0	0	0	0	0	0.000769459884382841	0	0	0	0.0833641789325194	0	0	0	0	0.101652324033366	0	0	0	0	0	0.020644937432232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.072126605830329	0	0.0320826730146304	0	0	0
"ECB_01996"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0300528198456021	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01999"	0	0	1	0	0	0	0	0	0.0616731764745148	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.083801174919893	0	0	0	0	0	0.143174251002648	0	0	0.0849039183743203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0352648179791416	0	0	0	0	0.0341954454214298	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02002"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0206618264304655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0523035997718401	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_04076"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_04210"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0689562207995738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0542634510440892	0	0	0	0	0	0	0	0	0	0.0787194237183567	0	0	0	0	0.0974653364663963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE0483"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0516005693288558	0	0	0	0	0	0	0	0	0	0	0.0747369117004896	0	0	0	0	0	0	0.044245828262848	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE0749"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00865842173244823	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	-0.000747223472902018	0	0.0616731764745148	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0662391423144022	0	0	0	0	0	0	0	0	0	0	0	-0.0727352966986792	0	0	0.088974290372138	-0.00202818176923181	0.0171421744796806	0	0	0	0	0	0.116594133981446	0	0	0	0	-0.0226540294573472	0	0	0	0	0	0	0.106445015210973	0	0	0	0	0	0	0	0	0	0	0.0584186986296956	0	-0.00759211095656041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0040139025324239	0	0	0	0	0	0.145287348091747	0	0	0.0227285807846287	0	0	0	0	0	0
"ESCRE4497"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135699386954995	0.197049607018165	0	0	0	0	0	0	0	0	0.0468857262528196	0	0	0	0	0	0	0	0	0	-0.0276114289589698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS3_insF"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"abgB"	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0177624757061158	0	0	0	0	0	0	0	0	0	0	0.0268655086863972	0	0	0	0	0.100183477172542	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aroA"	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0688222180698094	0	0	0	0	0.00629200170812382	0	0	0	0	0	0	0	0	0	0.072244259775065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0566856696343773	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aroK"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0953080140024935	0	0	0	0	0	0	0	0	0	0.0144358612132711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"bglJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0289518753670977	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1019664251229	0	0	0	0	0	0	0.0556108695271547	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.363091329346767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0	0	0	0	0	0	0.0662391423144022	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0767237504560119	0	0	0	0	0	0	0	0.135446516847612	0	0	0	0	0	0	0	0	0	0	0	0	-0.0540411331352674	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"deoA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dinG"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"dnaX"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0653754398054833	0	0	0	0	0	0	0	0	0	0	0	0.0676065259578224	0	0	0	0	0	0	0	0	0	0	0.122853571713778	0	0	0	0	0	0	0	0	0.0186405832938498	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0438739288389187
"eamA"	0	0	0	0.0206618264304655	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0.011957155638163	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.127085533613874	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.1332858541286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.108075210010813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eutJ"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0531945680938925	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fbp"	0.0838689245364466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0974803784361877	0	0	0	0	0	0	0	0	0	0	0	0	0.0426215334915926	0	0	0	0	0	0	0	-0.0145343484902464	0	0	0	0.0877485359581381	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0899975697260656	0	0	0
"fruK"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00299340876017954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fsr"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00527939962981363	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
