"ECB_00376"	"ECB_00503"	"ECB_00737"	"ECB_00739"	"ECB_01413"	"ECB_01992"	"ECB_01996"	"ECB_02003"	"ECB_02008"	"ECB_02821"	"ECB_04210"	"ECB_misc_RNA_47"	"ESCRE1397"	"ESCRE1901"	"aroK"	"atoC"	"atpF"	"cbpA"	"cls"	"crp"	"dapA"	"dedA"	"deoA"	"dnaA"	"endA"	"eutJ"	"fbp"	"fis"	"frmC"	"ftsW"	"glgA"	"glgC"	"glgP"	"glgX"	"glmS"	"glpF"	"glpG"	"glpR"	"glpT"	"hsdR"	"hupB"	"hycE"	"iclR"	"infB"	"kefC"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"lptB"	"manX"	"manZ"	"mdoH"	"metH"	"metJ"	"mraY"	"mrdA"	"mreB"	"mreC"	"mreD"	"nuoN"	"nusA"	"orn"	"oxyR"	"pgaB"	"prc"	"prfA"	"proW"	"pta"	"pyrB"	"rhlB"	"rho"	"rhsA"	"rmlA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsA"	"rpsR"	"rsmC"	"rssB"	"sbmA"	"sdaC"	"slyA"	"sufD"	"tig"	"tktB"	"topA"	"treF"	"ubiB"	"uraA"	"uvrD"	"vacJ"	"wbbC"	"wbbD"	"yahA"	"ybaL"	"ycbC"	"yccE"	"ydeJ"	"ydiJ"	"yedW"	"yehU"	"yejA"	"yejM"	"yfaE"	"yfcD"	"yfcN"	"yfeY"	"yfhK"	"ygdH"	"ygfK"	"ygjF"	"yiaG"	"yicC"	"yjcF"	"yjhA"	"yraQ"
"ECB_00376"	1	0	0	0	0	0	0	0	0.0191712148042138	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.155907693396352	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0524024627523835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0516514697159022	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0161921506998311	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00503"	0	1	0	0	0	0	0	0	0	0	0	0	0.00783208760603159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0701703043725551	0	0	0	0	0	0	0	0	0	0	0	0	0	0.146057344768216	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0415028476125051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00737"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.16273972095605	0	0.0059270767824317	0	0	0	0	0	0	0	0	0	0	0	-0.0856533841864847	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0152081375403377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00133516008506644	0	0	0	0	0	0	0
"ECB_00739"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0142612754638955	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.073304673659397	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.146135720449624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0057676810886468	0	0	0	0	0	0	0	0	0	0
"ECB_01413"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.10835972427991	0	0	0	0	0	0	0	0	0	0	0	0	0	0.106387273923375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0561756785666375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	0	0	0	0	0	1	0.0259961079219954	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.005708856593961	0	0	0	0	0	0.0359855267387368	0	0	0	0	0	0	0	0.0206027989362512	0	0	0	0	0	0	0	0	0	0	0.00380921111498184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0045742972735344	0	0	0	0	0	0	0	0	0	0	0.00807899368892483	0	0	0	0	0	0	0	0.0315691709112655	0.0168025891044858	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01996"	0	0	0	0	0	0.0259961079219954	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0508055553495053	0	0	0	0	0	0.0249831260480753	0	0	0	0	0	0	0	-0.0907395270193273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0466767525469489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.022543663996141	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02003"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.000933751195140026	0	0	0	0	0	0	0	0	0	0	0	0	0	0.135200375637367	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0960447413585535	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02008"	0.0191712148042138	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.160475360647704	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0542308203354016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0533747960117145	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0197183491462039	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0454315138945336	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0931105298679522	0	0	-0.00460628586065927	0	0	0	0	0	0	0.00425571138056996	0	0	0	0	0	0	0	0	0.0124853845685255	0	0	0	0	0	0	0	0	0	0	0	0.14805689963991	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0122579482172875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
