"ECB_01992"	"ECB_02003"	"ESCRE1901"	"IS3_insF"	"atpF"	"clpB"	"cls"	"crp"	"dinG"	"dnaX"	"endA"	"fbp"	"fis"	"fruK"	"glgA"	"glgC"	"glgP"	"glpF"	"glpG"	"glpR"	"glpT"	"hupB"	"hypE"	"iclR"	"infB"	"kpsE"	"kpsM"	"kpsT"	"metA"	"metH"	"metJ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nuoN"	"pdhR"	"pta"	"rho"	"rmlA"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoS"	"rssB"	"speB"	"sufD"	"wbbC"	"wcaI"	"wzyE"	"ybaL"	"ybhI"	"ybhJ"	"ydiJ"	"yehU"	"yejA"	"yicC"	"yjcF"	"yjhA"	"ykgE"
"ECB_01992"	1	0	0	0	0	0.103366674957348	0	0	0	0	0	0	0	0	0	0	0.133460002973606	0	0	0.0550139789202997	-0.15794226108713	0	-0.0980066581529197	0	0	0.0375275745023372	-0.000685696698939638	0.0403569186279024	0	0	0.0647259633351674	0	-0.189824772519608	0	0	0.0463231494272058	-0.0111065858117567	0.0704791348544486	0	0	0	0	0	0	0.00477480041043269	0.0188912189793176	-0.0871564432001666	0	0	0.0554896356363859	0	0.0262417369346467	0	0	0.0183102877369204	0	0.119310967898933	0	-0.0118589128945818	0	0	0
"ECB_02003"	0	1	0	0	0	0	0	0	0	0	0	0.0592360763232052	-0.085578312944494	0	0.0111579315670065	0	-0.135822347041624	0	0	-0.0253072336542828	0	0	0	-0.000816908863810062	-0.0312338283015344	0.0704625888280743	0	0	0	0	-0.0327205427794791	0	0.00896457477637578	0	0	-0.0102543087889453	-0.00391697324199669	0	0	-0.0461100765283569	0	0	0	0	0	0	0	0	0	0	0	-0.00280292202279041	0	0	0	0	0	0	0.100767648728528	0.0670666044492147	-0.00494727255850221	0
"ESCRE1901"	0	0	1	0.0485035966976872	-0.00502105439302564	0	0	0.132257530779466	0	0	0	0	-0.0544532729543117	0	0	0	0	0	0	0	-0.00547492781087691	0	0	-0.0513214023298881	-0.0130890125784061	0.100098450280789	0	0	0.116249355081745	0	0	0	-0.0213629768316776	0	0	0	-0.00937928751929755	0	0	-0.0528726009954367	0	0	0	0	0	0	0	0.074642823807039	0	0.00672341205727318	0	0	0	0	0	0	0	-0.00329685413535497	0.00950520717815494	0	0	0
"IS3_insF"	0	0	0.0485035966976872	1	0	0	0	0.0901874317313942	0	0	0	0	-0.0480398694415086	0	0	0	0	0	0	0	0	0	0	0	0	0.0728488819172981	0	0	0.0917542074560724	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"atpF"	0	0	-0.00502105439302564	0	1	-0.0383796243677552	0	0	0	0	0.133221210324818	0	0.00323524178499464	0	0	0	0	0	0	0	0	-0.0273643098947864	0	0	0	-0.128797400105862	0	0	-0.0246487901681803	0	0	0	0.000448211788480213	0	0	0	0	-0.0210326815444947	0	0.0491911887496832	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.124410382154544	-0.0150470652948395	0.13648738261793	-0.015080701261531	0	0	0
"clpB"	0.103366674957348	0	0	0	-0.0383796243677552	1	-0.040204018277781	-0.00397623367229414	0	0	-0.0346063976526251	0	0.0167350439112817	0.117580708838303	0	-0.0720704067388247	0	-0.0430687948956903	-0.00541631101193379	0.030451798247828	-0.0281699234802087	0.102347615073185	-0.0719754038148135	0.0074050718997028	0.0047497842283893	0.103486880654547	0	0	0	0	0.0311789102549806	0	-0.0290314886864535	0.0117057448653438	-0.0649406667140935	0.112573481458125	-0.0677231271525794	0.100096904174427	-0.0543181390115357	-0.0226450612353523	-0.0509972743509574	-0.0449549913349482	0	0	0	0	-0.0704836980354862	0	0	-0.0219631557091643	0	0.0270021173445638	0	0.0131998930485871	0.0263247855723047	-0.0271311524106942	0.0878160806551717	-0.0373213184846625	0	0	0	0
"cls"	0	0	0	0	0	-0.040204018277781	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.123878235965789	0	0	0	-0.174088520356534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110108204661536	0	0	0	0	0	0	0	0	0	0	0	0
"crp"	0	0	0.132257530779466	0.0901874317313942	0	-0.00397623367229414	0	1	-0.104165929001015	-0.105722033334474	0	0	-0.0821333461698606	0	0	0.0216312309285017	0	0	0	0	-0.0403013039755263	-0.03182984533555	0	-0.144507750426139	-0.0741568315353766	0	-0.0988494327950053	0	0.130345410429617	0.0796139560643249	0	0.158206604579772	-0.0307820467001157	-0.0293769158293974	0.0149048204296538	-0.0867527383205685	0	-0.00111829940664978	0	-0.0490711350399671	0	0	0	0.0789529172181857	0.0794868994697518	0	0	0.115717560811103	0.078882135734482	0.0625973622646654	-0.105886723769775	0	0	-0.030429806174101	0	0	0	0	0.0182860898491387	0	-0.0663397029267983	-0.104733779208086
"dinG"	0	0	0	0	0	0	0	-0.104165929001015	1	0.0346872162125939	0	0	0	0	0	0	0	0	0	0	0.0382484940446589	0.00542564911729233	0	0.0355232105700755	0	0	0.0530673387220527	0	0	-0.0048561229730458	0	0	0.0603009588525375	0	0	0	0	0	0	0	0	0	0	-0.0245803752140465	-0.0352790710148374	0	0	0	-0.0232480271209334	-0.113415023260559	0.0219387884017795	0	0	0	0	0	0	0	0	0	0	0.0374826522228631
"dnaX"	0	0	0	0	0	0	0	-0.105722033334474	0.0346872162125939	1	0	0	0	0	0	0	-0.00216411872049553	0	0	0	0.0485563244728703	0.0194887312958739	0	0.052613259351606	0	0	0.061217600212922	0	-0.00813203295990302	-0.0272532926025008	0	-0.000299649354397629	0.0639343837862785	0	0	0	0	0	0	0	0	0	0	-0.0402052582565366	-0.0473196649287065	0	0	0	-0.0393197678573152	-0.104372258569896	0.0416069872269503	0	0	0	0	0	0	0	0	0	0	0.0512822921282054
