"ECB_02512"	"ESCRE1901"	"IS3_insF"	"actP"	"cls"	"crp"	"eutJ"	"glgC"	"glgP"	"glpT"	"hycE"	"iclR"	"kpsD"	"kpsE"	"lptB"	"metA"	"mrdA"	"mreB"	"mreC"	"nrdR"	"pitB"	"rep"	"rho"	"rhsA"	"rpoB"	"rpoC"	"rpoD"	"rssB"	"speB"	"tldD"	"torS"	"uspA"	"ybaL"	"ybbN"	"ybfA"	"yehU"	"ynjA"
"ECB_02512"	1	0.0621302435469585	0.0755332027690991	0.00618894443761933	-0.121977210575716	-0.0864600865237632	0	0.0545289459563741	-0.212199099492395	0	0	0.0627325783255687	0.307297033462597	0.0275508545701158	0	0.036168803380674	0.202170832545232	0.00156140799437159	-0.222364703538303	0.00670408448850924	-0.241415209964083	0.291225808605022	-0.178520673314615	0	0.203269734038265	-0.187015294815006	-0.0883032090331463	0.063781679100417	0.0745699156297841	0.00336205507975908	0.0691403304237236	0.31391074005885	-0.133205601064539	-0.241206017681946	0.31553821918657	0	0.00398884598302346
"ESCRE1901"	0.0621302435469585	1	0	0	0	0	0	-0.233039899885373	-0.033185175796764	0	0	0	0	0.0848766287447558	0	0.0664602117142374	0	0	-0.0183674823093887	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS3_insF"	0.0755332027690991	0	1	0	0	0	0	-0.215100151977629	-0.0134070298208844	0	0	0	0	0.0562995789025455	0	0.0484040945778361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"actP"	0.00618894443761933	0	0	1	0	0	0	0.25940367956855	0	0	0	0	0	0	0	-0.00662543434945425	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	-0.121977210575716	0	0	0	1	0	0	0.0232953978116821	0	0	0	0	0	-0.207535007098801	0	0	0	0	0	0	0	0	0	0	0	0	-0.0775829896509512	0	0	0	0	0	0	0	0	0	0
"crp"	-0.0864600865237632	0	0	0	0	1	0	-0.345654267281698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eutJ"	0	0	0	0	0	0	1	0.0108705885785231	0	0.035136444517984	0.028507130988011	-0.0584588982646311	0	0.0715825930174903	0.0333350106238061	0	0	0	0	0	0	0	0	0.0301759536298115	0	0	0.191368601214929	-0.0603526065074089	0	0	-0.0795291470723836	0	0	0	0	0.00127818401808636	0
"glgC"	0.0545289459563741	-0.233039899885373	-0.215100151977629	0.25940367956855	0.0232953978116821	-0.345654267281698	0.0108705885785231	1	0.0528793316893556	0.0106966729242242	0.00989453895910656	-0.0249618944154324	0.0188842530757683	-0.0908803588970731	0.0126640258357931	-0.200338326973626	-0.0407928105128978	0.239967375715168	0.0634373219476132	0.262863832512244	-0.180217871637352	0.168195494914619	-0.0453054403628129	0.0127858423480037	0	0.208118770530285	0.0687279967575798	-0.0260140909255899	-0.220085554428719	0.254236641051652	-0.0354549791008098	0.0102386778211346	-0.180419844755122	-0.176114563695243	0.016149752123539	0.168397283166554	0.256577455864316
"glgP"	-0.212199099492395	-0.033185175796764	-0.0134070298208844	0	0	0	0	0.0528793316893556	1	0	0	0	-0.0430760096469204	-0.160227676248044	0	-0.0688662188548222	-0.0031649712629817	0	0.10746504326422	0	0	0	0	0	0	0.0738705063092056	0	0	-0.0186669664176761	0	0	-0.0166704241751733	0	0	-0.0298490198115107	0	0
"glpT"	0	0	0	0	0	0	0.035136444517984	0.0106966729242242	0	1	0.0418396104323703	-0.0649156581228866	0	0.0912919058540274	0.0455007209299676	0	0	0	0	0	0	0	0	0.043095604407095	0	0	0.177744740766016	-0.066351675509703	0	0	-0.0809397034171413	0	0	0	0	0.0238624416187366	0
