"ECB_00256"	"ECB_01252"	"ECB_01992"	"ECB_02035"	"ECB_misc_RNA_47"	"ESCRE1901"	"cls"	"crp"	"dinG"	"dnaX"	"entF"	"fadH"	"fbp"	"fis"	"glgP"	"glpF"	"glpT"	"iclR"	"ilvL"	"kpsD"	"kpsM"	"mdoG"	"mdoH"	"metH"	"mrdA"	"mrdB"	"pta"	"rho"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpsC"	"sufD"	"thrA"	"wbbC"	"wcaI"	"ybaL"	"yfiB"	"ykgE"
"ECB_00256"	1	0.259823312898339	-0.00594173211519548	0.256593839128708	0	0	-0.184751319600928	0	0	-5.6970509653161e-06	0	-0.154991881744268	0.258675154868343	0.229098581641085	0.15096172528383	-0.265000896890532	-0.000531380064625752	-0.185733907541214	0.201552757077407	0.351599908927273	-0.000509993493233705	-0.154525006283814	0	0	0.235049779150167	-0.0455053800382815	-0.276509209874708	-0.297133589531118	0.0167789443751176	0.122546711344175	0	0	0.259089106048361	0	0	-0.00537239277213703	0	0	-0.249191652679201	-3.7803241482763e-05
"ECB_01252"	0.259823312898339	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.105040063591011	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_01992"	-0.00594173211519548	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.27874738629103	0	0	0	0	0	0	0	0	0	0.114818866602045	0	0	0	0
"ECB_02035"	0.256593839128708	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.103647331199542	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_47"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.313209154584542	0	0	0	0
"ESCRE1901"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.299681426519846	0	0	0	0
"cls"	-0.184751319600928	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.213521120099325	0	0	0	0
"crp"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.260680831868973	0	0	0	0
"dinG"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.257418344913454	0	0	0	0	0	0	0	0	0	-0.0368598706914891	0	0	0	0
"dnaX"	-5.6970509653161e-06	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266039749808192	0	0	0	0	0	0	0	0	0	-0.0405495883744747	0	0	0	0
"entF"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.297861183145131	0	0	0	0
"fadH"	-0.154991881744268	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.244208114201086	0	0	0	0	0	0	0	0	0	-0.0339768424882825	0	0	0	0
"fbp"	0.258675154868343	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.104511203459047	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"fis"	0.229098581641085	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	-0.206912306768118	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"glgP"	0.15096172528383	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	-0.20172241323287	0	0	0	0	0	0	0	0	0	0.196372907259591	0	0	0	0
"glpF"	-0.265000896890532	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0.00835312095100446	0	0	0	0	0	0	0	0	0	0.0160724236548562	0	0	0	0
"glpT"	-0.000531380064625752	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0.273018199626478	0	0	0	0	0	0	0	0	0	-0.0436340265349327	0	0	0	0
"iclR"	-0.185733907541214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.214240939429942	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ilvL"	0.201552757077407	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-0.180034342679569	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsD"	0.351599908927273	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.0474463211948074	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"kpsM"	-0.000509993493233705	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.272972992296564	0	0	0	0	0	0	0	0	0	-0.0438322869312634	0	0	0	0
"mdoG"	-0.154525006283814	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.242109077374679	0	0	0	0	0	0	0	0	0	-0.0352457744768245	0	0	0	0
"mdoH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	-0.297990164685075	0	0	0	0
"metH"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.25511643582761	0	0	0	0
"mrdA"	0.235049779150167	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.0358979950836149	0	0	0	0	0	0	0	0	0	0.153773849793483	0	0	0	0
"mrdB"	-0.0455053800382815	0.105040063591011	-0.27874738629103	0.103647331199542	0	0	0	0	0.257418344913454	0.266039749808192	0	-0.244208114201086	0.104511203459047	-0.206912306768118	-0.20172241323287	0.00835312095100446	0.273018199626478	0.214240939429942	-0.180034342679569	-0.0474463211948074	0.272972992296564	-0.242109077374679	0	0	-0.0358979950836149	1	0.00976110936088132	-0.171098529558575	-0.287823455375986	-0.00950317176866979	0	0	0.104598921469682	0	0	0.0708611556205509	0.261278713326686	0.224501985028847	0.00666107676850257	0.266973846316221
"pta"	-0.276509209874708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00976110936088132	1	0	0	0	0	0	0	0	0	0.0169747601369784	0	0	0	0
"rho"	-0.297133589531118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.171098529558575	0	1	0	0	0	0	0	0	0	-0.00469659610909841	0	0	0	0
"rpoA"	0.0167789443751176	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.287823455375986	0	0	1	0	0	0	0	0	0	-0.0231942738982122	0	0	0	0
"rpoB"	0.122546711344175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00950317176866979	0	0	0	1	0	0	0	0	0	-0.157554364988164	0	0	0	0
"rpoC"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.260616849224922	0	0	0	0
"rpoD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0.263148338893837	0	0	0	0
"rpsC"	0.259089106048361	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.104598921469682	0	0	0	0	0	0	1	0	0	0	0	0	0	0
"sufD"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0.260294668289932	0	0	0	0
"thrA"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	-0.300792903231656	0	0	0	0
"wbbC"	-0.00537239277213703	0	0.114818866602045	0	-0.313209154584542	-0.299681426519846	0.213521120099325	0.260680831868973	-0.0368598706914891	-0.0405495883744747	-0.297861183145131	-0.0339768424882825	0	0	0.196372907259591	0.0160724236548562	-0.0436340265349327	0	0	0	-0.0438322869312634	-0.0352457744768245	-0.297990164685075	0.25511643582761	0.153773849793483	0.0708611556205509	0.0169747601369784	-0.00469659610909841	-0.0231942738982122	-0.157554364988164	0.260616849224922	0.263148338893837	0	0.260294668289932	-0.300792903231656	1	-0.0385163880958083	0.197467167632876	0.0133507197910015	-0.0410073862167513
"wcaI"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261278713326686	0	0	0	0	0	0	0	0	0	-0.0385163880958083	1	0	0	0
"ybaL"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.224501985028847	0	0	0	0	0	0	0	0	0	0.197467167632876	0	1	0	0
"yfiB"	-0.249191652679201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00666107676850257	0	0	0	0	0	0	0	0	0	0.0133507197910015	0	0	1	0
"ykgE"	-3.7803241482763e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.266973846316221	0	0	0	0	0	0	0	0	0	-0.0410073862167513	0	0	0	1
