"ECB_02002"	"ECB_02512"	"ECB_02798"	"ECB_02804"	"ECB_02821"	"ECB_misc_RNA_7"	"ESCRE1901"	"ESCRE2157"	"IS3_insF"	"IS5_ESec3"	"actP"	"atoC"	"cls"	"crp"	"cysQ"	"dnaA"	"dppD"	"eamA"	"eutJ"	"fbp"	"fis"	"frmB"	"fsr"	"gabD"	"glgC"	"glgP"	"glmM"	"glmS"	"glpE"	"glpF"	"glpR"	"glpT"	"hupB"	"hycE"	"hypE"	"iclR"	"ilvE"	"infB"	"ispH"	"kpsD"	"kpsE"	"kpsM"	"lptB"	"lsrG"	"metA"	"metH"	"metW"	"mraZ"	"mrdA"	"mrdB"	"mreB"	"mreC"	"mreD"	"nagD"	"nrdR"	"nusA"	"ompR"	"orn"	"pitB"	"ppiA"	"puuP"	"rep"	"rhlB"	"rho"	"rhsA"	"rmlB"	"rnc"	"rpoB"	"rpoC"	"rpoD"	"rpsA"	"rssB"	"secF"	"speB"	"tap"	"tldD"	"topA"	"torS"	"truB"	"uspA"	"wzyE"	"ybaL"	"ybbN"	"ybfA"	"ydaE"	"yehU"	"yfgA"	"yjcR"	"yjhA"	"yjhC"	"ynjA"	"zraR"
"ECB_02002"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.167074112533875	0	0	0	-0.0987467538693666	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00290133137032906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02512"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0906934368002103	0.0713503761829053	0	0	0	0.00340605002202735	0	0	0	0.0250281628563448	0	0	0	0	0	0	0	0	0	0	0	0	0.0457910669878986	0	0	0	0	0	0	0	0.0228669649872227	0	0	0	0	0	0	0	0	0	0.080444698485601	0	0	0	0.0856755305021358	0	0	0	0	0	0	0	0
"ECB_02798"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0202104090890863	0	0	0	0.0351579144767307	0	0	0	0	0	0	0	0.153987990460308	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0131217251766366	0	0	0.157863184950042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02804"	0	0	0	1	0	0	0	0	0	0.0313897543387446	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.13402015084893	0	0	0	0	0	0	0	0	-0.00985801001646574	0	0	0	0.0349929884751407	0	0.0390007661515482	0	0	0	0	0.033342437218543	0	0	0	0	0	0	0	0	-0.133658579207084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02821"	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11379569627732	0	0.118466994132863	0	0	0.114960115006352	0	0	0	0	0	0	0	0.00238524149256422	0	0	0	-0.00709669080060825	0	0	0.115777827286116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0359392445826917	0	0	0	0	0	0	0	0	0	0.0942390295589774	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_misc_RNA_7"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00526606760316924	0	0	0	0.0100814515883073	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.171100343347442	0	0	0.0579328871231292	-0.0327038041491019	0	0	0	0	0	0	0	0	0	0.165545378455451	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0695432240015841	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0578155358349172	0	0	0	0.150711220586075	0	0	0	0	0	0	0	0	0	0	0.00726950921798394	0	0	0	0.0563727385068789	0	0	0	0	0	0	0	0	0	-0.0348934057564683	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE2157"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0117090208928885	0	0	0	-0.140125507780886	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0272893228771884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS3_insF"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.100733787750548	0	0	0	0.0943701133849497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS5_ESec3"	0	0	0	0.0313897543387446	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.128540113595952	0	0	0	0	0	0	0	0	-0.00431136048822289	0	0	0	0.0293351790251665	0	0.0333512053231991	0	0	0	0	0.0275223816224146	0	0	0	0	0	0	0	0	-0.131354978502528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
