"ECB_01992"	"ECB_02002"	"ECB_04076"	"ESCRE1901"	"IS3_insF"	"cls"	"crp"	"eamA"	"fbp"	"fsr"	"gabD"	"glgP"	"glpR"	"hyfG"	"iclR"	"kpsE"	"lsrG"	"metA"	"metH"	"metJ"	"mrdA"	"mreB"	"nusA"	"oxyR"	"ppiA"	"rho"	"rpoB"	"rpoC"	"speB"	"tig"	"topA"	"ybaL"	"yfcI"	"yggG"	"yjbA"
"ECB_01992"	1	0	0.162262636783715	0	0	0	0.00140899984306671	0	0.0750182811903831	0	0	0	0.0271302603709631	0.162447448100589	0	0.159649283287019	0	0.00821336556056148	0.0260467699381916	-0.153680782920834	0	0.158821627858543	-0.0640190762754949	-0.153422301026469	0	0	0	0.0661237889409912	0	-0.15355816911334	0	-0.0555395381269447	-0.129732489793595	-0.145745282190389	0.160434851753116
"ECB_02002"	0	1	0	0	0	0	0	0.258076387552028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_04076"	0.162262636783715	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00526464864049819	0	0	0	0.112692860888009	0	-0.00541981587598046	0	0	-0.185704450885505	0	0
"ESCRE1901"	0	0	0	1	0	0	0	-0.113941549688741	0	0	0	0.0414936153414194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.157153651810817	0	0	0	0	0.33254989803956	0	0
"IS3_insF"	0	0	0	0	1	0	0	-0.261227403940959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"cls"	0	0	0	0	0	1	0	0.136706887397996	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.262384920750361	0	0	0	0	-0.0760891764075797	0	0
"crp"	0.00140899984306671	0	0	0	0	0	1	-0.295085349083223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"eamA"	0	0.258076387552028	0	-0.113941549688741	-0.261227403940959	0.136706887397996	-0.295085349083223	1	0.0378918215654092	0.252615661847668	0.257752052660795	0.0441479877893813	-0.013984323568405	0	0.264395772690844	-0.198308745027831	0.271843024637236	-0.309194837005953	-0.0139568616344536	0.0387754520183018	-0.283462324008412	0	0	0.0404513773147081	0.0508961248905095	0.139448399610036	-0.143296871286608	0.0128434101432612	-0.269644553031921	0.0404941596946257	0.265307098753893	-0.207751263947763	-0.00350760083011852	-0.0952409824664532	0
"fbp"	0.0750182811903831	0	0	0	0	0	0	0.0378918215654092	1	0	0	0.0540887496665118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.387743359104771	0	0	0	0	0	0	0
"fsr"	0	0	0	0	0	0	0	0.252615661847668	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
