"ECB_00737"	"ECB_00739"	"ECB_01992"	"ECB_02002"	"ESCRE1901"	"ESCRE3628"	"ESCRE4497"	"IS3_insF"	"araE"	"aroK"	"aspA"	"atoC"	"atpE"	"atpF"	"atpG"	"cbpA"	"clpB"	"cls"	"crp"	"dacA"	"dapA"	"dgsA"	"dnaA"	"dusB"	"efeO"	"endA"	"fbp"	"fcl"	"fis"	"fruK"	"glgC"	"glgP"	"glpG"	"glpR"	"glpT"	"gspG"	"hslU"	"hupB"	"iclR"	"ilvL"	"kpsD"	"kpsE"	"kpsM"	"kpsT"	"lon"	"lysP"	"manX"	"metH"	"metJ"	"mrdA"	"mreB"	"mreC"	"mreD"	"nusA"	"oxyR"	"pdhR"	"pmbA"	"ppk"	"prfA"	"proQ"	"proW"	"rho"	"rluB"	"rpoA"	"rpoB"	"rpoC"	"rpoD"	"rpoH"	"rpoS"	"rpsR"	"rssB"	"sbcC"	"sbmA"	"sufD"	"thiI"	"tig"	"tktB"	"uvrD"	"wbbC"	"wzyE"	"ybaL"	"ybeA"	"ybhJ"	"ycbC"	"ycgV"	"ycjP"	"ydcU"	"ydiJ"	"yecP"	"yehU"	"yejA"	"yfcN"	"ygfA"	"yjeP"	"ylbH"	"ynjI"	"yraL"	"yraQ"
"ECB_00737"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.067599040478006	0	0	0	0	0	0	0.151717492837476	0	0	0	0	0	0	0	0	0	0	-0.0410694931910987	0	0	0.12002534987479	0	0	0	0	0	0	0	0.0251094356645862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.121893970532635	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_00739"	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0167905391522629	0	0	0	0	0	0	0.0140782881453007	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00159277875615255	0	0	0	0.00234466989182224	0	0	0	-0.0932450833218647	-0.0587559611056602	0	0	0	0	0	0	0	0	0	0	0	-0.00069558641250023	0	0	0	0	0	0	0	0	0	0	0.15472903800773	0	0.176402847663868	0	0	0	0	0	0.0972689502467485
"ECB_01992"	0	0	1	0.0187928722176048	0	0	0	0	0	0	0	0	0	0	0	0	0.0657387065515851	0	0	0	0	0	0	-0.024731403428923	0	0	-0.0639318664443842	0	0.0656505152273761	0	-0.119818994425152	0.0322157457256292	0	0.0230382303446262	0	0	0.106430071291106	0	-0.222312911510338	0	0.052558042789017	0	0	0.052157599709031	0	0	0	0	0.0557051346617252	0	0	-0.0662884616077242	0	0	0	0.0306425144263308	0	-0.000889262214617087	0	0	0	0	-0.0256058901521748	0	0	-0.010906439485816	0	0	0	0	-0.00183304904880729	0	0	0	0	0	0	0	0.000967463630351434	0	0	0	0	0.147322067183869	0	0	0	0	0	0.0145609696254315	0	0	0	-0.0141173376656852	0	0	-0.000750529925588539	0
"ECB_02002"	0	0	0.0187928722176048	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.116625006989627	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0112903548521308	0	0	0	0	0	-0.0154007641640953	-0.00122844667409968	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153071693295591	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE1901"	0	0	0	0	1	0.107341112815016	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.115657069154316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00817559423455302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0900760537303764	0.138981394044379	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00719309516991341	0	0	0	0	0	0	0	0	0
"ESCRE3628"	0	0	0	0	0.107341112815016	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.112725536996916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00113678064317318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0867488145875864	0.138136314188489	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ESCRE4497"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00957068301910945	0	0	0	0.172800065954321	0	0.195955772182387	0	0	0	0	0.089355686006284	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"IS3_insF"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"araE"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153536449249282	0	0	0	0	0	-0.00537491700110407	0.0968216867876922	0	0	0	0	0	0.133258255496682	0	0	0	0	0	0	0	0	0	0	0	0	0.0722251475817162	0	0	0.130014135547686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.141899060442596	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"aroK"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.142308602184202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0707660288946806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
