"cls"	"dgsA"	"glgP"	"iclR"	"manX"	"mrdA"	"prfA"	"proW"	"rho"	"rpoB"	"rpsR"	"uvrD"	"ybaL"
"cls"	1	0	0	0	0	0	0	0	0	0	0	0	0
"dgsA"	0	1	0	0	0	0	0	0	0	-0.286602890432052	0	0	0
"glgP"	0	0	1	0	0	0	0	0	0	0.306855897027427	0	0	0
"iclR"	0	0	0	1	0	0	0	0	0	-0.293079884608274	0	0	0
"manX"	0	0	0	0	1	0	0	0	0	0.28550204571838	0	0	0
"mrdA"	0	0	0	0	0	1	0	0	0	0.263930003155709	0	0	0
"prfA"	0	0	0	0	0	0	1	0	0	0.25177263358709	0	0	0
"proW"	0	0	0	0	0	0	0	1	0	0.288826975029755	0	0	0
"rho"	0	0	0	0	0	0	0	0	1	-0.289349366525263	0	0	0
"rpoB"	0	-0.286602890432052	0.306855897027427	-0.293079884608274	0.28550204571838	0.263930003155709	0.25177263358709	0.288826975029755	-0.289349366525263	1	-0.325813485444426	0.314204988139291	-0.384149795902654
"rpsR"	0	0	0	0	0	0	0	0	0	-0.325813485444426	1	0	0
"uvrD"	0	0	0	0	0	0	0	0	0	0.314204988139291	0	1	0
"ybaL"	0	0	0	0	0	0	0	0	0	-0.384149795902654	0	0	1
