clonea	popb	day	# mutationsc	mutatord
D11_4-1	4	11	1	-
D11_4-2	4	11	2	-
D11_4-3	4	11	1	-
D11_4-4	4	11	1	-
D11_4-6	4	11	1	-
D11_4-7	4	11	1	-
D11_4-8	4	11	0	-
D11_4-9	4	11	1	-
D11_4-10	4	11	1	-
D22_4-1	4	22	3	-
D22_4-2	4	22	4	-
D22_4-3	4	22	4	-
D22_4-4	4	22	4	-
D22_4-5	4	22	4	-
D22_4-6	4	22	4	-
D22_4-7	4	22	4	-
D22_4-8	4	22	4	-
D22_4-9	4	22	4	-
D22_4-10	4	22	4	-
D32_4-1	4	32	4	-
D32_4-2	4	32	4	-
D32_4-3	4	32	2	-
D32_4-4	4	32	10	+
D32_4-5	4	32	10	+
D32_4-6	4	32	9	+
D32_4-7	4	32	8	+
D32_4-8	4	32	4	-
D32_4-9	4	32	10	+
D32_4-10	4	32	4	-
D42_4-1	4	42	18	+
D42_4-2	4	42	13	+
D42_4-3	4	42	10	+
D42_4-4	4	42	13	+
D42_4-5	4	42	6	+
D42_4-6	4	42	10	+
D42_4-7	4	42	14	+
D42_4-8	4	42	7	+
D42_4-9	4	42	13	+
D42_4-10	4	42	15	+
D64_4-1	4	64	15	+
D64_4-2	4	64	12	+
D64_4-3	4	64	12	+
D64_4-4	4	64	20	+
D64_4-5	4	64	14	+
D64_4-6	4	64	19	+
D64_4-7	4	64	19	+
D64_4-8	4	64	15	+
D64_4-9	4	64	21	+
D64_4-10	4	64	20	+
D127_4-1	4	127	13	+
D127_4-2	4	127	12	+
D127_4-3	4	127	9	+
D127_4-4	4	127	24	+
D127_4-5	4	127	11	+
D127_4-6	4	127	22	+
D127_4-7	4	127	15	+
D127_4-8	4	127	9	+
D127_4-9	4	127	9	+
D127_4-10	4	127	15	+
				
a Clone name				
b Population number				
c Number of mutations in this clone				
d Presence/absence (+/-) of a mutation in mutL/mutS				
