clonea	popb	day	# mutationsc	mutatord
D11_3-1	3	11	1	-
D11_3-2	3	11	2	-
D11_3-3	3	11	1	-
D11_3-4	3	11	2	-
D11_3-5	3	11	1	-
D11_3-6	3	11	1	-
D11_3-7	3	11	2	-
D11_3-8	3	11	1	-
D11_3-9	3	11	1	-
D11_3-10	3	11	1	-
D64_3-1	3	64	8	-
D64_3-2	3	64	4	-
D64_3-3	3	64	11	+
D64_3-4	3	64	9	+
D64_3-5	3	64	5	-
D64_3-6	3	64	3	-
D64_3-7	3	64	11	+
D64_3-8	3	64	5	-
D64_3-9	3	64	4	-
D64_3-10	3	64	4	-
D127_3-1	3	127	8	-
D127_3-2	3	127	7	-
D127_3-3	3	127	18	+
D127_3-4	3	127	6	-
D127_3-5	3	127	9	-
D127_3-6	3	127	9	-
D127_3-7	3	127	9	-
D127_3-8	3	127	10	-
D127_3-9	3	127	18	+
D127_3-13	3	127	6	-
D127_3-14	3	127	8	-
				
a Clone name				
b Population number				
c Number of mutations in this clone				
d Presence/absence (+/-) of a mutation in mutL/mutS				
