clonea	popb	day	# mutationsc	mutatord
D11_1-1	1	11	2	-
D11_1-2	1	11	1	-
D11_1-3	1	11	1	-
D11_1-4	1	11	2	-
D11_1-5	1	11	2	-
D11_1-6	1	11	1	-
D11_1-7	1	11	1	-
D11_1-8	1	11	2	-
D11_1-9	1	11	1	-
D11_1-10	1	11	1	-
D22_1-1	1	22	3	-
D22_1-2	1	22	2	-
D22_1-3	1	22	3	-
D22_1-4	1	22	3	-
D22_1-5	1	22	3	-
D22_1-6	1	22	4	-
D22_1-7	1	22	3	-
D22_1-8	1	22	3	-
D22_1-9	1	22	3	-
D22_1-10	1	22	3	-
D22_1-11	1	22	3	-
D32_1-1	1	32	4	-
D32_1-2	1	32	3	-
D32_1-3	1	32	3	-
D32_1-4	1	32	3	-
D32_1-5	1	32	3	-
D32_1-6	1	32	3	-
D32_1-7	1	32	3	-
D32_1-8	1	32	3	-
D32_1-9	1	32	3	-
D32_1-10	1	32	4	-
D42_1-1	1	42	4	-
D42_1-2	1	42	4	-
D42_1-3	1	42	4	-
D42_1-4	1	42	4	-
D42_1-5	1	42	4	-
D42_1-6	1	42	6	-
D42_1-7	1	42	4	-
D42_1-8	1	42	4	-
D42_1-9	1	42	4	-
D42_1-10	1	42	5	-
D42_1-11	1	42	3	-
D64_1-1	1	64	5	-
D64_1-2	1	64	5	-
D64_1-3	1	64	5	-
D64_1-4	1	64	5	-
D64_1-5	1	64	5	-
D64_1-6	1	64	5	-
D64_1-7	1	64	5	-
D64_1-8	1	64	5	-
D64_1-9	1	64	7	-
D64_1-10	1	64	6	-
D127_1-1	1	127	7	-
D127_1-2	1	127	8	-
D127_1-3	1	127	7	-
D127_1-4	1	127	9	-
D127_1-5	1	127	8	-
D127_1-6	1	127	7	-
D127_1-11	1	127	8	-
D127_1-12	1	127	8	-
D127_1-13	1	127	8	-
D127_1-14	1	127	8	-
				
a Clone name				
b Population number				
c Number of mutations in this clone				
d Presence/absence (+/-) of a mutation in mutL/mutS				
