clonea	popb	day	# mutationsc	mutatord
D11_5-1	5	11	0	-
D11_5-2	5	11	0	-
D11_5-3	5	11	1	-
D11_5-4	5	11	1	-
D11_5-5	5	11	1	-
D11_5-7	5	11	1	-
D11_5-8	5	11	1	-
D11_5-9	5	11	1	-
D11_5-10	5	11	1	-
D64_5-1	5	64	5	-
D64_5-2	5	64	6	-
D64_5-3	5	64	5	-
D64_5-4	5	64	5	-
D64_5-5	5	64	5	-
D64_5-6	5	64	5	-
D64_5-7	5	64	4	-
D64_5-8	5	64	4	-
D64_5-9	5	64	5	-
D64_5-10	5	64	5	-
D127_5-1	5	127	5	-
D127_5-2	5	127	8	-
D127_5-3	5	127	10	-
D127_5-4	5	127	7	-
D127_5-5	5	127	7	-
D127_5-6	5	127	9	-
D127_5-7	5	127	10	-
D127_5-8	5	127	10	-
D127_5-9	5	127	9	-
D127_5-10	5	127	9	-
				
a Clone name				
b Population number				
c Number of mutations in this clone				
d Presence/absence (+/-) of a mutation in mutL/mutS				
