clonea	popb	day	# mutationsc	mutatord
D11_2-1	2	11	1	-
D11_2-2	2	11	2	-
D11_2-3	2	11	2	-
D11_2-4	2	11	1	-
D11_2-5	2	11	3	-
D11_2-6	2	11	1	-
D11_2-7	2	11	2	-
D11_2-8	2	11	1	-
D11_2-9	2	11	3	-
D11_2-10	2	11	1	-
D22_2-1	2	22	16	+
D22_2-2	2	22	8	+
D22_2-3	2	22	10	+
D22_2-4	2	22	8	+
D22_2-5	2	22	9	+
D22_2-6	2	22	12	+
D22_2-7	2	22	12	+
D22_2-8	2	22	12	+
D22_2-9	2	22	9	+
D22_2-10	2	22	9	+
D32_2-1	2	32	8	+
D32_2-2	2	32	8	+
D32_2-3	2	32	4	-
D32_2-4	2	32	8	+
D32_2-5	2	32	10	+
D32_2-6	2	32	11	+
D32_2-7	2	32	4	-
D32_2-8	2	32	3	-
D32_2-9	2	32	9	+
D32_2-10	2	32	8	+
D42_2-1	2	42	12	+
D42_2-2	2	42	3	-
D42_2-3	2	42	9	+
D42_2-4	2	42	13	+
D42_2-5	2	42	9	+
D42_2-6	2	42	6	+
D42_2-7	2	42	12	+
D42_2-8	2	42	10	+
D42_2-9	2	42	11	+
D42_2-10	2	42	12	+
D64_2-1	2	64	13	+
D64_2-2	2	64	15	+
D64_2-3	2	64	5	-
D64_2-4	2	64	15	+
D64_2-5	2	64	7	-
D64_2-6	2	64	3	-
D64_2-7	2	64	6	-
D64_2-8	2	64	5	-
D64_2-9	2	64	8	-
D64_2-10	2	64	6	-
D127_2-1	2	127	8	-
D127_2-2	2	127	17	+
D127_2-3	2	127	17	+
D127_2-4	2	127	8	-
D127_2-5	2	127	4	-
D127_2-6	2	127	4	-
D127_2-7	2	127	8	-
D127_2-8	2	127	8	-
D127_2-11	2	127	79	+
D127_2-12	2	127	275	+
D127_2-13	2	127	290	+
				
a Clone name				
b Population number				
c Number of mutations in this clone				
d Presence/absence (+/-) of a mutation in mutL/mutS				
