Generations	Iteration	k_max
5250	0	25
5250	1	23
5250	2	24
5250	3	22
5250	4	24
5250	5	25
5250	6	23
5250	7	22
5250	8	22
5250	9	21
5250	10	23
5250	11	22
5250	12	21
5250	13	22
5250	14	22
5250	15	22
5250	16	22
5250	17	23
5250	18	21
5250	19	25
5250	20	20
5250	21	23
5250	22	19
5250	23	22
5250	24	22
5250	25	21
5250	26	22
5250	27	20
5250	28	23
5250	29	22
5250	30	24
5250	31	23
5250	32	21
5250	33	23
5250	34	21
5250	35	21
5250	36	25
5250	37	27
5250	38	23
5250	39	24
5250	40	21
5250	41	22
5250	42	23
5250	43	21
5250	44	19
5250	45	23
5250	46	23
5250	47	22
5250	48	21
5250	49	21
5250	50	27
5250	51	22
5250	52	23
5250	53	23
5250	54	21
5250	55	22
5250	56	23
5250	57	23
5250	58	21
5250	59	21
5250	60	22
5250	61	23
5250	62	23
5250	63	22
5250	64	21
5250	65	19
5250	66	23
5250	67	22
5250	68	22
5250	69	20
5250	70	22
5250	71	20
5250	72	22
5250	73	23
5250	74	22
5250	75	24
5250	76	24
5250	77	20
5250	78	22
5250	79	30
5250	80	20
5250	81	21
5250	82	21
5250	83	23
5250	84	24
5250	85	26
5250	86	24
5250	87	24
5250	88	23
5250	89	21
5250	90	26
5250	91	24
5250	92	20
5250	93	21
5250	94	23
5250	95	24
5250	96	20
5250	97	21
5250	98	23
5250	99	22
5250	100	21
5250	101	22
5250	102	22
5250	103	23
5250	104	21
5250	105	22
5250	106	20
5250	107	22
5250	108	23
5250	109	21
5250	110	21
5250	111	25
5250	112	24
5250	113	22
5250	114	21
5250	115	24
5250	116	22
5250	117	23
5250	118	22
5250	119	21
5250	120	23
5250	121	20
5250	122	21
5250	123	23
5250	124	24
5250	125	22
5250	126	19
5250	127	23
5250	128	23
5250	129	20
5250	130	24
5250	131	25
5250	132	22
5250	133	20
5250	134	24
5250	135	22
5250	136	24
5250	137	22
5250	138	20
5250	139	23
5250	140	20
5250	141	22
5250	142	20
5250	143	23
5250	144	23
5250	145	25
5250	146	21
5250	147	24
5250	148	23
5250	149	25
5250	150	23
5250	151	22
5250	152	23
5250	153	22
5250	154	22
5250	155	22
5250	156	22
5250	157	22
5250	158	21
5250	159	22
5250	160	23
5250	161	24
5250	162	23
5250	163	21
5250	164	20
5250	165	23
5250	166	24
5250	167	20
5250	168	22
5250	169	22
5250	170	23
5250	171	22
5250	172	22
5250	173	21
5250	174	22
5250	175	23
5250	176	20
5250	177	21
5250	178	23
5250	179	24
5250	180	21
5250	181	23
5250	182	21
5250	183	21
5250	184	22
5250	185	23
5250	186	22
5250	187	22
5250	188	23
5250	189	21
5250	190	24
5250	191	22
5250	192	22
5250	193	22
5250	194	20
5250	195	23
5250	196	20
5250	197	23
5250	198	24
5250	199	26
5250	200	21
5250	201	22
5250	202	21
5250	203	21
5250	204	22
5250	205	22
5250	206	21
5250	207	27
5250	208	22
5250	209	23
5250	210	24
5250	211	24
5250	212	22
5250	213	21
5250	214	21
5250	215	24
5250	216	22
5250	217	23
5250	218	21
5250	219	24
5250	220	22
5250	221	22
5250	222	21
5250	223	24
5250	224	23
5250	225	21
5250	226	24
5250	227	22
5250	228	23
5250	229	22
5250	230	21
5250	231	23
5250	232	25
5250	233	20
5250	234	20
5250	235	21
5250	236	24
5250	237	23
5250	238	21
5250	239	21
5250	240	21
5250	241	23
5250	242	22
5250	243	20
5250	244	22
5250	245	19
5250	246	23
5250	247	24
5250	248	22
5250	249	20
5250	250	23
5250	251	26
5250	252	20
5250	253	23
5250	254	24
5250	255	20
5250	256	23
5250	257	25
5250	258	22
5250	259	23
5250	260	23
5250	261	23
5250	262	21
5250	263	23
5250	264	21
5250	265	23
5250	266	22
5250	267	22
5250	268	21
5250	269	21
5250	270	24
5250	271	22
5250	272	24
5250	273	23
5250	274	21
5250	275	22
5250	276	23
5250	277	24
5250	278	25
5250	279	23
5250	280	21
5250	281	22
5250	282	21
5250	283	22
5250	284	23
5250	285	23
5250	286	22
5250	287	22
5250	288	21
5250	289	23
5250	290	21
5250	291	24
5250	292	24
5250	293	24
5250	294	22
5250	295	23
5250	296	21
5250	297	21
5250	298	21
5250	299	22
5250	300	22
5250	301	22
5250	302	22
5250	303	22
5250	304	26
5250	305	23
5250	306	23
5250	307	22
5250	308	23
5250	309	22
5250	310	24
5250	311	22
5250	312	22
5250	313	22
5250	314	21
5250	315	25
5250	316	22
5250	317	24
5250	318	22
5250	319	24
5250	320	22
5250	321	20
5250	322	23
5250	323	21
5250	324	21
5250	325	24
5250	326	22
5250	327	25
5250	328	23
5250	329	22
5250	330	22
5250	331	20
5250	332	21
5250	333	26
5250	334	24
5250	335	26
5250	336	22
5250	337	24
5250	338	23
5250	339	24
5250	340	22
5250	341	24
5250	342	21
5250	343	23
5250	344	22
5250	345	26
5250	346	21
5250	347	22
5250	348	21
5250	349	22
5250	350	24
5250	351	22
5250	352	22
5250	353	20
5250	354	21
5250	355	23
5250	356	22
5250	357	22
5250	358	23
5250	359	22
5250	360	25
5250	361	21
5250	362	23
5250	363	23
5250	364	21
5250	365	21
5250	366	22
5250	367	24
5250	368	24
5250	369	21
5250	370	21
5250	371	22
5250	372	22
5250	373	22
5250	374	24
5250	375	24
5250	376	23
5250	377	24
5250	378	22
5250	379	23
5250	380	24
5250	381	21
5250	382	24
5250	383	19
5250	384	21
5250	385	23
5250	386	25
5250	387	21
5250	388	22
5250	389	22
5250	390	21
5250	391	21
5250	392	25
5250	393	28
5250	394	20
5250	395	22
5250	396	21
5250	397	22
5250	398	24
5250	399	22
5250	400	22
5250	401	23
5250	402	20
5250	403	22
5250	404	20
5250	405	22
5250	406	23
5250	407	23
5250	408	24
5250	409	23
5250	410	22
5250	411	22
5250	412	22
5250	413	27
5250	414	23
5250	415	21
5250	416	22
5250	417	21
5250	418	22
5250	419	25
5250	420	22
5250	421	22
5250	422	22
5250	423	27
5250	424	24
5250	425	23
5250	426	23
5250	427	23
5250	428	23
5250	429	20
5250	430	21
5250	431	22
5250	432	22
5250	433	24
5250	434	22
5250	435	21
5250	436	26
5250	437	24
5250	438	25
5250	439	22
5250	440	22
5250	441	22
5250	442	22
5250	443	22
5250	444	20
5250	445	22
5250	446	23
5250	447	21
5250	448	22
5250	449	22
5250	450	25
5250	451	21
5250	452	23
5250	453	21
5250	454	22
5250	455	22
5250	456	22
5250	457	22
5250	458	25
5250	459	23
5250	460	22
5250	461	20
5250	462	23
5250	463	20
5250	464	23
5250	465	19
5250	466	24
5250	467	23
5250	468	23
5250	469	22
5250	470	23
5250	471	25
5250	472	24
5250	473	19
5250	474	21
5250	475	22
5250	476	25
5250	477	23
5250	478	25
5250	479	22
5250	480	22
5250	481	21
5250	482	23
5250	483	20
5250	484	20
5250	485	25
5250	486	23
5250	487	25
5250	488	24
5250	489	22
5250	490	21
5250	491	22
5250	492	21
5250	493	20
5250	494	22
5250	495	24
5250	496	23
5250	497	22
5250	498	22
5250	499	21
5250	500	23
5250	501	28
5250	502	24
5250	503	21
5250	504	23
5250	505	21
5250	506	24
5250	507	22
5250	508	20
5250	509	25
5250	510	22
5250	511	22
