Generations	N	k_max	k_mean	C_mean	C_mean_no1or2	d_mean
5250	41	30	12.1463414634	0.654246958863	0.687798084959	2.5775978407557356
1750	24	17	10.9166666667	0.692154876714	0.722248567006	1.98333333333
9250	66	48	8.45454545455	0.695303303489	0.764833633838	2.9815668202764978
17250	109	51	5.28440366972	0.346499372695	0.444334489691	3.2377777777777776
13750	94	61	7.10638297872	0.659637878661	0.712712190738	3.348569969356486
33250	164	77	3.34146341463	0.416760442925	0.804102501644	3.152995391705069
37750	179	88	3.31843575419	0.164515850707	0.334640196325	3.24187406500748
29750	155	60	3.08387096774	0.259542457621	0.705773349672	3.354673376199795
54750	231	118	3.68831168831	0.295878129642	0.594329112585	3.3097738446411014
50250	224	95	3.16964285714	0.338853403461	0.937076078708	3.797803617571059
25750	142	64	3.50704225352	0.314934191393	0.596275402371	3.139667350193666
21250	128	60	4.078125	0.447689863935	0.716303782297	2.9719413189004413
42250	191	65	2.8167539267	0.173426797117	0.662490364987	3.5547949318441123
46750	214	83	3.0	0.233697087014	0.909294120382	3.3058345289335245
19250	117	58	5.57264957265	0.472448022564	0.55834766303	3.3459954233409612
15250	101	60	5.82178217822	0.510253746205	0.599251492636	3.5747948664001683
11750	81	55	6.91358024691	0.559612926451	0.686797682463	3.06018018018018
39750	186	63	2.83870967742	0.219463805216	0.816405355403	3.5644639116358787
40250	188	64	2.84042553191	0.170905654269	0.655719653115	3.5517544410269286
44750	204	76	2.98039215686	0.258182193709	0.892697754518	3.4233148295003963
27750	152	54	2.90789473684	0.149188553936	0.412302912696	3.413572343149808
23250	134	55	3.67164179104	0.321812162449	0.61604042526	3.128516129032258
52250	227	92	3.28634361233	0.374291639033	0.94404668956	3.9275271249633446
31250	160	55	3.0	0.296985553562	0.766414331773	3.3077404921700224
35750	174	81	3.59770114943	0.223478517689	0.360048722943	3.18386272362176
48750	221	94	3.14027149321	0.330186621169	0.93552875998	3.7917441757463015
7250	52	37	9.61538461538	0.66820749918	0.694935799147	1.78911205074
3750	31	21	12.064516129	0.665463529613	0.711357566138	2.4482758620689653
52750	229	106	3.65065502183	0.436994722748	0.901547671255	3.374879884689302
48250	219	88	3.10502283105	0.319497366582	0.932932310419	3.784518167456556
35250	172	84	3.47674418605	0.372863186372	0.610785410057	3.196992368696693
31750	160	55	3.0	0.296985553562	0.766414331773	3.3077404921700224
44250	202	71	2.92079207921	0.245919891966	0.903196694131	3.4250841301212542
40750	189	65	2.8253968254	0.175271942015	0.662527940816	3.5535911602209946
39250	184	91	3.3152173913	0.429263452072	0.858526904144	3.265729327170005
23750	136	49	3.32352941176	0.217147573114	0.476323708766	3.3244594425696787
27250	151	54	2.99337748344	0.207738983302	0.522809774644	3.323843771850964
11250	78	49	7.30769230769	0.593813685126	0.73519789587	3.0633098852276937
15750	107	53	5.23364485981	0.364777677438	0.42425229876	3.2729810996563575
19750	118	58	5.52542372881	0.451343427722	0.537964893648	3.467166416791604
3250	31	21	11.8064516129	0.677535262545	0.724261832375	2.586206896551724
7750	55	40	7.6	0.725757225281	0.753144290386	1.61794871795
9750	72	53	7.05555555556	0.50744349762	0.629929859115	2.90342405618964
1250	17	12	7.05882352941	0.66754944402	0.709271284271	1.96428571429
5750	43	37	10.4651162791	0.666869833264	0.699400069033	2.624390243902439
21750	131	60	4.01526717557	0.427779454707	0.709355804641	2.9808968974393713
25250	141	65	3.47517730496	0.306284913472	0.583596929724	3.1411057136247975
46250	211	82	3.00473933649	0.231664124868	0.905206117541	3.3195142174315952
42750	195	65	2.81025641026	0.168155846567	0.669191634299	3.5675675675675675
37250	179	88	3.46368715084	0.171024334671	0.303102533724	3.250373997008024
33750	167	79	3.40119760479	0.45712640622	0.867501248168	3.1581875352737243
50750	224	93	3.27678571429	0.374840428544	0.943418606672	3.937941429801895
54250	231	118	3.68831168831	0.295878129642	0.594329112585	3.3097738446411014
29250	153	55	2.88888888889	0.141661093279	0.401373097623	3.414335664335664
13250	93	61	6.88172043011	0.682558269131	0.705310211436	3.2214731585518104
17750	113	52	5.11504424779	0.298980773638	0.397468557895	3.261762509335325
51250	225	93	3.28888888889	0.377619147634	0.944047869085	3.9384707287933094
28750	153	55	2.88888888889	0.141661093279	0.401373097623	3.414335664335664
32250	161	56	3.04347826087	0.295780274035	0.768074582574	3.274701986754967
36750	174	81	3.59770114943	0.223478517689	0.360048722943	3.18386272362176
43250	198	63	2.78787878788	0.195968934658	0.760820569849	3.383235867446394
47750	217	87	3.10599078341	0.317843834923	0.932055569977	3.778432094221568
24750	139	60	3.52517985612	0.30318358706	0.585312758351	3.1385807990459154
20250	123	60	5.34959349593	0.431031173212	0.514726546651	3.4993112947658402
16250	107	53	5.23364485981	0.364777677438	0.42425229876	3.2729810996563575
12750	88	59	7.43181818182	0.733749113507	0.759646141043	3.2134453781512606
750	15	8	4.93333333333	0.690634920635	0.739965986395	1.26984126984
4250	33	25	12.1212121212	0.659828157711	0.702397716273	2.6580645161290324
8250	57	42	8.66666666667	0.680009901161	0.717788229003	3.034833091436865
6250	46	32	11.0	0.619676791654	0.662910056189	2.953488372093023
2750	29	18	11.0344827586	0.728170494144	0.782109049266	3.230769230769231
26750	147	57	3.12925170068	0.301719366459	0.682349951838	3.228130539047023
22250	133	61	4.01503759398	0.431314293365	0.70820741997	2.9812483608707057
41250	189	65	2.8253968254	0.175271942015	0.662527940816	3.5535911602209946
45750	208	80	3.01923076923	0.228575820547	0.880440197664	3.3203015075376885
38750	181	88	3.30386740331	0.16360276076	0.332720221321	3.253604411666999
49750	222	94	3.15315315315	0.328703451061	0.935540591481	3.793997630643675
30250	157	56	2.85350318471	0.236095708437	0.726804435776	3.308236808236808
34750	168	83	3.42857142857	0.344086102616	0.578064652395	3.184748427672956
53250	230	122	3.74782608696	0.308775248723	0.601850061071	3.3007936507936506
18250	115	57	5.13043478261	0.458473402572	0.538004503019	3.3511378002528445
14250	97	50	5.58762886598	0.529030069948	0.641448959811	3.5573339703774485
10750	74	55	7.67567567568	0.51690909892	0.637521222001	2.879503105590062
2250	26	18	10.9230769231	0.662628114721	0.717847124281	3.329710144927536
6750	50	33	10.56	0.661358073879	0.688914660291	2.87677304964539
10250	72	53	7.05555555556	0.50744349762	0.629929859115	2.90342405618964
14750	99	56	6.0404040404	0.544258267176	0.649175523499	3.232669869595058
18750	116	58	5.53448275862	0.449213749169	0.531722396975	3.4915385809656887
34250	167	78	3.29341317365	0.42115013418	0.857708200098	3.1629444489236476
30750	157	55	2.90445859873	0.270680029645	0.758870797397	3.3045382536576273
49250	221	94	3.14027149321	0.330186621169	0.93552875998	3.7917441757463015
53750	231	118	3.68831168831	0.295878129642	0.594329112585	3.3097738446411014
22750	133	61	4.01503759398	0.431314293365	0.70820741997	2.9812483608707057
26250	142	64	3.40845070423	0.276052054711	0.559991310984	3.3349792391426325
38250	180	88	3.31111111111	0.177546484336	0.363163263416	3.172469417932518
45250	207	80	2.98550724638	0.231308195651	0.903411254712	3.3203390690827876
41750	189	65	2.8253968254	0.175271942015	0.662527940816	3.5535911602209946
250	9	3	2.66666666667	0.888888888889	1.0	1.0
