"ECB_00737"	"ECB_01992"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"ECB_00737"	1	0	0	0	0.0245758428484072	0	0	0	0	0	0	0	0.0658186689102714	0.13591829010945	0	0	0.0198186098403018	0	0	0	0	0	0	0	0.00976452295080743	0	0	0	0	0	0	0	0	0	0	-0.00073362016068513	0	0	0	-0.000629642471695196	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00170717082845998	0.0261690385635117	0	0	0	0	0	0	0	0	0	0	0	0	-0.0188929300349081	0.0233071740306831	0	0.0425111028376663
"ECB_01992"	0	1	0	0.0197383397984645	-0.00550056801605352	0	0	0	0	0	-0.0497350513074343	0	-0.0467909017949417	-0.022032811143831	0	0	-0.00332379978821864	0	0	0	0	0	0	0	-0.0167875358280522	0	0	0	0.0179015763006671	0	0	0	0	0	0.0167547210091236	0	0	0	0	0	0	0	0.01761424184768	0	0	0.0118440038446634	0.00695891204640868	0	0	0.0102306047584281	0	0	-0.00734278588963068	0.0169693938583896	0	0.0286935338251101	0	-0.0060749668218717	0	0	0	0	0	0	0	0	0	0	0	0.0109163272615522	0.175221405707433	0	0	-0.00981597696800198
"ECB_02816"	0	0	1	0	0	0	0	0	0.00388767965927999	0	0	0	-0.00109470693901738	0	0	0	0	0	0.00651193773070561	0	0	0	0	0	0	0	0.00629744374760586	0	0	0.00919074533641379	0	0.00346341902172394	0	0	0	0	0	0.00521146471863086	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00701349349389077	0.00716019504220727	0	0	0	0	0	0	0.219953882035673	0	0
"ECB_03722"	0	0.0197383397984645	0	1	0	0	0	0	0	0	-0.0556369280440973	0	-0.0423266284060399	-0.00950217614148435	0	0	0	0	0	0	0	0	0	0	-0.00599058561820478	0	0	0	0.00657181711324534	0	0	0	0	0	0.0050432639999452	0	0	0	0	0	0	0	0.00618797846330289	0	0	0	0	0	0	0	0	0	0	0.00533693046604857	0	0.0219577532786185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.196556160651547	0	0	-0.00183841898830508
"acpP"	0.0245758428484072	-0.00550056801605352	0	0	1	0	0	0.022411646823175	0	0	-0.0205607207050535	-0.0233209216707324	0.0710368711695667	0.0989181553632737	0	0	0.0328203402600431	0	0	0	0	0	0	0	0.0391683253812002	-0.0225572416590776	0	0	0	0	0.0245186689647893	0	0	0	0	-0.0263803130319182	0	0	0	-0.0263503927089548	0	-0.0251749722662362	0	-0.00296511089140284	0	0	0	-0.0212534290074137	0	0	0	0.0261635550135222	0.0340040388230417	0	0	-0.00719161852713823	0.0279235629133226	0.0344713355155334	0.0269828957785745	0.0178252076701242	0.0250354436710694	0	0.017490839879132	0	0	0	0	0.00789750249043595	0	0	-0.0332672587782839	0.00743009403641459	0	0.0411269239627668
"appC"	0	0	0	0	0	1	0	0	0	0	0.132509655010165	0	-0.028119968742884	-0.0605879942637502	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00922594628450124	0	0	0	0	0	0	0.00726290499313527	0	0	0.0347357344395772	0	0	0	0	0.0117568534318959	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0153307618127153	0	0.00962358915960807	0	-0.109654834353964	0.00869216154769863	0.00760010501939469	-0.00100166946851478
"arcA"	0	0	0	0	0	0	1	0	0	0	0.0432476628826657	0	0	0.022345223484738	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.206526135498247	0.162312628687278	0	0
"cycA"	0	0	0	0	0.022411646823175	0	0	1	0	0	0	0	0.0631475508722461	0.136153299001491	0	0	0.0173552967198546	0	0	0	0	0	0	0	0.00533896669275266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0241264241266092	0	0	0	0	0	0	0	0	0	0	0	0	-0.0154912844738143	0.0230482879065862	0	0.0412033381783047
"envZ"	0	0	0.00388767965927999	0	0	0	0	0	1	0	0	0	-0.00144419071371279	0.000310941343750773	0	0	0	0	0.0103626795204117	0	0	0	0	0	0	0	0.0101626560834569	0	0	0.0128742656485695	0	0.00751306143400659	0	0	0	0	0	0.00915814438823946	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0108529968292817	0.010986621955525	0	0	0	0	0	0	0.217776447251645	0	0
"fabF"	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0953004363211493	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.221165192484242	0	-0.0134842868187926
"flgB"	0	-0.0497350513074343	0	-0.0556369280440973	-0.0205607207050535	0.132509655010165	0.0432476628826657	0	0	0	1	0.00021978630940308	-0.06234694216359	-0.10523301510473	-0.000748808100572162	0	-0.015831846786463	-0.00839320947875699	0	0.00322703620683592	-0.182040912208951	0	0	0.148070770951447	-0.0240590050715573	0.0337315006111681	0	0.00640527900580682	-0.0571516607707026	0	0	0	0	0.132034912818975	-0.0573087678937491	0.00107633419790925	-0.00414155230442072	0	0	0.00118367283915096	0.133098874021383	0.000982031727225833	-0.057232352791182	0.112717493652986	0.0414395646530126	-0.0573349754615672	-0.0521186122309179	0	0.13075616935611	-0.0557940315087601	0.128376929648468	-0.00129174918903452	-0.0179232764860893	-0.0572697994312751	-0.00125052494429853	-0.0492970556949941	-0.00364667348354391	-0.0221800788198618	-0.00234640497469426	0	-0.000132868920223612	-0.00054145510901768	0	0	0	0	0.128807604116255	-0.000329091638886004	0.131838719708363	-0.0564532003064684	-0.078557691703785	0.0110048557417396	0.132986907645085	-0.040300236883702
"galF"	0	0	0	0	-0.0233209216707324	0	0	0	0	0	0.00021978630940308	1	-0.0264416831070211	-0.12532982435157	0	0	-0.0180245595052209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0256602225886008	0	0	0	0.0255851166458562	0	0.0236951318058286	0	0	0	0	0	0.0197022492156451	0	0	0	0	0	0	0	0	-0.00130587643791906	-0.0251861050041677	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.104235069134034	0	-0.0424278052238331
"hokB"	0.0658186689102714	-0.0467909017949417	-0.00109470693901738	-0.0423266284060399	0.0710368711695667	-0.028119968742884	0	0.0631475508722461	-0.00144419071371279	0	-0.06234694216359	-0.0264416831070211	1	0.0855395801713751	0.101519603419378	0	0.0726847629865864	0.101281469800544	-0.00228969594056925	0	0.048739644555982	-0.110177924543147	0	-0.0730825658206968	0.169851039844546	-0.0965981556997989	-0.00222194692639441	-7.45270472703226e-05	-0.0390530253191108	-0.00311151982356432	0.0657580118282141	-0.00120181703708188	0	-0.0281713198319378	-0.0376721116037258	-0.0266579104774328	0.101699186960173	-0.00181674537957766	0.101010349337224	-0.0266747296548939	-0.0275679519771489	-0.0270344848135618	-0.0387479140189673	-0.0329248932475922	-0.152336806263639	-0.0275255896997915	-0.0240778730216233	-0.0251918934069212	-0.0288243034746578	-0.0260962943135452	0	0.0674581014226773	0.174778788367885	-0.0380290508548437	0.101875212707194	-0.0459355406559682	0.0694852063464369	0.0706301921811719	0.0684199689522132	0.0577412009915074	0.0662854887784557	0.101342057510175	0.0573132741020524	-0.00246400603308041	-0.00256677479589895	-0.102854251462669	-0.0295065460642537	0	-0.0283036580369062	-0.0267229490753808	-0.0430089748495463	-0.0628944731200186	-0.0278647605166542	0.0687671040462863
"hokD"	0.13591829010945	-0.022032811143831	0	-0.00950217614148435	0.0989181553632737	-0.0605879942637502	0.022345223484738	0.136153299001491	0.000310941343750773	-0.0953004363211493	-0.10523301510473	-0.12532982435157	0.0855395801713751	1	0.00914966197423967	0	0.107086333806398	0.0100443373792645	0.00109708847295346	-0.132409932557951	0.0153461436939455	0	0.143226476492217	-0.0131034007473198	0.125213373681219	-0.242068249229888	0.00103662045194977	0	-0.0072834621631679	0.00190046110282809	0.135960646474872	0.000205363108143217	0	-0.0605716836244779	-0.00582011652793197	-0.125205728168788	0.0102869157817066	0.000692075206088248	0.00461383663698739	-0.125327984529466	-0.0597747336643654	-0.126352881035493	-0.00672613732696101	-0.0722253196212819	-0.0870649131732698	-0.00425334884302639	-0.00437828694768034	-0.122765346136624	-0.0614675252818877	-0.00427812929261976	-0.0119027616978823	0.133686887793501	0.126690332294204	-0.00588028696222835	0.00957908751448843	-0.0250670170403158	0.130747674212451	0.0962431651206067	0.132771343650903	0.135949766001993	0.135411187356073	0.00862586728593683	0.135912467391617	0.00119222361693058	0.00123429260668382	0	-0.0626880164711661	0.152822701564273	-0.0607451896955231	-0.0042962561769568	-0.0126443097681977	0.0110785172569471	-0.0602138695729176	0.0792464142000225
"hsdS"	0	0	0	0	0	0	0	0	0	0	-0.000748808100572162	0	0.101519603419378	0.00914966197423967	1	0	0	0	0	0	0	0	0	0	0.0245552337139716	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0109988577166229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.136674757857929	0	0
