"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"ECB_00737"	1	0	0	0	0	0.0222519424420942	0	0	0	0	0	0	0	0.0719117779796424	0.130295659932179	0	0	0.0176895259833719	0	0	0	0	0	0	0	0	0	0.00997306770419316	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0242371776772783	0	0	0	0	0	0	0	0	0	0	0	0	-0.0206971667221124	0.028109673520015	0	0.0416541174892795
"ECB_01992"	0	1	0	0	0.0177625548627591	-0.00146029620377136	0	0	0	0	0	-0.052762720294533	0	-0.036154713661127	-0.0194791554043059	0	0	0	0	0	0	0	0	-0.0053640024998806	0	0	0.009420493706825	-0.0135383407121165	0	0	0	0.0155588786225073	0	0	0	0	0	0.014069212475979	0	0	0	0	0	0	0	0	0.0153057643338698	-0.00534108091860114	0	0.00799533905272835	0.00230607380100057	0	0	0.00615490998820201	0	0	-0.00403672490087837	0.0144584446761666	0	0.0283406209635541	0	-0.00211919113469351	0	0	0	0	0	0	0	0	0	0	0	0.00693622738462473	0.17651399012442	0	0	-0.00628491483518364
"ECB_02797"	0	0	1	0	0	0	0.00585209916932935	0	0	0	0	0.123576533741702	0	-0.0372079707298665	-0.04124241951966	0	0	0	0	0	0	-0.00149562580115414	0	0.0332671031388113	0	0	0	0	0	0	0	0	0	0	0	0	0.00662678842025164	0	0	0	0	0	0	0	0.00470848464667681	0	0	0.0332600866693345	0	0	0	0	0.00917677947979534	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0129523787831417	0	0.00704635614034081	0	-0.110297206905358	0.00335932544482796	0.00504662795502297	-0.000436324588568531
"ECB_02816"	0	0	0	1	0	0	0	0	0	0	0	0	0	-0.000912806424582854	0	0	0	0	0	0.000516845893910611	0	0	0	0	0	0	0	0	0	0.000334444984314931	0	0	0.00331375602334568	0	0	0	0	0	0	0	0.00982564590317905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00110644664295211	0.00121047238077933	0	0	0	0	0	0	0.21983150939385	0	0
"ECB_03722"	0	0.0177625548627591	0	0	1	0	0	0	0	0	0	-0.0547462642427568	0	-0.0314926241900456	-0.00341313203532294	0	0	0	0	0	0	0	0	-0.00069119493745742	0	0	0	-0.00299344145679885	0	0	0	0.00210562365132314	0	0	0	0	0	0.000167152982674395	0	0	0	0	0	0	0	0	0.00177303254222908	-0.000671030268488988	0	0	0	0	0	0	0	0	0	0.000682129422304526	0	0.0200454801013574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.193897724211089	0	0	0
"acpP"	0.0222519424420942	-0.00146029620377136	0	0	0	1	0	0	0.0200257531003312	0	0	-0.0170495365287565	-0.0210368198268115	0.0786530702101842	0.101125020341725	0	0	0.0324735222128806	0	0	0	0	0	-0.000329957088580044	0	0	0	0.040174648563283	-0.00755296289358993	0	0	0	0	0.0221819934234501	0	0	0	0	-0.0238269481012825	0	0	0	0	-0.023811931378272	0	-0.0226542844420826	0	-0.000350175059417745	0	0	0	-0.0192922104355308	0	0	0	0.0242311351068265	0.0339307374611904	0	0	-0.00283009282443783	0.0264313864391175	0.0343608092863556	0.0252385400733604	0.015717859047828	0.022860256698214	0	0.0153497638703559	0	0	0	0	0.00993776818844008	0	0	-0.0303163930148325	0.0103766429694338	0	0.0422257949502807
"appC"	0	0	0.00585209916932935	0	0	0	1	0	0	0	0	0.127587577101865	0	-0.0353054600674917	-0.0362797692625448	0	0	0	0	0	0	0	0	0.0297404598873247	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0297325267064399	0	0	0	0	0.00123053989245249	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00578419524699357	0	0	0	-0.110401790880209	0.00574398392003107	0	0
"arcA"	0	0	0	0	0	0	0	1	0	0	0	0.0146722649093857	0	0	0.033071811310065	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.180930279620847	0.164672619797569	0	0
"cycA"	0	0	0	0	0	0.0200257531003312	0	0	1	0	0	0	0	0.0693665345226729	0.130481530519084	0	0	0.0151275259378481	0	0	0	0	0	0	0	0	0	0.00555100037045045	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0221219876084371	0	0	0	0	0	0	0	0	0	0	0	0	-0.017124964174553	0.0277846810022508	0	0.0403540719733724
"envZ"	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.000788253288640592	0	0	0	0	0	0.0048694347832193	0	0	0	0	0	0	0	0	0	0.00469954454874391	0	0	0.00747542001959998	0	0.00204322788132613	0	0	0	0	0	0.0135397248031008	0.00385807393052971	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00542687706551919	0.0055235284954701	0	0	0	0	0	0	0.217183822636105	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0915585553827318	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.223968475524983	0	-0.00560035296238408
"flgB"	0	-0.052762720294533	0.123576533741702	0	-0.0547462642427568	-0.0170495365287565	0.127587577101865	0.0146722649093857	0	0	0	1	0.0164883178165992	-0.0563810047573759	-0.0734450656304518	-0.00186948602617123	0	-0.0122186032626561	-0.00508348998835905	0	0	-0.186976899389861	0	0.106279568325994	-0.000527008303272272	0.138244104803563	-0.0496591050847505	-0.0234450411437638	0.0804565477491662	0	0.00309557698946922	-0.0540917215099005	0	0	0	0	0.12740571124823	-0.0536593035515056	0.01986120745309	-0.00262672886430399	0	0	-0.000499013675602192	0.0197932050056386	0.127931775049661	0.0179296665092269	-0.054048981634554	0.10630750289311	0.0564256329330891	-0.0479006634504241	-0.0412091952922064	0.0137172208622625	0.126532934867977	-0.0457081158298644	0.0899183777803147	0	-0.0146278326632273	-0.0538110801501387	-0.00221124932245622	-0.0522358397329888	0	-0.0188123056841504	0	0	0	-0.00168229243707036	0	0	0	0	0.123628505411387	-0.00152602315596731	0.127264606852072	-0.0465345872121947	-0.0605445057171154	0.010947303380411	0.127780879736032	-0.0354854318882107
"galF"	0	0	0	0	0	-0.0210368198268115	0	0	0	0	0	0.0164883178165992	1	-0.0355681078124311	-0.135376373149654	0	0	-0.016201989606476	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0127100611892572	0	0	0	0	0.0126369463640146	0	0.00974222799435055	0	0	0	0	0	0.00320891090404427	0	0	0	0	0	0	0	0	0	-0.0231503091662211	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0998311653187174	0	-0.0416064549526328
