N	G	Cov	Iteration	dist_percent
2	50	0.1	0	0.974
2	50	0.1	1	0.091
2	50	0.1	2	0.726
2	50	0.1	3	0.204
2	50	0.1	4	0.347
2	50	0.1	5	0.286
2	50	0.1	6	0.506
2	50	0.1	7	0.841
2	50	0.1	8	0.228
2	50	0.1	9	0.56
2	50	0.1	10	0.777
2	50	0.1	11	0.291
2	50	0.1	12	0.186
2	50	0.1	13	0.881
2	50	0.1	14	0.041
2	50	0.1	15	0.331
2	50	0.1	16	0.339
2	50	0.1	17	0.437
2	50	0.1	18	0.857
2	50	0.1	19	0.678
2	50	0.1	20	0.624
2	50	0.1	21	0.044
2	50	0.1	22	0.383
2	50	0.1	23	0.957
2	50	0.1	24	0.16
2	50	0.1	25	0.049
2	50	0.1	26	0.908
2	50	0.1	27	0.458
2	50	0.1	28	0.911
2	50	0.1	29	0.931
2	50	0.1	30	0.676
2	50	0.1	31	0.895
2	50	0.1	32	0.578
2	50	0.1	33	0.792
2	50	0.1	34	0.976
2	50	0.1	35	0.297
2	50	0.1	36	0.381
2	50	0.1	37	0.637
2	50	0.1	38	0.478
2	50	0.1	39	0.366
2	50	0.1	40	0.247
2	50	0.1	41	0.454
2	50	0.1	42	0.103
2	50	0.1	43	0.802
2	50	0.1	44	0.693
2	50	0.1	45	0.221
2	50	0.1	46	0.407
2	50	0.1	47	0.922
2	50	0.1	48	0.687
2	50	0.1	49	0.45
2	50	0.1	50	0.425
2	50	0.1	51	0.806
2	50	0.1	52	0.413
2	50	0.1	53	0.577
2	50	0.1	54	0.2
2	50	0.1	55	0.903
2	50	0.1	56	0.236
2	50	0.1	57	0.842
2	50	0.1	58	0.975
2	50	0.1	59	0.614
2	50	0.1	60	0.916
2	50	0.1	61	0.527
2	50	0.1	62	0.032
2	50	0.1	63	0.791
2	50	0.1	64	0.556
2	50	0.1	65	0.915
2	50	0.1	66	0.268
2	50	0.1	67	0.059
2	50	0.1	68	0.177
2	50	0.1	69	0.821
2	50	0.1	70	0.752
2	50	0.1	71	0.042
2	50	0.1	72	0.521
2	50	0.1	73	0.912
2	50	0.1	74	0.093
2	50	0.1	75	0.399
2	50	0.1	76	0.887
2	50	0.1	77	0.041
2	50	0.1	78	0.061
2	50	0.1	79	0.693
2	50	0.1	80	0.475
2	50	0.1	81	0.132
2	50	0.1	82	0.274
2	50	0.1	83	0.708
2	50	0.1	84	0.116
2	50	0.1	85	0.663
2	50	0.1	86	0.58
2	50	0.1	87	0.37
2	50	0.1	88	0.212
2	50	0.1	89	0.866
2	50	0.1	90	0.402
2	50	0.1	91	0.629
2	50	0.1	92	0.956
2	50	0.1	93	0.737
2	50	0.1	94	0.376
2	50	0.1	95	0.696
2	50	0.1	96	0.531
2	50	0.1	97	0.246
2	50	0.1	98	0.02
2	50	0.1	99	0.035
2	50	0.1	100	0.746
2	50	0.1	101	0.853
2	50	0.1	102	0.873
2	50	0.1	103	0.964
2	50	0.1	104	0.217
2	50	0.1	105	0.694
2	50	0.1	106	0.018
2	50	0.1	107	0.134
2	50	0.1	108	0.832
2	50	0.1	109	0.466
2	50	0.1	110	0.287
2	50	0.1	111	0.661
2	50	0.1	112	0.886
2	50	0.1	113	0.598
2	50	0.1	114	0.129
2	50	0.1	115	0.187
2	50	0.1	116	0.679
2	50	0.1	117	0.291
2	50	0.1	118	0.08
2	50	0.1	119	0.386
2	50	0.1	120	0.212
2	50	0.1	121	0.322
2	50	0.1	122	0.096
2	50	0.1	123	0.352
2	50	0.1	124	0.895
2	50	0.1	125	0.351
2	50	0.1	126	0.707
2	50	0.1	127	0.275
2	50	0.1	128	0.379
2	50	0.1	129	0.46
2	50	0.1	130	0.868
2	50	0.1	131	0.06
2	50	0.1	132	0.233
2	50	0.1	133	0.741
2	50	0.1	134	0.552
2	50	0.1	135	0.711
2	50	0.1	136	0.143
2	50	0.1	137	0.644
2	50	0.1	138	0.001
2	50	0.1	139	0.884
2	50	0.1	140	0.668
2	50	0.1	141	0.436
2	50	0.1	142	0.345
2	50	0.1	143	0.89
2	50	0.1	144	0.134
2	50	0.1	145	0.432
2	50	0.1	146	0.45
2	50	0.1	147	0.022
2	50	0.1	148	0.169
2	50	0.1	149	0.128
2	50	0.1	150	0.36
2	50	0.1	151	0.53
2	50	0.1	152	0.497
2	50	0.1	153	0.346
2	50	0.1	154	0.522
2	50	0.1	155	0.229
2	50	0.1	156	0.723
2	50	0.1	157	0.87
2	50	0.1	158	0.693
2	50	0.1	159	0.751
2	50	0.1	160	0.755
2	50	0.1	161	0.981
2	50	0.1	162	0.905
2	50	0.1	163	0.675
2	50	0.1	164	0.99
2	50	0.1	165	0.243
2	50	0.1	166	0.463
2	50	0.1	167	0.457
2	50	0.1	168	0.542
2	50	0.1	169	0.784
2	50	0.1	170	0.241
2	50	0.1	171	0.23
2	50	0.1	172	0.016
2	50	0.1	173	0.807
2	50	0.1	174	0.141
2	50	0.1	175	0.572
2	50	0.1	176	0.754
2	50	0.1	177	0.828
2	50	0.1	178	0.982
2	50	0.1	179	0.471
2	50	0.1	180	0.344
2	50	0.1	181	0.231
2	50	0.1	182	0.188
2	50	0.1	183	0.615
2	50	0.1	184	0.822
2	50	0.1	185	0.347
2	50	0.1	186	0.358
2	50	0.1	187	0.728
2	50	0.1	188	0.888
2	50	0.1	189	0.423
2	50	0.1	190	0.068
2	50	0.1	191	0.105
