Cov	Iteration	z_score
0.9	0	-6.00293404328
0.9	1	-7.59636547836
0.9	2	-4.80041415911
0.9	3	-2.88285854055
0.9	4	-4.26230368548
0.9	5	-3.88307754344
0.9	6	-4.68947920579
0.9	7	-4.29087337781
0.9	8	-4.10678932734
0.9	9	-3.00308182953
0.9	10	-7.78876517732
0.9	11	-6.44318001279
0.9	12	-7.40688734697
0.9	13	-8.95411882632
0.9	14	-4.46994386112
0.9	15	-6.34573986663
0.9	16	-3.22287355298
0.9	17	-4.55549444345
0.9	18	-4.97537557935
0.9	19	-2.16115808099
0.9	20	-0.757620565415
0.9	21	-5.41631229349
0.9	22	-7.29810986389
0.9	23	-9.01606673162
0.9	24	-7.78862619625
0.9	25	-6.69514360078
0.9	26	-6.71495221518
0.9	27	-5.46668126323
0.9	28	-4.71239126221
0.9	29	-6.91622980302
0.9	30	-6.37998936703
0.9	31	-8.94630258188
0.9	32	-2.36639760151
0.9	33	-7.76978174078
0.9	34	-6.37400502432
0.9	35	-6.49588669734
0.9	36	-3.08038472866
0.9	37	-3.2933996867
0.9	38	-6.38503057295
0.9	39	-3.77935880603
0.9	40	-4.87494788257
0.9	41	-5.24432617405
0.9	42	-4.15429557922
0.9	43	-6.50106514488
0.9	44	-5.3701612968
0.9	45	-6.19257662353
0.9	46	-6.03397175214
0.9	47	-7.73479803636
0.9	48	-6.86057935441
0.9	49	-5.57936503571
0.9	50	-3.82020881391
0.9	51	-6.93309682635
0.9	52	-9.73677113738
0.9	53	-8.82359554962
0.9	54	-11.8603287248
0.9	55	-6.27450929839
0.9	56	-8.74966520714
0.9	57	-10.6351762064
0.9	58	-6.39484558353
0.9	59	-6.8365942182
0.9	60	-7.03189994398
0.9	61	-4.83562291043
0.9	62	-6.41874210714
0.9	63	-3.30264718772
0.9	64	-5.26695994939
0.9	65	-7.87896257925
0.9	66	-4.31155914108
0.9	67	-6.97024490393
0.9	68	-4.90319199518
0.9	69	-4.05001521286
0.9	70	-7.39688408846
0.9	71	-10.8806137476
0.9	72	-4.60270032466
0.9	73	-6.38557867896
0.9	74	-7.58697459885
0.9	75	-3.71696629933
0.9	76	-8.2541682391
0.9	77	-7.7077804031
0.9	78	-4.8710909265
0.9	79	-4.54776372729
0.9	80	-0.696050142878
0.9	81	-4.49233522513
0.9	82	-7.7357908971
0.9	83	-3.43004195942
0.9	84	-6.8148994741
0.9	85	-8.57282610349
0.9	86	-6.92772216675
0.9	87	-6.77885759049
0.9	88	-4.55492510462
0.9	89	-8.50305151502
0.9	90	-4.29587325137
0.9	91	-5.16922393633
0.9	92	-4.85702284581
0.9	93	-5.41892552639
0.9	94	-4.4736652406
0.9	95	-2.99601230192
0.9	96	-7.08926818302
0.9	97	-6.06474445801
0.9	98	-6.38731140457
0.9	99	-4.49089686207
