Prob	CC_mean	CC_025	CC_975	Method	Power	Power_025	Power_975	Z_mean	Z_025	Z_975
0	0.19371158180023912	0.17704251552264608	0.21087303489364465	Eig	0.221	0.12	0.34	1.0284249563678947	0.7273423933933304	1.3611959529295854
0	0.19371158180023912	0.17704251552264608	0.21087303489364465	MCD_k1	0.14	0.06	0.24	0.6050252852597183	0.3141488560038319	0.907442772305464
0	0.19371158180023912	0.17704251552264608	0.21087303489364465	MCD_k3	0.265	0.14	0.4	0.972923660725174	0.673922027062357	1.2680083145622976
0	0.19371158180023912	0.17704251552264608	0.21087303489364465	MPD_k1	0.158	0.06	0.26	0.7148309168271396	0.4200807974991339	1.017694479565626
0	0.19371158180023912	0.17704251552264608	0.21087303489364465	MPD_k3	0.294	0.18	0.42	1.0442503793619704	0.7446655284893322	1.3452122856837365
0.2	0.30130603648320736	0.28277188734285114	0.32064081846273157	Eig	0.237	0.12	0.36	1.0339959315710643	0.725164156175242	1.3622285090898894
0.2	0.30130603648320736	0.28277188734285114	0.32064081846273157	MCD_k1	0.142	0.06	0.24	0.5799129070825753	0.302363751933122	0.8580367674644687
0.2	0.30130603648320736	0.28277188734285114	0.32064081846273157	MCD_k3	0.244	0.14	0.36	0.9292788207935004	0.635575440485255	1.234883815292155
0.2	0.30130603648320736	0.28277188734285114	0.32064081846273157	MPD_k1	0.162	0.06	0.26	0.6997146300703379	0.4020053519992554	0.9955075892798287
0.2	0.30130603648320736	0.28277188734285114	0.32064081846273157	MPD_k3	0.258	0.14	0.38	0.9925424680814274	0.6992586750174271	1.2869704415348955
0.4	0.412661756851926	0.3944178658589831	0.4313829124160515	Eig	0.237	0.12	0.36	1.0500587447174357	0.7302529227372441	1.3833929344966247
0.4	0.412661756851926	0.3944178658589831	0.4313829124160515	MCD_k1	0.17	0.08	0.28	0.6316181119810735	0.3271075002847138	0.9470463026712411
0.4	0.412661756851926	0.3944178658589831	0.4313829124160515	MCD_k3	0.272	0.16	0.4	0.9557009251648948	0.6536755780760249	1.2632339791003553
0.4	0.412661756851926	0.3944178658589831	0.4313829124160515	MPD_k1	0.181	0.08	0.3	0.7355831469826093	0.41962750241221897	1.0496367984004837
0.4	0.412661756851926	0.3944178658589831	0.4313829124160515	MPD_k3	0.284	0.16	0.42	1.0172215874541777	0.711811979855542	1.3242344112804025
0.6	0.5173671571744183	0.49961518874229877	0.5348864556601629	Eig	0.248	0.14	0.38	1.0575186144804187	0.7377216721705652	1.3955654735944392
0.6	0.5173671571744183	0.49961518874229877	0.5348864556601629	MCD_k1	0.159	0.06	0.26	0.6434921454284533	0.34567672103835867	0.9403816806499085
0.6	0.5173671571744183	0.49961518874229877	0.5348864556601629	MCD_k3	0.251	0.14	0.38	0.9916523860339282	0.6888151640171414	1.2993608846168114
0.6	0.5173671571744183	0.49961518874229877	0.5348864556601629	MPD_k1	0.168	0.08	0.28	0.7505867220107275	0.4455427897634294	1.0587488442303212
0.6	0.5173671571744183	0.49961518874229877	0.5348864556601629	MPD_k3	0.264	0.14	0.4	1.0577767982751174	0.7533139285896852	1.360320527907031
0.8	0.6245662787609595	0.6107171121722735	0.6382970157777099	Eig	0.252	0.14	0.38	1.0548225806109617	0.7333708768683193	1.4002588483728582
0.8	0.6245662787609595	0.6107171121722735	0.6382970157777099	MCD_k1	0.154	0.06	0.26	0.6070345288638246	0.30413752010076345	0.9151397094963047
0.8	0.6245662787609595	0.6107171121722735	0.6382970157777099	MCD_k3	0.248	0.14	0.38	0.9764809975742752	0.6716395581605066	1.2861266096779085
0.8	0.6245662787609595	0.6107171121722735	0.6382970157777099	MPD_k1	0.184	0.08	0.3	0.7220690901320332	0.41407543578208184	1.0410242031509647
0.8	0.6245662787609595	0.6107171121722735	0.6382970157777099	MPD_k3	0.278	0.16	0.4	1.035134109395652	0.7279874348395845	1.3553404262704143
1	0.734872011583419	0.7304001743698842	0.7392163909930823	Eig	0.253	0.14	0.38	1.1208453848670055	0.7981275896695733	1.4609036984554011
1	0.734872011583419	0.7304001743698842	0.7392163909930823	MCD_k1	0.172	0.08	0.28	0.6620600993741691	0.36516534095204883	0.9667428753717765
1	0.734872011583419	0.7304001743698842	0.7392163909930823	MCD_k3	0.255	0.14	0.38	1.0184987709962066	0.7242666262295284	1.3190957227046365
1	0.734872011583419	0.7304001743698842	0.7392163909930823	MPD_k1	0.198	0.1	0.32	0.7899583019350458	0.48415963226839986	1.098474373614039
1	0.734872011583419	0.7304001743698842	0.7392163909930823	MPD_k3	0.278	0.16	0.4	1.086052598711026	0.790185500829145	1.387814012325556
