N	Method	Power	Power_025	Power_975	Z_mean	Z_025	Z_975
4	Eig	0.081	0.02	0.16	0.1667037377897417	-0.12270199553687502	0.4785780014213658
4	MCD_k1	0.062	0.0	0.14	0.010230226973917478	-0.2661544427862374	0.28809709972412134
4	MCD_k3	0.057	0.0	0.12	-0.06568141810132135	-0.36350521757703064	0.23863637885185743
4	MPD_k1	0.068	0.0	0.14	-0.007515254365139393	-0.30476361983700384	0.30262408602727636
4	MPD_k3	0.057	0.0	0.12	-0.06403941901586897	-0.36185892282353743	0.2357270409044988
8	Eig	0.077	0.02	0.16	0.20707831893247808	-0.07392993002154409	0.4978277829921127
8	MCD_k1	0.058	0.0	0.12	0.06787098580704488	-0.21171867589996388	0.349060477186992
8	MCD_k3	0.061	0.0	0.14	-0.04822364098054492	-0.34140527279058985	0.23790141523643496
8	MPD_k1	0.054	0.0	0.12	0.030746129050450644	-0.2546880352580424	0.3156621667433234
8	MPD_k3	0.06	0.0	0.14	-0.04400802906807216	-0.33804728863996997	0.2513445783779169
16	Eig	0.099	0.02	0.18	0.4067540012112211	0.11484501894922065	0.7086973554786141
16	MCD_k1	0.075	0.02	0.16	0.1478088553214429	-0.13108677651727932	0.4312134444821787
16	MCD_k3	0.083	0.02	0.16	0.1674467974504876	-0.11964224203416789	0.46530336052047117
16	MPD_k1	0.07	0.0	0.14	0.2133420145454769	-0.06443684841061897	0.49990665979466636
16	MPD_k3	0.082	0.02	0.16	0.19691638638841544	-0.09363764314439413	0.4878055928685393
32	Eig	0.147	0.06	0.26	0.6393383913710314	0.3221975285678144	0.9702729957064409
32	MCD_k1	0.11	0.04	0.2	0.28118809580224025	-0.01968875696523984	0.582331768667188
32	MCD_k3	0.099	0.02	0.18	0.33004517255913707	0.04070970950645892	0.6190338997266668
32	MPD_k1	0.104	0.02	0.2	0.3331180037333693	0.034250185517969295	0.6471743209212057
32	MPD_k3	0.108	0.04	0.2	0.35722410019227685	0.06273063566933335	0.6531514994068712
62	Eig	0.202	0.1	0.32	0.8745636936400326	0.5611939570777548	1.2006564032800953
62	MCD_k1	0.117	0.04	0.22	0.48017390192514575	0.18577030859669197	0.7693807870121936
62	MCD_k3	0.167	0.08	0.28	0.6534213260034167	0.3538488017852604	0.9521591078702243
62	MPD_k1	0.144	0.06	0.24	0.566419458521507	0.27309359518375514	0.871989166264208
62	MPD_k3	0.196	0.1	0.3	0.718962547672025	0.4174100974239868	1.023056591702497
128	Eig	0.272	0.16	0.4	1.1651883656767592	0.8450398453405549	1.4944102695408694
128	MCD_k1	0.174	0.08	0.28	0.730146014275093	0.435341259156177	1.0373966758743554
128	MCD_k3	0.322	0.2	0.46	1.1774023760187537	0.87352552430759	1.4860145685057629
128	MPD_k1	0.199	0.1	0.32	0.8451120863304841	0.5363304716403232	1.1546854353112685
128	MPD_k3	0.339	0.22	0.48	1.250414125617581	0.9336658478354587	1.5579715552545492
