N	G	Cov	Iteration	dist_percent
50	8	0.1	0	0.264
50	8	0.1	1	0.672
50	8	0.1	2	0.447
50	8	0.1	3	0.083
50	8	0.1	4	0.506
50	8	0.1	5	0.872
50	8	0.1	6	0.459
50	8	0.1	7	0.163
50	8	0.1	8	0.149
50	8	0.1	9	0.458
50	8	0.1	10	0.55
50	8	0.1	11	0.699
50	8	0.1	12	0.882
50	8	0.1	13	0.83
50	8	0.1	14	0.074
50	8	0.1	15	0.809
50	8	0.1	16	0.178
50	8	0.1	17	0.176
50	8	0.1	18	0.94
50	8	0.1	19	0.919
50	8	0.1	20	0.671
50	8	0.1	21	0.744
50	8	0.1	22	0.199
50	8	0.1	23	0.382
50	8	0.1	24	0.091
50	8	0.1	25	0.488
50	8	0.1	26	0.552
50	8	0.1	27	0.379
50	8	0.1	28	0.294
50	8	0.1	29	0.197
50	8	0.1	30	0.715
50	8	0.1	31	0.681
50	8	0.1	32	0.043
50	8	0.1	33	0.267
50	8	0.1	34	0.474
50	8	0.1	35	0.206
50	8	0.1	36	0.487
50	8	0.1	37	0.914
50	8	0.1	38	0.618
50	8	0.1	39	0.362
50	8	0.1	40	0.946
50	8	0.1	41	0.264
50	8	0.1	42	0.747
50	8	0.1	43	0.009
50	8	0.1	44	0.367
50	8	0.1	45	0.087
50	8	0.1	46	0.124
50	8	0.1	47	0.481
50	8	0.1	48	0.09
50	8	0.1	49	0.398
50	8	0.1	50	0.223
50	8	0.1	51	0.161
50	8	0.1	52	0.615
50	8	0.1	53	0.236
50	8	0.1	54	0.957
50	8	0.1	55	0.245
50	8	0.1	56	0.86
50	8	0.1	57	0.555
50	8	0.1	58	0.427
50	8	0.1	59	0.012
50	8	0.1	60	0.114
50	8	0.1	61	0.999
50	8	0.1	62	0.382
50	8	0.1	63	0.002
50	8	0.1	64	0.654
50	8	0.1	65	0.006
50	8	0.1	66	0.817
50	8	0.1	67	0.522
50	8	0.1	68	0.804
50	8	0.1	69	0.037
50	8	0.1	70	0.365
50	8	0.1	71	0.189
50	8	0.1	72	0.196
50	8	0.1	73	0.606
50	8	0.1	74	0.848
50	8	0.1	75	0.266
50	8	0.1	76	0.728
50	8	0.1	77	0.263
50	8	0.1	78	0.265
50	8	0.1	79	0.443
50	8	0.1	80	0.432
50	8	0.1	81	0.716
50	8	0.1	82	0.722
50	8	0.1	83	0.05
50	8	0.1	84	0.027
50	8	0.1	85	0.907
50	8	0.1	86	0.474
50	8	0.1	87	0.97
50	8	0.1	88	0.418
50	8	0.1	89	0.1
50	8	0.1	90	0.84
50	8	0.1	91	0.181
50	8	0.1	92	0.061
50	8	0.1	93	0.706
50	8	0.1	94	0.057
50	8	0.1	95	0.416
50	8	0.1	96	0.545
50	8	0.1	97	0.979
50	8	0.1	98	0.135
50	8	0.1	99	0.764
50	8	0.1	100	0.374
50	8	0.1	101	0.36
50	8	0.1	102	0.3
50	8	0.1	103	0.108
50	8	0.1	104	0.201
50	8	0.1	105	0.762
50	8	0.1	106	0.566
50	8	0.1	107	0.035
50	8	0.1	108	0.893
50	8	0.1	109	0.165
50	8	0.1	110	0.238
50	8	0.1	111	0.165
50	8	0.1	112	0.581
50	8	0.1	113	0.499
50	8	0.1	114	0.363
50	8	0.1	115	0.06
50	8	0.1	116	0.402
50	8	0.1	117	0.504
50	8	0.1	118	0.116
50	8	0.1	119	0.954
50	8	0.1	120	0.888
50	8	0.1	121	0.76
50	8	0.1	122	0.12
50	8	0.1	123	0.266
50	8	0.1	124	0.886
50	8	0.1	125	0.909
50	8	0.1	126	0.475
50	8	0.1	127	0.415
50	8	0.1	128	0.448
50	8	0.1	129	0.27
50	8	0.1	130	0.214
50	8	0.1	131	0.935
50	8	0.1	132	0.427
50	8	0.1	133	0.172
50	8	0.1	134	0.449
50	8	0.1	135	0.04
50	8	0.1	136	0.392
50	8	0.1	137	0.313
50	8	0.1	138	0.18
50	8	0.1	139	0.126
50	8	0.1	140	0.802
50	8	0.1	141	0.217
50	8	0.1	142	0.091
50	8	0.1	143	0.122
50	8	0.1	144	0.195
50	8	0.1	145	0.09
50	8	0.1	146	0.033
50	8	0.1	147	0.201
50	8	0.1	148	0.374
50	8	0.1	149	0.818
50	8	0.1	150	0.149
50	8	0.1	151	0.714
50	8	0.1	152	0.351
50	8	0.1	153	0.494
50	8	0.1	154	0.359
50	8	0.1	155	0.2
50	8	0.1	156	0.577
50	8	0.1	157	0.456
50	8	0.1	158	0.508
50	8	0.1	159	0.173
50	8	0.1	160	0.03
50	8	0.1	161	0.255
50	8	0.1	162	0.165
50	8	0.1	163	0.843
50	8	0.1	164	0.269
50	8	0.1	165	0.778
50	8	0.1	166	0.265
50	8	0.1	167	0.951
50	8	0.1	168	0.284
50	8	0.1	169	0.357
50	8	0.1	170	0.853
50	8	0.1	171	0.818
50	8	0.1	172	0.78
50	8	0.1	173	0.627
50	8	0.1	174	0.118
50	8	0.1	175	0.833
50	8	0.1	176	0.237
50	8	0.1	177	0.976
50	8	0.1	178	0.703
50	8	0.1	179	0.463
50	8	0.1	180	0.186
50	8	0.1	181	0.289
50	8	0.1	182	0.924
50	8	0.1	183	0.643
50	8	0.1	184	0.362
50	8	0.1	185	0.668
50	8	0.1	186	0.564
50	8	0.1	187	0.058
50	8	0.1	188	0.821
50	8	0.1	189	0.067
50	8	0.1	190	0.669
50	8	0.1	191	0.166
50	8	0.1	192	0.162
50	8	0.1	193	0.753
50	8	0.1	194	0.113
50	8	0.1	195	0.03
50	8	0.1	196	0.28
50	8	0.1	197	0.543
50	8	0.1	198	0.782
50	8	0.1	199	0.797
50	8	0.1	200	0.414
50	8	0.1	201	0.161
50	8	0.1	202	0.329
50	8	0.1	203	0.155
50	8	0.1	204	0.088
50	8	0.1	205	0.539
50	8	0.1	206	0.489
50	8	0.1	207	0.724
50	8	0.1	208	0.065
50	8	0.1	209	0.782
50	8	0.1	210	0.53
50	8	0.1	211	0.151
50	8	0.1	212	0.028
50	8	0.1	213	0.762
50	8	0.1	214	0.318
50	8	0.1	215	0.338
50	8	0.1	216	0.21
50	8	0.1	217	0.569
50	8	0.1	218	0.695
50	8	0.1	219	0.297
50	8	0.1	220	0.286
50	8	0.1	221	0.991
50	8	0.1	222	0.916
50	8	0.1	223	0.108
50	8	0.1	224	0.29
50	8	0.1	225	0.308
50	8	0.1	226	0.552
50	8	0.1	227	0.079
50	8	0.1	228	0.092
50	8	0.1	229	0.565
50	8	0.1	230	0.718
50	8	0.1	231	0.64
50	8	0.1	232	0.684
50	8	0.1	233	0.933
50	8	0.1	234	0.213
50	8	0.1	235	0.344
50	8	0.1	236	0.109
50	8	0.1	237	0.098
50	8	0.1	238	0.231
50	8	0.1	239	0.202
50	8	0.1	240	0.916
50	8	0.1	241	0.067
50	8	0.1	242	0.119
50	8	0.1	243	0.575
50	8	0.1	244	0.18
50	8	0.1	245	0.09
50	8	0.1	246	0.332
50	8	0.1	247	0.166
50	8	0.1	248	0.277
50	8	0.1	249	0.732
50	8	0.1	250	0.44
50	8	0.1	251	0.669
50	8	0.1	252	0.997
50	8	0.1	253	0.881
50	8	0.1	254	0.105
50	8	0.1	255	0.241
50	8	0.1	256	0.448
50	8	0.1	257	0.276
50	8	0.1	258	0.067
50	8	0.1	259	0.791
50	8	0.1	260	0.591
50	8	0.1	261	0.323
50	8	0.1	262	0.658
50	8	0.1	263	0.336
50	8	0.1	264	0.822
50	8	0.1	265	0.143
50	8	0.1	266	0.004
50	8	0.1	267	0.18
50	8	0.1	268	0.859
50	8	0.1	269	0.729
50	8	0.1	270	0.949
50	8	0.1	271	0.956
50	8	0.1	272	0.953
50	8	0.1	273	0.8
50	8	0.1	274	0.747
50	8	0.1	275	0.619
50	8	0.1	276	0.798
50	8	0.1	277	0.365
50	8	0.1	278	0.955
50	8	0.1	279	0.38
50	8	0.1	280	0.07
50	8	0.1	281	0.334
50	8	0.1	282	0.965
50	8	0.1	283	0.369
50	8	0.1	284	0.162
50	8	0.1	285	0.108
50	8	0.1	286	0.342
50	8	0.1	287	0.942
50	8	0.1	288	0.724
50	8	0.1	289	0.483
50	8	0.1	290	0.834
50	8	0.1	291	0.079
50	8	0.1	292	0.235
50	8	0.1	293	0.385
50	8	0.1	294	0.238
50	8	0.1	295	0.285
50	8	0.1	296	0.802
50	8	0.1	297	0.709
50	8	0.1	298	0.902
50	8	0.1	299	0.187
50	8	0.1	300	0.109
50	8	0.1	301	0.98
50	8	0.1	302	0.923
50	8	0.1	303	0.218
50	8	0.1	304	0.359
50	8	0.1	305	0.81
50	8	0.1	306	0.684
50	8	0.1	307	0.084
50	8	0.1	308	0.268
50	8	0.1	309	0.268
50	8	0.1	310	0.353
50	8	0.1	311	0.816
50	8	0.1	312	0.382
50	8	0.1	313	0.629
50	8	0.1	314	0.034
50	8	0.1	315	0.931
50	8	0.1	316	0.534
50	8	0.1	317	0.065
50	8	0.1	318	0.873
50	8	0.1	319	0.595
50	8	0.1	320	0.565
50	8	0.1	321	0.061
50	8	0.1	322	0.807
50	8	0.1	323	0.247
50	8	0.1	324	0.323
50	8	0.1	325	0.423
50	8	0.1	326	0.533
50	8	0.1	327	0.311
50	8	0.1	328	0.944
50	8	0.1	329	0.189
50	8	0.1	330	0.373
50	8	0.1	331	0.702
50	8	0.1	332	0.831
50	8	0.1	333	0.402
50	8	0.1	334	0.535
50	8	0.1	335	0.914
50	8	0.1	336	0.016
50	8	0.1	337	0.739
50	8	0.1	338	0.694
50	8	0.1	339	0.543
50	8	0.1	340	0.706
50	8	0.1	341	0.232
50	8	0.1	342	0.998
50	8	0.1	343	0.265
50	8	0.1	344	0.048
50	8	0.1	345	0.628
50	8	0.1	346	0.606
50	8	0.1	347	0.656
50	8	0.1	348	0.813
50	8	0.1	349	0.444
50	8	0.1	350	0.447
50	8	0.1	351	0.913
50	8	0.1	352	0.122
50	8	0.1	353	0.191
50	8	0.1	354	0.758
50	8	0.1	355	0.594
50	8	0.1	356	0.529
50	8	0.1	357	0.377
50	8	0.1	358	0.107
50	8	0.1	359	0.369
50	8	0.1	360	0.764
50	8	0.1	361	0.11
50	8	0.1	362	0.725
50	8	0.1	363	0.137
50	8	0.1	364	0.675
50	8	0.1	365	0.834
50	8	0.1	366	0.641
50	8	0.1	367	0.931
50	8	0.1	368	0.467
50	8	0.1	369	0.606
50	8	0.1	370	0.97
50	8	0.1	371	0.053
50	8	0.1	372	0.201
50	8	0.1	373	0.104
50	8	0.1	374	0.112
50	8	0.1	375	0.677
50	8	0.1	376	0.064
50	8	0.1	377	0.162
50	8	0.1	378	0.354
50	8	0.1	379	0.894
50	8	0.1	380	0.76
50	8	0.1	381	0.419
50	8	0.1	382	0.332
50	8	0.1	383	0.214
50	8	0.1	384	0.245
50	8	0.1	385	0.357
50	8	0.1	386	0.157
50	8	0.1	387	0.8
50	8	0.1	388	0.438
50	8	0.1	389	0.921
50	8	0.1	390	0.119
50	8	0.1	391	0.415
50	8	0.1	392	0.109
50	8	0.1	393	0.105
50	8	0.1	394	0.861
50	8	0.1	395	0.091
50	8	0.1	396	0.931
50	8	0.1	397	0.03
50	8	0.1	398	0.147
50	8	0.1	399	0.137
50	8	0.1	400	0.89
50	8	0.1	401	0.767
50	8	0.1	402	0.658
50	8	0.1	403	0.576
50	8	0.1	404	0.249
50	8	0.1	405	0.482
50	8	0.1	406	0.985
50	8	0.1	407	0.788
50	8	0.1	408	0.203
50	8	0.1	409	0.571
50	8	0.1	410	0.12
50	8	0.1	411	0.706
50	8	0.1	412	0.196
50	8	0.1	413	0.781
50	8	0.1	414	0.032
50	8	0.1	415	0.088
50	8	0.1	416	0.536
50	8	0.1	417	0.016
50	8	0.1	418	0.046
50	8	0.1	419	0.45
50	8	0.1	420	0.725
50	8	0.1	421	0.956
50	8	0.1	422	0.792
50	8	0.1	423	0.342
50	8	0.1	424	0.47
50	8	0.1	425	0.385
50	8	0.1	426	0.248
50	8	0.1	427	0.007
50	8	0.1	428	0.684
50	8	0.1	429	0.413
50	8	0.1	430	0.753
50	8	0.1	431	0.921
50	8	0.1	432	0.674
50	8	0.1	433	0.423
50	8	0.1	434	0.608
50	8	0.1	435	0.497
50	8	0.1	436	0.578
50	8	0.1	437	0.273
50	8	0.1	438	0.284
50	8	0.1	439	0.916
50	8	0.1	440	0.245
50	8	0.1	441	0.633
50	8	0.1	442	0.413
50	8	0.1	443	0.965
50	8	0.1	444	0.052
50	8	0.1	445	0.895
50	8	0.1	446	0.474
50	8	0.1	447	0.069
50	8	0.1	448	0.358
50	8	0.1	449	0.67
50	8	0.1	450	0.987
50	8	0.1	451	0.953
50	8	0.1	452	0.938
50	8	0.1	453	0.458
50	8	0.1	454	0.2
50	8	0.1	455	0.009
50	8	0.1	456	0.004
50	8	0.1	457	0.484
50	8	0.1	458	0.397
50	8	0.1	459	0.058
50	8	0.1	460	0.147
50	8	0.1	461	0.132
50	8	0.1	462	0.038
50	8	0.1	463	0.368
50	8	0.1	464	0.916
50	8	0.1	465	0.023
50	8	0.1	466	0.053
50	8	0.1	467	0.546
50	8	0.1	468	0.743
50	8	0.1	469	0.554
50	8	0.1	470	0.282
50	8	0.1	471	0.542
50	8	0.1	472	0.004
50	8	0.1	473	0.523
50	8	0.1	474	0.673
50	8	0.1	475	0.359
50	8	0.1	476	0.864
50	8	0.1	477	0.063
50	8	0.1	478	0.228
50	8	0.1	479	0.583
50	8	0.1	480	0.051
50	8	0.1	481	0.033
50	8	0.1	482	0.379
50	8	0.1	483	0.251
50	8	0.1	484	0.458
50	8	0.1	485	0.061
50	8	0.1	486	0.782
50	8	0.1	487	0.488
50	8	0.1	488	0.37
50	8	0.1	489	0.457
50	8	0.1	490	0.316
50	8	0.1	491	0.396
50	8	0.1	492	0.786
50	8	0.1	493	0.642
50	8	0.1	494	0.882
50	8	0.1	495	0.205
50	8	0.1	496	0.622
50	8	0.1	497	0.933
50	8	0.1	498	0.297
50	8	0.1	499	0.696
50	8	0.1	500	0.64
50	8	0.1	501	0.439
50	8	0.1	502	0.421
50	8	0.1	503	0.732
50	8	0.1	504	0.188
50	8	0.1	505	0.065
50	8	0.1	506	0.714
50	8	0.1	507	0.634
50	8	0.1	508	0.021
50	8	0.1	509	0.043
50	8	0.1	510	0.289
50	8	0.1	511	0.966
50	8	0.1	512	0.566
50	8	0.1	513	0.012
50	8	0.1	514	0.755
50	8	0.1	515	0.473
50	8	0.1	516	0.605
50	8	0.1	517	0.285
50	8	0.1	518	0.563
50	8	0.1	519	0.641
50	8	0.1	520	0.696
50	8	0.1	521	0.688
50	8	0.1	522	0.024
50	8	0.1	523	0.138
50	8	0.1	524	0.001
50	8	0.1	525	0.578
50	8	0.1	526	0.306
50	8	0.1	527	0.37
50	8	0.1	528	0.442
50	8	0.1	529	0.411
50	8	0.1	530	0.917
50	8	0.1	531	0.95
50	8	0.1	532	0.515
50	8	0.1	533	0.295
50	8	0.1	534	0.078
50	8	0.1	535	0.2
50	8	0.1	536	0.731
50	8	0.1	537	0.343
50	8	0.1	538	0.18
50	8	0.1	539	0.443
50	8	0.1	540	0.408
50	8	0.1	541	0.632
50	8	0.1	542	0.634
50	8	0.1	543	0.042
50	8	0.1	544	0.489
50	8	0.1	545	0.874
50	8	0.1	546	0.253
50	8	0.1	547	0.709
50	8	0.1	548	0.662
50	8	0.1	549	0.338
50	8	0.1	550	0.456
50	8	0.1	551	0.039
50	8	0.1	552	0.891
50	8	0.1	553	0.191
50	8	0.1	554	0.596
50	8	0.1	555	0.456
50	8	0.1	556	0.363
50	8	0.1	557	0.695
50	8	0.1	558	0.321
50	8	0.1	559	0.669
50	8	0.1	560	0.814
50	8	0.1	561	0.8
50	8	0.1	562	0.063
50	8	0.1	563	0.245
50	8	0.1	564	0.713
50	8	0.1	565	0.043
50	8	0.1	566	0.836
50	8	0.1	567	0.318
50	8	0.1	568	0.899
50	8	0.1	569	0.571
50	8	0.1	570	0.052
50	8	0.1	571	0.526
50	8	0.1	572	0.318
50	8	0.1	573	0.447
50	8	0.1	574	0.953
50	8	0.1	575	0.114
50	8	0.1	576	0.275
50	8	0.1	577	0.758
50	8	0.1	578	0.168
50	8	0.1	579	0.193
50	8	0.1	580	0.068
50	8	0.1	581	0.937
50	8	0.1	582	0.243
50	8	0.1	583	0.851
50	8	0.1	584	0.146
50	8	0.1	585	0.198
50	8	0.1	586	0.378
50	8	0.1	587	0.867
50	8	0.1	588	0.04
50	8	0.1	589	0.414
50	8	0.1	590	0.015
50	8	0.1	591	0.419
50	8	0.1	592	0.465
50	8	0.1	593	0.132
50	8	0.1	594	0.794
50	8	0.1	595	0.63
50	8	0.1	596	0.495
50	8	0.1	597	0.972
50	8	0.1	598	0.207
50	8	0.1	599	0.421
50	8	0.1	600	0.602
50	8	0.1	601	0.911
50	8	0.1	602	0.681
50	8	0.1	603	0.765
50	8	0.1	604	0.174
50	8	0.1	605	0.447
50	8	0.1	606	0.805
50	8	0.1	607	0.104
50	8	0.1	608	0.539
50	8	0.1	609	0.402
50	8	0.1	610	0.964
50	8	0.1	611	0.907
50	8	0.1	612	0.869
50	8	0.1	613	0.942
50	8	0.1	614	0.624
50	8	0.1	615	0.366
50	8	0.1	616	0.218
50	8	0.1	617	0.28
50	8	0.1	618	0.531
50	8	0.1	619	0.476
50	8	0.1	620	0.326
50	8	0.1	621	0.349
50	8	0.1	622	0.23
50	8	0.1	623	0.117
50	8	0.1	624	0.338
50	8	0.1	625	0.354
50	8	0.1	626	0.569
50	8	0.1	627	0.683
50	8	0.1	628	0.896
50	8	0.1	629	0.071
50	8	0.1	630	0.419
50	8	0.1	631	0.67
50	8	0.1	632	0.216
50	8	0.1	633	0.098
50	8	0.1	634	0.259
50	8	0.1	635	0.817
50	8	0.1	636	0.653
50	8	0.1	637	0.863
50	8	0.1	638	0.419
50	8	0.1	639	0.006
50	8	0.1	640	0.092
50	8	0.1	641	0.056
50	8	0.1	642	0.817
50	8	0.1	643	0.097
50	8	0.1	644	0.665
50	8	0.1	645	0.005
50	8	0.1	646	0.446
50	8	0.1	647	0.2
50	8	0.1	648	0.464
50	8	0.1	649	0.586
50	8	0.1	650	0.079
50	8	0.1	651	0.409
50	8	0.1	652	0.116
50	8	0.1	653	0.684
50	8	0.1	654	0.589
50	8	0.1	655	0.732
50	8	0.1	656	0.052
50	8	0.1	657	0.091
50	8	0.1	658	0.589
50	8	0.1	659	0.7
50	8	0.1	660	0.18
50	8	0.1	661	0.339
50	8	0.1	662	0.338
50	8	0.1	663	0.582
50	8	0.1	664	0.553
50	8	0.1	665	0.221
50	8	0.1	666	0.519
50	8	0.1	667	0.476
50	8	0.1	668	0.375
50	8	0.1	669	0.352
50	8	0.1	670	0.871
50	8	0.1	671	0.0
50	8	0.1	672	0.801
50	8	0.1	673	0.393
50	8	0.1	674	0.719
50	8	0.1	675	0.5
50	8	0.1	676	0.59
50	8	0.1	677	0.072
50	8	0.1	678	0.468
50	8	0.1	679	0.611
50	8	0.1	680	0.793
50	8	0.1	681	0.384
50	8	0.1	682	0.573
50	8	0.1	683	0.133
50	8	0.1	684	0.269
50	8	0.1	685	0.922
50	8	0.1	686	0.226
50	8	0.1	687	0.037
50	8	0.1	688	0.089
50	8	0.1	689	0.154
50	8	0.1	690	0.659
50	8	0.1	691	0.148
50	8	0.1	692	0.002
50	8	0.1	693	0.113
50	8	0.1	694	0.013
50	8	0.1	695	0.178
50	8	0.1	696	0.278
50	8	0.1	697	0.346
50	8	0.1	698	0.154
50	8	0.1	699	0.006
50	8	0.1	700	0.13
50	8	0.1	701	0.532
50	8	0.1	702	0.022
50	8	0.1	703	0.917
50	8	0.1	704	0.303
50	8	0.1	705	0.906
50	8	0.1	706	0.828
50	8	0.1	707	0.074
50	8	0.1	708	0.757
50	8	0.1	709	0.75
50	8	0.1	710	0.755
50	8	0.1	711	0.839
50	8	0.1	712	0.782
50	8	0.1	713	0.041
50	8	0.1	714	0.621
50	8	0.1	715	0.788
50	8	0.1	716	0.985
