N	G	Cov	Rho_goal	Rho_estimated	Iteration	dist_percent	z_score
50	50	0.2	0.2	0.203496042216	0	0.0	-2.44976273048
50	50	0.2	0.2	0.20011406573	1	0.7	0.649163646716
50	50	0.2	0.2	0.216335802002	2	0.9	1.16113310496
50	50	0.2	0.2	0.203486081734	3	0.2	-1.30026171718
50	50	0.2	0.2	0.211523962663	4	0.2	-0.679374315086
50	50	0.2	0.2	0.203244364802	5	0.0	-1.82021048683
50	50	0.2	0.2	0.230277125145	6	1.0	2.91812368287
50	50	0.2	0.2	0.20091954023	7	0.7	0.558305852466
50	50	0.2	0.2	0.201418900352	8	0.0	-1.82275264005
50	50	0.2	0.2	0.20237721495	9	0.7	0.430403145829
