G	Method	Power	Power_025	Power_975	Z_mean	Z_025	Z_975
8	Eig	0.2	0.1	0.32	0.6737880000903217	0.33270347634820946	1.019274654657074
8	MCD_k1	0.063	0.0	0.14	-0.09996761646658084	-0.40288881205884486	0.21036009677484427
8	MCD_k3	0.042	0.0	0.1	-0.42341966690204025	-0.7454858035834105	-0.09603879198348646
8	MPD_k1	0.07	0.0	0.14	-0.0869273849032754	-0.3968479858697892	0.22520984232380278
8	MPD_k3	0.043	0.0	0.1	-0.4200563553474843	-0.7333267572512058	-0.10911432865497916
16	Eig	0.212	0.1	0.32	0.8258278780403728	0.5006440287285251	1.157144107369837
16	MCD_k1	0.087	0.02	0.18	0.2330922839630202	-0.07283000923119341	0.5403838073767295
16	MCD_k3	0.103	0.02	0.2	0.23630651130868605	-0.06695749553713687	0.5479414933093537
16	MPD_k1	0.094	0.02	0.18	0.2602070469746264	-0.04550604255960673	0.5820443979729426
16	MPD_k3	0.106	0.02	0.2	0.24957984954120835	-0.051723737216537995	0.5588895092904447
32	Eig	0.228	0.12	0.36	0.9669298841674986	0.6404789224427903	1.3053155515567567
32	MCD_k1	0.118	0.04	0.22	0.4742802463644387	0.1766593776793837	0.7754324159828012
32	MCD_k3	0.2	0.1	0.32	0.7244046576819806	0.41104025930612564	1.037457449542226
32	MPD_k1	0.14	0.06	0.24	0.5516299029907018	0.2493653856390361	0.85942068031103
32	MPD_k3	0.211	0.1	0.32	0.7518954937570475	0.4336563315469858	1.0674034029511916
62	Eig	0.258	0.14	0.38	1.105875857755179	0.7847248122445898	1.4457351929553395
62	MCD_k1	0.16	0.06	0.26	0.6653958860389544	0.37608671694697726	0.9597962993856356
62	MCD_k3	0.25	0.14	0.38	1.008264883917549	0.7173639519943539	1.3044990147659161
62	MPD_k1	0.196	0.1	0.32	0.7900051821460112	0.4891973250909333	1.0940345956471562
62	MPD_k3	0.275	0.16	0.4	1.0891285069054557	0.7895509479908921	1.399068150367873
128	Eig	0.27	0.16	0.4	1.1914250122068615	0.8833811808004033	1.5194384742204017
128	MCD_k1	0.178	0.08	0.28	0.7330250914199948	0.4381466143188843	1.0302465070007758
128	MCD_k3	0.335	0.2	0.46	1.2466379889607655	0.9489656987813442	1.5423573676549478
128	MPD_k1	0.218	0.1	0.34	0.9431458312857849	0.6393243560271462	1.2519039726013867
128	MPD_k3	0.381	0.24	0.52	1.3932045252545295	1.089294140446802	1.7005939445318463
