Cov	Iteration	euc_z_score	euc_percent	eig_percent	mcd_percent_k1	mcd_percent_k3
0.05	0	0.227513903309	0.592	0.231	0.129	0.586
0.05	1	-0.115297508724	0.468	0.616	0.34	0.356
0.05	2	0.243609317227	0.593	0.507	0.214	0.63
0.05	3	-0.204714030781	0.42	0.209	0.05	0.168
0.05	4	-1.61783082061	0.051	0.327	0.541	0.084
0.05	5	0.820177900317	0.807	0.727	0.952	0.864
0.05	6	0.619317008363	0.724	0.849	0.793	0.785
0.05	7	0.751230699914	0.773	0.909	0.906	0.893
0.05	8	0.112079819049	0.539	0.178	0.231	0.429
0.05	9	0.0935528365415	0.534	0.596	0.746	0.619
0.05	10	1.89354021961	0.966	0.658	0.915	0.97
0.05	11	2.65647185345	0.991	0.998	1.0	0.994
0.05	12	0.972756894577	0.826	0.709	0.922	0.941
0.05	13	-1.80702415791	0.03	0.124	0.046	0.021
0.05	14	-2.11614503406	0.015	0.782	0.4	0.044
0.05	15	0.306402979306	0.615	0.696	0.388	0.333
0.05	16	0.884939481343	0.809	0.318	0.132	0.743
0.05	17	-0.190480004747	0.429	0.291	0.085	0.28
0.05	18	1.97092781739	0.971	0.699	0.514	0.972
0.05	19	-2.03256898407	0.022	0.6	0.056	0.026
0.05	20	0.626164645077	0.737	0.805	0.959	0.816
0.05	21	-1.53789861335	0.064	0.098	0.039	0.071
0.05	22	-0.747799236262	0.221	0.717	0.401	0.142
0.05	23	-0.308684726333	0.379	0.099	0.476	0.27
0.05	24	-0.425819303463	0.342	0.679	0.804	0.36
0.05	25	1.6657281377	0.949	0.846	0.792	0.954
0.05	26	1.14607421784	0.867	0.454	0.351	0.895
0.05	27	-1.05770430548	0.145	0.595	0.732	0.322
0.05	28	0.70303553775	0.765	0.174	0.632	0.805
0.05	29	0.25599031352	0.609	0.224	0.17	0.542
0.05	30	0.75491385987	0.783	0.57	0.704	0.799
0.05	31	0.676479985867	0.764	0.117	0.434	0.794
0.05	32	0.469996975401	0.679	0.743	0.668	0.782
0.05	33	-1.03247295444	0.16	0.058	0.552	0.311
0.05	34	1.27632426356	0.897	0.837	0.863	0.832
0.05	35	0.18532535406	0.567	0.047	0.475	0.5
0.05	36	-1.10482761744	0.127	0.022	0.192	0.124
0.05	37	-0.426663032242	0.342	0.878	0.594	0.301
0.05	38	-0.0338591194149	0.477	0.462	0.52	0.393
0.05	39	0.728655081929	0.773	0.68	0.296	0.757
0.05	40	0.522773824962	0.697	0.71	0.883	0.721
0.05	41	0.882376168	0.808	0.495	0.818	0.766
0.05	42	0.850502565926	0.804	0.53	0.882	0.901
0.05	43	1.76565729476	0.96	0.567	0.536	0.936
0.05	44	0.286344987092	0.615	0.435	0.468	0.652
0.05	45	-0.88771975978	0.191	0.617	0.444	0.121
0.05	46	-0.546417622607	0.302	0.781	0.161	0.285
0.05	47	0.210834611618	0.58	0.295	0.548	0.497
0.05	48	-0.481221186975	0.317	0.57	0.056	0.226
0.05	49	-1.51590899434	0.066	0.224	0.432	0.08
0.05	50	-0.5533708131	0.303	0.071	0.176	0.376
0.05	51	0.897478215492	0.811	0.984	0.984	0.639
0.05	52	1.90625465967	0.966	0.255	0.656	0.956
0.05	53	-0.20314088505	0.422	0.28	0.489	0.357
0.05	54	1.36028053071	0.915	0.682	0.908	0.816
0.05	55	-0.382039653909	0.345	0.405	0.029	0.266
0.05	56	1.56935911856	0.933	0.465	0.012	0.888
0.05	57	-0.751620897588	0.215	0.748	0.026	0.219
0.05	58	0.214859843248	0.582	0.729	0.526	0.617
0.05	59	-0.402413842962	0.34	0.015	0.076	0.421
0.05	60	1.12830455359	0.868	0.935	0.784	0.719
0.05	61	-0.667651831453	0.255	0.048	0.077	0.272
0.05	62	0.22940726348	0.576	0.246	0.399	0.441
0.05	63	-0.557759702057	0.288	0.144	0.128	0.24
0.05	64	2.04044097737	0.976	0.676	0.809	0.968
0.05	65	-0.106361352656	0.452	0.917	0.714	0.311
0.05	66	0.254549946633	0.591	0.479	0.598	0.539
0.05	67	0.42095335871	0.679	0.163	0.466	0.591
0.05	68	0.599511442834	0.722	0.078	0.5	0.817
0.05	69	3.13961945968	0.999	0.872	0.908	0.999
0.05	70	-0.801898800926	0.206	0.179	0.48	0.29
0.05	71	1.86425412381	0.962	0.967	0.985	0.958
0.05	72	-0.126149281628	0.444	0.452	0.73	0.496
0.05	73	-1.2527889812	0.094	0.179	0.522	0.063
0.05	74	1.12535228792	0.86	0.162	0.86	0.934
0.05	75	-0.536275311056	0.295	0.825	0.554	0.248
0.05	76	1.85104945464	0.975	0.867	0.902	0.952
0.05	77	1.21067671564	0.889	0.342	0.057	0.824
0.05	78	-0.634066270788	0.261	0.2	0.101	0.262
0.05	79	0.0492663412525	0.532	0.184	0.537	0.511
0.05	80	-0.575267310594	0.296	0.406	0.475	0.266
0.05	81	-0.455261940719	0.33	0.432	0.363	0.495
0.05	82	-0.562541863188	0.276	0.511	0.242	0.274
0.05	83	1.47403691519	0.929	0.825	0.977	0.896
0.05	84	1.5013144132	0.933	0.807	0.95	0.947
0.05	85	-0.54724146257	0.27	0.958	0.639	0.318
0.05	86	0.436200479454	0.678	0.777	0.789	0.662
0.05	87	0.880066438826	0.807	0.715	0.792	0.82
0.05	88	1.06013127215	0.86	0.556	0.459	0.741
0.05	89	1.2589939899	0.889	0.349	0.611	0.919
0.05	90	0.477952975734	0.679	0.564	0.888	0.75
0.05	91	-2.02407529609	0.023	0.148	0.001	0.005
0.05	92	1.00167170053	0.837	0.69	0.821	0.897
0.05	93	0.397990743347	0.648	0.341	0.737	0.72
0.05	94	0.605151072025	0.731	0.461	0.603	0.56
0.05	95	0.783078249586	0.786	0.784	0.727	0.847
0.05	96	0.228554306341	0.613	0.774	0.654	0.519
0.05	97	2.31088149046	0.991	0.667	0.946	0.995
0.05	98	0.24624414398	0.603	0.134	0.209	0.748
0.05	99	-0.691755379154	0.233	0.796	0.443	0.107
0.05	100	0.969351432672	0.842	0.857	0.944	0.954
0.05	101	-0.857844709593	0.21	0.745	0.855	0.328
0.05	102	0.613394017075	0.744	0.224	0.5	0.587
0.05	103	1.22794739494	0.897	0.386	0.625	0.745
0.05	104	1.63515525493	0.953	0.872	0.969	0.987
0.05	105	2.77165112995	0.997	0.4	0.817	0.981
0.05	106	-0.473942005129	0.33	0.603	0.496	0.448
0.05	107	1.57134646517	0.93	0.598	0.933	0.958
0.05	108	-0.909918349891	0.189	0.033	0.424	0.393
0.05	109	-0.769337827209	0.215	0.339	0.232	0.136
0.05	110	-1.65108854926	0.048	0.053	0.001	0.069
0.05	111	-2.23983915317	0.012	0.148	0.071	0.014
0.05	112	0.232366520997	0.595	0.595	0.557	0.46
0.05	113	1.74660770256	0.954	0.969	0.981	0.962
0.05	114	-1.10439810389	0.129	0.664	0.49	0.191
0.05	115	-1.74073772951	0.038	0.06	0.316	0.021
0.05	116	1.68727930731	0.956	0.896	0.702	0.869
0.05	117	0.670992475505	0.758	0.295	0.624	0.831
0.05	118	0.628172679023	0.731	0.981	0.994	0.725
0.05	119	1.17354783929	0.877	0.548	0.184	0.786
0.05	120	-0.849648389207	0.201	0.082	0.236	0.261
0.05	121	2.47903461569	0.992	0.634	0.929	0.988
0.05	122	0.128901707839	0.546	0.262	0.648	0.655
0.05	123	-0.632177862408	0.282	0.833	0.689	0.325
0.05	124	-1.34921253931	0.091	0.239	0.343	0.197
0.05	125	-0.0569397345747	0.48	0.371	0.708	0.402
0.05	126	-0.198966878505	0.432	0.621	0.192	0.555
0.05	127	0.236554478634	0.598	0.793	0.557	0.492
0.05	128	0.680079212896	0.754	0.778	0.814	0.574
0.05	129	1.47459088221	0.923	0.336	0.684	0.942
0.05	130	-1.09591913112	0.138	0.068	0.267	0.131
