STRAIN ID	STRAIN SHORTHAND	ANCESTOR	GENOTYPE	PURPOSE IN THIS STUDY	NOTES
DBY15108	RmRef	DBY15084	"ade2-1, CAN1, his3-11, leu2-3,112, trp1-1, ura3::ymCherry, bar1∆::ADE2, hml_∆::LEU2, GPA1WT-NatMX, ura3∆::ymCherry"	Reference strain	Described in Supp. Ref. 2
ySAK0448	DivAncCit	DivAnc	"ade2-1, CAN1, his3-11, leu2-3,112, trp1-1, ura3::ymCherry, bar1∆::ADE2, hml_∆::LEU2, GPA1-G1406T-NatMX, his3∆::ym-CitrineM233I-HIS3"	Reference strain	
ySAK0001	DivAnc	DBY15105/yGIL432	"ade2-1, CAN1, his3-11, leu2-3,112, trp1-1, ura3::ymCherry, bar1∆::ADE2, hml_∆::LEU2, GPA1-G1406T-NatMX"	Ancestor of the evo-lution experiment	Taken from generation 625 of the evolution experiment described in Supp. Ref. 2
ySAK0057	L003	DivAnc	Same as DivAnc	Founder	
ySAK0058	L013	DivAnc	Same as DivAnc	Founder	
ySAK0059	L034	DivAnc	Same as DivAnc	Founder	
ySAK0060	L041	DivAnc	Same as DivAnc	Founder	
ySAK0061	L094	DivAnc	Same as DivAnc	Founder	
ySAK0062	L048	DivAnc	Same as DivAnc	Founder	
ySAK0064	L098	DivAnc	Same as DivAnc	Founder	
ySAK0065	L125	DivAnc	Same as DivAnc	Founder	
ySAK0066	S002	DivAnc	Same as DivAnc	Founder	
ySAK0067	S028	DivAnc	Same as DivAnc	Founder	
ySAK0068	S121	DivAnc	Same as DivAnc	Founder	
ySAK0069	L096a	DivAnc	Same as DivAnc	Founder	
ySAK0070	L096b	DivAnc	Same as DivAnc	Founder	
ySAK0071	L102	DivAnc	Same as DivAnc	Founder	
ySAK0072	L102a	DivAnc	Same as DivAnc	Founder	
ySAK0073	L013-8-1	DivAnc	Same as DivAnc	Evolved clone	
ySAK0074	L041-8-2	DivAnc	Same as DivAnc	Evolved clone	
ySAK0075	L096a-4-1	DivAnc	Same as DivAnc	Evolved clone	
ySAK0076	L096b-6-1	DivAnc	Same as DivAnc	Evolved clone	
ySAK0002		DivAnc	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0003		DivAnc	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	Excluded
ySAK0077		DivAnc	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0078		DivAnc	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0079		DivAnc	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0080		DivAnc	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0081		DivAnc	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0082		DivAnc	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0004		L003	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0083		L003	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0084		L003	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0085		L003	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0086		L003	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0087		L003	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0088		L013	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0089		L013	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0090		L013	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	Excluded
ySAK0091		L013	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0092		L013	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0005		L041	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0093		L041	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0094		L041	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0095		L041	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0096		L041	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0097		L041	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0098		L048	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0099		L048	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0100		L048	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0101		L048	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0102		L048	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	Excluded
ySAK0006		L094	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0103		L094	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	Excluded
ySAK0104		L094	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0105		L094	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0106		L094	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0107		L013-8-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0108		L013-8-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0109		L013-8-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0110		L013-8-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0111		L013-8-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0112		L096a-4-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0113		L096a-4-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0114		L096b-6-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0115		L096b-6-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0116		L096b-6-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0117		L096b-6-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0118		L096b-6-1	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0119		L096a	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0120		L096a	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0121		L096a	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0122		L096a	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0123		L096b	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
ySAK0124		L096b	Same as DivAnc and gat2∆::KanMX	gat2∆ knock-out	
