Founder	Pop	Clone	Run #	Mbases Read	Coverage	Notes
L013	1	1	1	241	19.9	
L013	1	2	1	356	29.4	
L013	4	1	1	1849	152.8	
L013	4	2	1	391	32.3	
L013	7	1	1	249	20.6	
L013	7	2	1	199	16.4	
L048	7	1	1	209	17.3	
L048	7	2	1	143	11.8	
L048	9	1	1	220	18.2	
L048	9	2	1	120	9.9	
L048	10	1	1	0	0.0	failed
L048	10	2	1	182	15.0	
L098	5	1	1	217	17.9	
L098	5	2	1	322	26.6	
L098	8	1	1	546	45.1	
L098	8	2	1	502	41.5	
L098	11	1	1	251	20.7	
L098	11	2	1	157	13.0	
L102	1	1	1	180	14.9	
L102	1	2	1	139	11.5	
L102	2	1	1	246	20.3	
L102	2	2	1	101	8.3	
L102a	5	1	1	1	0.1	"failed, resequenced in run 2-3"
L102a	5	2	1	99	8.2	
L041	2	1	1	284	23.5	
L041	2	2	1	257	21.2	
L041	8	1	1	769	63.6	
L041	8	2	1	426	35.2	
L041	11	1	1	345	28.5	
L041	11	2	1	132	10.9	
L034	1	1	1	193	16.0	
L034	1	2	1	125	10.3	
L034	6	1	1	183	15.1	
L034	6	2	1	99	8.2	
L034	7	1	1	2	0.2	"failed, resequenced in run 2-3"
L034	7	2	1	64	5.3	
L094	2	1	1	386	31.9	
L094	2	2	1	197	16.3	
L094	3	1	1	847	70.0	
L094	3	2	1	567	46.9	
L094	7	1	1	372	30.7	
L094	7	2	1	165	13.6	
L096a	2	1	1	211	17.4	
L096a	2	2	1	153	12.6	
L096b	6	1	1	249	20.6	
L096b	6	2	1	142	11.7	
L096b	11	1	1	1	0.1	failed
L096b	11	2	1	124	10.2	
L003	4	1	1	322	26.6	
L003	4	2	1	181	15.0	
L003	6	1	1	736	60.8	
L003	6	2	1	411	34.0	
L003	8	1	1	335	27.7	
L003	8	2	1	112	9.3	
L125	3	1	1	175	14.5	
L125	3	2	1	201	16.6	
L125	6	1	1	204	16.9	
L125	6	2	1	130	10.7	
L125	9	1	1	1	0.1	failed
L125	9	2	1	161	13.3	
S121	4	1	1	243	20.1	
S121	4	2	1	193	16.0	
S121	6	1	1	673	55.6	
S121	6	2	1	515	42.6	
S121	10	1	1	242	20.0	
S121	10	2	1	93	7.7	
S002	5	1	1	227	18.8	
S002	5	2	1	138	11.4	
S002	6	1	1	812	67.1	
S002	6	2	1	245	20.2	
S002	8	1	1	236	19.5	
S002	8	2	1	77	6.4	
S028	3	1	1	1375	113.6	
S028	3	2	1	114	9.4	
S028	5	1	1	653	54.0	likely mutator
S028	5	2	1	339	28.0	
S028	11	1	1	336	27.8	
S028	11	2	1	143	11.8	
L013	2	1	2-3	245	20.2	
L013	5	1	2-3	242	20.0	
L013	6	1	2-3	319	26.4	
L013	8	1	2-3	272	22.5	
L013	10	1	2-3	301	24.9	
L013	11	1	2-3	74	6.1	
L013	12	1	2-3	37	3.1	
L034	2	1	2-3	32	2.6	
L048	1	1	2-3	377	31.2	
L048	2	1	2-3	191	15.8	likely mutator
L048	3	1	2-3	248	20.5	
L048	5	1	2-3	312	25.8	
L048	6	1	2-3	182	15.0	
L048	11	1	2-3	89	7.4	likely mutator
L048	12	1	2-3	320	26.4	
L034	3	1	2-3	159	13.1	
L098	1	1	2-3	312	25.8	
L098	2	1	2-3	400	33.1	
L098	4	1	2-3	218	18.0	
L098	6	1	2-3	243	20.1	
L098	9	1	2-3	205	16.9	
L098	10	1	2-3	372	30.7	
L098	12	1	2-3	315	26.0	
L034	5	1	2-3	159	13.1	
L041	1	1	2-3	317	26.2	
L041	4	1	2-3	257	21.2	
L041	5	1	2-3	397	32.8	
L041	6	1	2-3	327	27.0	
L041	9	1	2-3	303	25.0	
L041	10	1	2-3	196	16.2	
L041	12	1	2-3	333	27.5	
L034	7	1	2-3	147	12.1	
L094	4	1	2-3	155	12.8	
L094	5	1	2-3	112	9.3	
L094	6	1	2-3	86	7.1	
L094	9	1	2-3	124	10.2	
L094	10	1	2-3	81	6.7	
L094	11	1	2-3	100	8.3	
L094	12	1	2-3	73	6.0	
L034	9	1	2-3	73	6.0	
L096b	1	1	2-3	198	16.4	
L096a	4	1	2-3	267	22.1	
L096a	5	1	2-3	240	19.8	
L096a	7	1	2-3	300	24.8	
L096b	8	1	2-3	156	12.9	
L096a	10	1	2-3	247	20.4	
L096a	12	1	2-3	220	18.2	
L034	10	1	2-3	193	16.0	
L003	1	1	2-3	484	40.0	
L003	2	1	2-3	272	22.5	
L003	5	1	2-3	415	34.3	
L003	7	1	2-3	511	42.2	
L003	10	1	2-3	360	29.8	
L003	11	1	2-3	239	19.8	
L003	12	1	2-3	486	40.2	
L034	11	1	2-3	0	0.0	failed
L125	1	1	2-3	251	20.7	
L125	2	1	2-3	264	21.8	
L125	5	1	2-3	211	17.4	
L125	7	1	2-3	395	32.6	
L125	10	1	2-3	240	19.8	
L125	11	1	2-3	301	24.9	
L125	12	1	2-3	342	28.3	
L034	12	1	2-3	0	0.0	failed
S121	1	1	2-3	274	22.6	
S121	2	1	2-3	298	24.6	
S121	5	1	2-3	236	19.5	
S121	7	1	2-3	286	23.6	
S121	8	1	2-3	281	23.2	
S121	11	1	2-3	115	9.5	
S121	12	1	2-3	270	22.3	
S002	1	1	2-3	110	9.1	likely mutator
S002	2	1	2-3	291	24.0	
S002	4	1	2-3	273	22.6	
S002	7	1	2-3	307	25.4	
S002	10	1	2-3	284	23.5	
S002	11	1	2-3	328	27.1	
S002	12	1	2-3	456	37.7	
S028	1	1	2-3	386	31.9	
S028	2	1	2-3	226	18.7	
S028	6	1	2-3	426	35.2	
S028	7	1	2-3	412	34.0	
S028	9	1	2-3	300	24.8	
S028	10	1	2-3	385	31.8	
S028	12	1	2-3	498	41.2	
L102a	3	1	2-3	184	15.2	
L102a	5	1	2-3	226	18.7	
L102a	6	1	2-3	202	16.7	
L102	7	1	2-3	115	9.5	
L102	9	1	2-3	154	12.7	
L102	10	1	2-3	119	9.8	
L102	11	1	2-3	132	10.9	
L102	12	1	2-3	94	7.8	
