		0 Gen				250 Gen				500 Gen			
Founder	Pop	X1	X2	mean X	stderr X	X1	X2	mean X	stderr X	X1	X2	mean X	stderr X
L013	1	7.12	7.14	7.13	0.01	8.26	7.98	8.12	0.14	11.44	11.99	11.71	0.27
L013	2	6.47	5.73	6.10	0.37	7.40	6.57	6.98	0.41	7.38	8.48	7.93	0.55
L013	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L013	4	8.45	6.70	7.57	0.88	9.03	9.43	9.23	0.20	7.81	10.19	9.00	1.19
L013	5	6.59	6.87	6.73	0.14	-0.12	8.04	3.96	4.08	5.22	5.73	5.47	0.26
L013	6	8.29	6.81	7.55	0.74	-0.14	7.41	3.64	3.78	9.13	7.53	8.33	0.80
L013	7	8.45	7.00	7.73	0.72	8.76	8.18	8.47	0.29	8.64	10.71	9.68	1.04
L013	8	7.52	5.77	6.64	0.88	-0.22	6.08	2.93	3.15	4.37	4.75	4.56	0.19
L013	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L013	10	7.35	7.63	7.49	0.14	7.49	7.96	7.73	0.24	5.27	11.46	8.37	3.09
L013	11	8.44	9.01	8.73	0.29	-0.02	7.35	3.67	3.69	6.03	11.22	8.63	2.60
L013	12	6.06	6.64	6.35	0.29	-0.05	8.81	4.38	4.43	10.82	8.93	9.87	0.94
L048	1	4.74	4.61	4.67	0.07	5.26	5.56	5.41	0.15	7.64	6.35	6.99	0.65
L048	2	4.97	3.79	4.38	0.59	4.91	5.40	5.16	0.24	7.36	7.76	7.56	0.20
L048	3	3.39	4.16	3.77	0.38	6.38	8.26	7.32	0.94	9.37	9.07	9.22	0.15
L048	4	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L048	5	3.88	3.82	3.85	0.03	6.25	5.62	5.93	0.31	9.63	8.68	9.15	0.48
L048	6	4.95	4.88	4.92	0.03	5.06	4.71	4.89	0.17	8.50	6.30	7.40	1.10
L048	7	4.84	4.81	4.82	0.01	7.37	6.87	7.12	0.25	8.63	6.44	7.54	1.10
L048	8	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L048	9	4.76	4.96	4.86	0.10	6.06	6.02	6.04	0.02	7.30	7.92	7.61	0.31
L048	10	4.99	4.93	4.96	0.03	4.07	3.76	3.91	0.16	8.28	8.45	8.37	0.08
L048	11	5.53	5.43	5.48	0.05	3.14	3.69	3.42	0.28	8.04	9.58	8.81	0.77
L048	12	6.01	6.25	6.13	0.12	6.45	6.85	6.65	0.20	5.90	13.31	9.60	3.70
L054	1	6.83	5.58	6.20	0.63	3.53	1.20	2.36	1.16	7.42	7.62	7.52	0.10
L054	2	5.06	5.07	5.06	0.01	8.20	7.03	7.61	0.58	8.84	10.85	9.84	1.00
L054	3	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L054	4	4.43	5.34	4.88	0.46	8.62	8.45	8.53	0.08	10.57	9.10	9.83	0.74
L054	5	4.86	5.53	5.20	0.33	10.00	9.12	9.56	0.44	10.07	9.90	9.99	0.08
L054	6	-0.27	2.24	0.98	1.25	-1.66	-1.40	-1.53	0.13	3.97	-0.24	1.86	2.10
L054	7	4.47	4.88	4.67	0.20	6.21	6.40	6.30	0.09	8.52	6.17	7.34	1.17
L054	8	3.61	4.29	3.95	0.34	6.22	5.66	5.94	0.28	11.29	12.28	11.78	0.49
L054	9	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan
L054	10	6.00	6.00	6.00	0.00	10.24	7.30	8.77	1.47	9.51	11.84	10.67	1.17
