"ECB_01992"	"mreB"	"mreC"	"nadR"	"prlA"	"pykF"	"rbsB"	"rbsD"	"rbsR"	"spoT"	"trkH"	"ybeB"	"yfaQ"	"yhdG"	"yieO"
"ECB_01992"	1	0	0	0	0	0	0.234923145155027	-0.189627426182548	0	0.16413361282004	-0.179398460937519	0	0	0.23371095735859	0
"mreB"	0	1	-0.195607189980705	-0.186503687413365	-0.192998553957975	0	0	0.21684592098371	0	0.0267598962457332	0.204709185721112	0	0	0	-0.184740394253314
"mreC"	0	-0.195607189980705	1	0.127109056175995	0.301481157717131	0	0	0	0	-0.18541383422147	0	0	0	0	0.126518482713359
"nadR"	0	-0.186503687413365	0.127109056175995	1	0.124742774993052	0	0	0	-0.00409952709350751	-0.182654794198267	0	-0.0124875753163695	0	0	0.332000993753812
"prlA"	0	-0.192998553957975	0.301481157717131	0.124742774993052	1	0	0	0	0	-0.182683933240174	0	0	0	0	0.124127721962462
"pykF"	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"rbsB"	0.234923145155027	0	0	0	0	0	1	-0.181802948868654	0	0.151205515428844	-0.171134782021656	0	0	0.226745842401117	0
"rbsD"	-0.189627426182548	0.21684592098371	0	0	0	0	-0.181802948868654	1	0	0	0.287853662187026	0	0	-0.180274548622413	0
"rbsR"	0	0	0	-0.00409952709350751	0	0	0	0	1	0	0	0.370836700423807	0.352602653755016	0	-0.00310453560702541
"spoT"	0.16413361282004	0.0267598962457332	-0.18541383422147	-0.182654794198267	-0.182683933240174	0	0.151205515428844	0	0	1	0	0	0	0.149078439991185	-0.180799404257512
"trkH"	-0.179398460937519	0.204709185721112	0	0	0	0	-0.171134782021656	0.287853662187026	0	0	1	0	0	-0.169535808869239	0
"ybeB"	0	0	0	-0.0124875753163695	0	0	0	0	0.370836700423807	0	0	1	0.363775861307998	0	-0.0115756161651433
"yfaQ"	0	0	0	0	0	0	0	0	0.352602653755016	0	0	0.363775861307998	1	0	0
"yhdG"	0.23371095735859	0	0	0	0	0	0.226745842401117	-0.180274548622413	0	0.149078439991185	-0.169535808869239	0	0	1	0
"yieO"	0	-0.184740394253314	0.126518482713359	0.332000993753812	0.124127721962462	0	0	0	-0.00310453560702541	-0.180799404257512	0	-0.0115756161651433	0	0	1
