"ECB_01992"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infB"	"infC"	"malT"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"trkH"	"ybaL"	"ybeB"	"ycdM"	"ycfC"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"
"ECB_01992"	1	0	0	0	0	0	-0.0602609710180099	-0.113126379524925	0	0	0	0	0.0492756852159581	0	-0.0579058898039285	0	0	0	0	0	0	0	0	0.183153083504752	0	0	0	0	0	0.18465632284821	-0.0358513321798126	0	0	0	-0.0406515436323207	0	0	0	0	0	0	0	0	0	0	0
"acpP"	0	1	0	0	0.110882421942683	0	-0.0354431712659522	0.0748871697760408	0.0721083670741686	0	0	0	0	0.0993862417357502	0.0563016663141049	-0.110371378974026	0	0	0	0.114091927082681	0	0	0	0	-0.0451566381259397	0	-0.0450406873273982	0	-0.0413994929607369	0	-0.0121774820614734	0	-0.0275981417494652	0	0.04205328471197	0	0.120389067026723	0.101345249761301	0.11534370573236	0	0.10052368427399	0	0	0.0791370905858266	0	0.0270776741014193
"appC"	0	0	1	0.0622847128941601	0	0	0.193323252495984	0	-0.0109190882609045	0	0	0	0	0	0	0	0	0	0	0	0	0	0.110166392991575	0	0	0	0	0.104625273587987	0	0	0.155228140458688	0	0	0.0547919124984275	0	0	0	0	0	0	0	0	0	0	0.111201708875741	0
"arcA"	0	0	0.0622847128941601	1	0	-0.0517400597579844	0.148941957755795	-0.0616191647716275	0	0	-0.102991952344082	0	0	0	0	0	0	0	0.0046892890535766	0	0	0	0.0655967622520255	0	-0.00964318581230381	0	-0.00909547334604005	0.0565065198123301	0	0	0.121238739753544	0.0502819367908652	0	0	0	0	0	0	0	0	0	0	0	0	0.067310084942073	0.138727745650174
"cycA"	0	0.110882421942683	0	0	1	0	0	0.0840422380063538	0.212745677689839	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.024978454797332	0	0	0	0	0	0	0	0	0.0205346891463966
"fabF"	0	0	0	-0.0517400597579844	0	1	0	0	0	0	0.135678888882188	0	-0.00258675006559171	0	0	0	-0.0414185883002283	0	-0.0494054569899455	0	-0.0334827021525721	0	0	0	0.0759698349855978	0	0.0755273757250243	0	0.0627186998730768	0	0	0	0.034339791517248	0	0	0	0	0	0	0	0	-0.0438849635583591	0	-0.0234981092369756	0	-0.216687840211114
"flgB"	-0.0602609710180099	-0.0354431712659522	0.193323252495984	0.148941957755795	0	0	1	0	-0.0779392720038135	0	0	0	-0.0310193114415135	0	0	0.0572296093843136	0	0	0	0	0	0	0.19246749177354	-0.0472930448391772	-0.0437140659628262	0	-0.0436872985697627	0.194823040846577	-0.0428518398455381	-0.0483665843312399	0.158055616258759	0.10584475782721	-0.0378070644436124	0.216952807280998	0	0	0	0	0	0	0	0	-0.110040189082611	0	0.192002974483144	0
"hokB"	-0.113126379524925	0.0748871697760408	0	-0.0616191647716275	0.0840422380063538	0	0	1	0.0279633786877958	0	0	0.150341836801307	-0.15172900583317	0.0551303600858535	0.269592832574786	-0.0950608080892812	-0.0116975461296469	0	-0.0125633627665797	0.0932801474609762	-0.0111865314256472	0	0	-0.111260557712121	-0.00707042368936798	0.120076569932115	-0.00717743751599061	0	-0.0109806539389526	-0.111639816317254	0	-0.22343598919925	-0.0145448759014066	0.0441379305739358	0.29694510601399	0.129982298842681	0.105539243023415	0.0594971091795837	0.0959018377974284	0.137121141621734	0.0574591320916464	-0.0125561456380247	-0.249090654236583	0	0	0
"hokD"	0	0.0721083670741686	-0.0109190882609045	0	0.212745677689839	0	-0.0779392720038135	0.0279633786877958	1	0	-0.000105166822019111	0	0	0.217393922360053	0.0713146458458041	-0.260670633874383	0	0	0	0.210792456566439	0	0	-0.0117004862062134	0	-0.0712883146371792	0	-0.0713423201816963	-0.00977920664267202	-0.0725916950095858	0	-0.0554435626532804	0	-0.0653647939027076	0	0.0616139956516909	0	0.201408510299468	0.216989816302051	0.210633161736119	0	0.21740601441226	0	0	0.18415572114454	-0.0122629237772114	0.0550931423443757
"hslU"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	-0.102991952344082	0	0.135678888882188	0	0	-0.000105166822019111	0	1	0	-0.0349625125785632	0	0	0	-0.0723816630539633	0	-0.0777634694625655	0	-0.0664396863846734	0	0	0	0.0965612391417347	0.0174789849073926	0.0962779144740809	0	0.0877369168538156	0	0	0	0.066938949116266	0	0	0.00351812781361459	0	0	0	0	0	-0.074225180588405	0	-0.0681869839965036	0	-0.169081950196644
"infB"	0	0	0	0	0	0	0	0.150341836801307	0	0	0	1	-0.000571146040338527	0	0.0304442095605932	0	0	0	0	0	0	0	0	0	0	0.00769496837272916	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.143933451059485
"infC"	0.0492756852159581	0	0	0	0	-0.00258675006559171	-0.0310193114415135	-0.15172900583317	0	0	-0.0349625125785632	-0.000571146040338527	1	0	-0.0965024265669537	0	0.0155440978493679	0	0.021893732012845	0	0.00772227145179145	0	0	0.0250682611267546	0	-0.0604539106089036	0	0	0	0.0275505612283692	0	0	0	-0.0904362887228883	-0.0691963353780603	-0.0434749503851551	0	0	0	-0.0280290345815892	0	0.0173842538833044	0	0	0	0.155788526844977
"malT"	0	0.0993862417357502	0	0	0	0	0	0.0551303600858535	0.217393922360053	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0113823131626355
"mokC"	-0.0579058898039285	0.0563016663141049	0	0	0	0	0	0.269592832574786	0.0713146458458041	0	0	0.0304442095605932	-0.0965024265669537	0	1	0	0	0	0	0	0	0	0	-0.0401071535002036	0	0.0534519290883988	0	0	0	-0.0422187523758452	0	-0.0158124857910003	0	0	0.168960530219747	0.0479989453467177	0.0238059857960778	0	0.00117723752924337	0.0426680799770541	0	0	-0.0612311928646245	0	0	-0.00995819010201626
"mreB"	0	-0.110371378974026	0	0	0	0	0.0572296093843136	-0.0950608080892812	-0.260670633874383	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00657637331949054	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0236119631712073
"mreC"	0	0	0	0	0	-0.0414185883002283	0	-0.0116975461296469	0	0	-0.0723816630539633	0	0.0155440978493679	0	0	0	1	0	0.074221040439253	0	0.0637006179648962	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.070464904560267	0	0.000679427621782062	0	0.216379009360708
"nadR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.201320705112792
"oppD"	0	0	0	0.0046892890535766	0	-0.0494054569899455	0	-0.0125633627665797	0	0	-0.0777634694625655	0	0.021893732012845	0	0	0	0.074221040439253	0	1	0	0.0693796899263254	0	0	0	0	-0.00478809518747088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0755704502998552	0	0.00918471670564789	0	0.208385017026447
"phoH"	0	0.114091927082681	0	0	0	0	0	0.0932801474609762	0.210792456566439	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0332466577935499	0	0.00608833767485653	0	0	0	0	0	0	0.0225996179229513
"prlA"	0	0	0	0	0	-0.0334827021525721	0	-0.0111865314256472	0	0	-0.0664396863846734	0	0.00772227145179145	0	0	0	0.0637006179648962	0	0.0693796899263254	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0653183476315143	0	0	0	0.220255844184011
