"ECB_01992"	"acpP"	"appC"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infC"	"mokC"	"mreB"	"mreC"	"nadR"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rpsA"	"spoT"	"trkH"	"ybaL"	"ybeB"	"yfaQ"	"yfcTU"	"yhdG"	"yieO"
"ECB_01992"	1	0	0	0	-0.0621209180478826	0	-0.00871864130972631	-0.000936552059118547	0	0	0.187057284356982	0	0.0300391277381308	0	0.0511213274591523	0	0	0	0	0.187969906195083	0	-0.102596756511443	0	0.104817083239002	0	-0.0603886200344219	-0.171321385794401	-0.0919683293211019	0	0.104132995945184	0
"acpP"	0	1	-0.00111629968495384	0.114690825237283	0	-0.0369395335102738	0.135038645386783	0.122921688198109	0	-0.0142078697205163	0	0.12161813767138	-0.0941484779455279	0	0	0.11803063942226	0	0	-0.00322674797453511	0	-0.0243420696982523	0	0	-0.0205847482438456	-0.00630012945503142	0	0.0507834268592207	0	0.10364400857124	-0.0515358308494095	0.0543573643086437
"appC"	0	-0.00111629968495384	1	0	0	0.223455326672134	-0.0470801402185561	-0.0117636598734648	0	-0.0183807482814424	0	-0.00378994895280072	0	0	0	0	0	0	0.186587193004939	0	-0.0311902351194707	0	0.18179425171195	0.0770371778503212	-0.0101640669468534	0.117022598841531	0	0	0	-0.00120294429862677	0
"cycA"	0	0.114690825237283	0	1	0	-0.00278240478960969	0.177663307557016	0.131773158255581	0	0	0	0.119388390489523	0	0	0	0.0749542563722184	0	0	0	0	0	0	0	0	0	0	0.00893599286425636	0	0.0471189250053045	0	0
"fabF"	-0.0621209180478826	0	0	0	1	0	0	0	0	0.170853006067617	-0.0490366563496658	0	0	-0.0621959576864282	-0.220598898142378	0	-0.0593327533379662	0	0	-0.041206760936369	0.190683403272566	0.160248851681157	0	-0.117654152018979	0.155097407147982	0	0.00909286358417711	0.148119845942313	0	0	-0.111987242747466
"flgB"	0	-0.0369395335102738	0.223455326672134	-0.00278240478960969	0	1	-0.0488297046823392	-0.0379395965740384	0	-0.0596912866050514	0	-0.0374206085955552	0.00352771346500723	0	-0.0176230226385159	-0.00792767936869086	0	0	0.22287034230771	0	-0.0621656997836748	0	0.224118877003765	0.153453583477541	-0.0577176291495852	0.180751948791128	0	0	0	-0.0546885593554557	-0.048021867936544
"hokB"	-0.00871864130972631	0.135038645386783	-0.0470801402185561	0.177663307557016	0	-0.0488297046823392	1	0.11210831252132	0	-0.0509730689968673	-0.00675381404610691	0.129110024174506	-0.240847304010203	0	0.107633480638633	0.176602737955617	0	0	-0.0478495343671213	0	-0.0541483546328188	0	-0.0460808646102481	-0.0753350672460826	-0.0492019853319913	0	0.0587805397399479	0	0.173752368070057	-0.0823078807187001	0.155862601334314
"hokD"	-0.000936552059118547	0.122921688198109	-0.0117636598734648	0.131773158255581	0	-0.0379395965740384	0.11210831252132	1	0	-0.0265234130639645	0	0.121288679517594	-0.140993949476856	0	0.0177095030942915	0.133720394355432	0	0	-0.013488428094788	0	-0.033857215825697	0	-0.00931667099326257	-0.0403728502289239	-0.0210080226887426	0	0.0609642121280905	0	0.123066472864943	-0.069274278341324	0.0840236548309234
"hslU"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	-0.0142078697205163	-0.0183807482814424	0	0.170853006067617	-0.0596912866050514	-0.0509730689968673	-0.0265234130639645	0	1	0	-0.0180281639661621	0	0	0	0	0	0	-0.0203714693192398	0	0.236615158210941	0	-0.0144021234684466	-0.00475969921498624	0.220024585987914	0	0	0	0	0.120941136772041	-0.0287211237907812
"infC"	0.187057284356982	0	0	0	-0.0490366563496658	0	-0.00675381404610691	0	0	0	1	0	0	0	0.0288719304651471	0	0	0	0	0.180474130318291	0	-0.0882251046560497	0	0.0782642344722759	0	-0.0469381247945708	-0.159648456828454	-0.0708530914950888	0	0.088570335173709	0
"mokC"	0	0.12161813767138	-0.00378994895280072	0.119388390489523	0	-0.0374206085955552	0.129110024174506	0.121288679517594	0	-0.0180281639661621	0	1	-0.107015105401959	0	0	0.122310098428284	0	0	-0.00581707244880587	0	-0.0273278052159483	0	-0.00084569400585819	-0.0258008852083401	-0.0108224343963234	0	0.0534190217728726	0	0.109023831465615	-0.0570764675758849	0.0631809529102295
"mreB"	0.0300391277381308	-0.0941484779455279	0	0	0	0.00352771346500723	-0.240847304010203	-0.140993949476856	0	0	0	-0.107015105401959	1	0	0	0	0	0	0	0	0	0	0	0.00694575278662147	0	0	-0.144116472180141	0	0	0.0273225331659166	0
"mreC"	0	0	0	0	-0.0621959576864282	0	0	0	0	0	0	0	0	1	0.0230544949553107	0	0.35803254305215	0	0	0	0	-0.0111150439068899	0	0	0	-0.0419622955178855	0	0	0	0	0.201399238449832
"nadR"	0.0511213274591523	0	0	0	-0.220598898142378	-0.0176230226385159	0.107633480638633	0.0177095030942915	0	0	0.0288719304651471	0	0	0.0230544949553107	1	0	0.0146278876467031	0	0	0.0120908902168077	0	-0.136512277846485	0	0	0	-0.186742589148823	0	-0.0960653669987576	0	0	0.146078332509134
"phoH"	0	0.11803063942226	0	0.0749542563722184	0	-0.00792767936869086	0.176602737955617	0.133720394355432	0	0	0	0.122310098428284	0	0	0	1	0	0	0	0	-0.000266584996338393	0	0	0	0	0	0.0183525606220084	0	0.0566769198326938	-0.00492041258749428	0
"prlA"	0	0	0	0	-0.0593327533379662	0	0	0	0	0	0	0	0	0.35803254305215	0.0146278876467031	0	1	0	0	0	0	-0.00767873035143563	0	0	0	-0.0368688179740742	0	0	0	0	0.197796692412891
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
"rbsA"	0	-0.00322674797453511	0.186587193004939	0	0	0.22287034230771	-0.0478495343671213	-0.013488428094788	0	-0.0203714693192398	0	-0.00581707244880587	0	0	0	0	0	0	1	0	-0.0326193730620643	0	0.183777239431969	0.0809403828961979	-0.0125341187330836	0.120182785383378	0	0	0	-0.00383962588195442	0
"rbsB"	0.187969906195083	0	0	0	-0.041206760936369	0	0	0	0	0	0.180474130318291	0	0	0	0.0120908902168077	0	0	0	0	1	0	-0.079447587956211	0	0.0604124339335955	0	-0.0368533619403302	-0.148731377912705	-0.057308251822617	0	0.0756035502156429	0
"rbsD"	0	-0.0243420696982523	-0.0311902351194707	0	0.190683403272566	-0.0621656997836748	-0.0541483546328188	-0.033857215825697	0	0.236615158210941	0	-0.0273278052159483	0	0	0	-0.000266584996338393	0	0	-0.0326193730620643	0	1	0	-0.0281835911375604	-0.0233293633125109	0.233455353321748	0	0	0	0	0.140808939137784	-0.0445682066364233
"rbsR"	-0.102596756511443	0	0	0	0.160248851681157	0	0	0	0	0	-0.0882251046560497	0	0	-0.0111150439068899	-0.136512277846485	0	-0.00767873035143563	0	0	-0.079447587956211	0	1	0	0	0	0.153229170462802	0.153245398256344	0.199443476362762	0	0	0
"rpsA"	0	0	0.18179425171195	0	0	0.224118877003765	-0.0460808646102481	-0.00931667099326257	0	-0.0144021234684466	0	-0.00084569400585819	0	0	0	0	0	0	0.183777239431969	0	-0.0281835911375604	0	1	0.071130624924623	-0.00559218614282922	0.110846296613533	0	0	0	0	0
"spoT"	0.104817083239002	-0.0205847482438456	0.0770371778503212	0	-0.117654152018979	0.153453583477541	-0.0753350672460826	-0.0403728502289239	0	-0.00475969921498624	0.0782642344722759	-0.0258008852083401	0.00694575278662147	0	0	0	0	0	0.0809403828961979	0.0604124339335955	-0.0233293633125109	0	0.071130624924623	1	0	0	-0.146042296407267	0	0	0	0
"trkH"	0	-0.00630012945503142	-0.0101640669468534	0	0.155097407147982	-0.0577176291495852	-0.0492019853319913	-0.0210080226887426	0	0.220024585987914	0	-0.0108224343963234	0	0	0	0	0	0	-0.0125341187330836	0	0.233455353321748	0	-0.00559218614282922	0	1	0	0	0	0	0.108139441572576	-0.014956009604018
"ybaL"	-0.0603886200344219	0	0.117022598841531	0	0	0.180751948791128	0	0	0	0	-0.0469381247945708	0	0	-0.0419622955178855	-0.186742589148823	0	-0.0368688179740742	0	0.120182785383378	-0.0368533619403302	0	0.153229170462802	0.110846296613533	0	0	1	0.00189720977076389	0.135088932058728	0	-0.112122404742139	-0.0704481471426754
"ybeB"	-0.171321385794401	0.0507834268592207	0	0.00893599286425636	0.00909286358417711	0	0.0587805397399479	0.0609642121280905	0	0	-0.159648456828454	0.0534190217728726	-0.144116472180141	0	0	0.0183525606220084	0	0	0	-0.148731377912705	0	0.153245398256344	0	-0.146042296407267	0	0.00189720977076389	1	0.143616104475953	0	-0.14843460395726	0
"yfaQ"	-0.0919683293211019	0	0	0	0.148119845942313	0	0	0	0	0	-0.0708530914950888	0	0	0	-0.0960653669987576	0	0	0	0	-0.057308251822617	0	0.199443476362762	0	0	0	0.135088932058728	0.143616104475953	1	0	0	0
"yfcTU"	0	0.10364400857124	0	0.0471189250053045	0	0	0.173752368070057	0.123066472864943	0	0	0	0.109023831465615	0	0	0	0.0566769198326938	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
"yhdG"	0.104132995945184	-0.0515358308494095	-0.00120294429862677	0	0	-0.0546885593554557	-0.0823078807187001	-0.069274278341324	0	0.120941136772041	0.088570335173709	-0.0570764675758849	0.0273225331659166	0	0	-0.00492041258749428	0	0	-0.00383962588195442	0.0756035502156429	0.140808939137784	0	0	0	0.108139441572576	-0.112122404742139	-0.14843460395726	0	0	1	0
"yieO"	0	0.0543573643086437	0	0	-0.111987242747466	-0.048021867936544	0.155862601334314	0.0840236548309234	0	-0.0287211237907812	0	0.0631809529102295	0	0.201399238449832	0.146078332509134	0	0.197796692412891	0	0	0	-0.0445682066364233	0	0	0	-0.014956009604018	-0.0704481471426754	0	0	0	0	1
