"ECB_01992"	"acpP"	"appC"	"cycA"	"fabF"	"flgB"	"hokB"	"hslU"	"iclR"	"infC"	"mokC"	"mreB"	"mreC"	"nadR"	"prlA"	"pykF"	"rbsB"	"rbsD"	"rbsR"	"rpsA"	"spoT"	"trkH"	"ybeB"	"yfaQ"	"yhdG"	"yieO"
"ECB_01992"	1	-0.0378589201638374	0	-0.022694117635099	-0.046771837384903	0	-0.0412589916885268	0	0	0.195801319995574	-0.0388524772801518	0.00252927267824357	0	0	0	0	0.194712455546252	0	-0.0580969615657218	0	0.0685275659067916	0	-0.131721960853896	-0.0519295825529298	0.194231830123391	0
"acpP"	-0.0378589201638374	1	0	0.164810289567308	0	-0.00941581293900002	0.174040381904497	0	0	-0.0235335853513091	0.170412328055465	-0.137504386013113	0	0.0799904046943129	0	0	-0.0155564674398654	0	0	0	-0.0575375736943467	0	0.0649601979887931	0	-0.0128894482217346	0.0780207607539084
"appC"	0	0	1	0	0	0.294643940082025	-0.018049912462472	0	0	0	-0.000554174732133109	0.00705933356253045	0	0	0	0	0	0	0	0.267737847803879	0.112694228156895	0	-0.0299676851924831	0	0	0
"cycA"	-0.022694117635099	0.164810289567308	0	1	0	0	0.181211507068847	0	0	-0.000463617045392338	0.166862235727313	-0.0528157607231066	0	0.0405345933047098	0	0	0	0	0	0	-0.0151352212254112	0	0.0495012605222229	0	0	0.0352007176334931
"fabF"	-0.046771837384903	0	0	0	1	-0.0335351315073756	0	0	0.127531364757831	-0.0350999402845509	0	0	-0.12155410307985	-0.105267995605416	-0.118737901678694	0	-0.0243992485843702	0.140581836759341	0.206127684483792	0	-0.0625877953947731	0.117324489088206	0.0951968189504632	0.198234732870846	-0.020408548747338	-0.101142263552631
"flgB"	0	-0.00941581293900002	0.294643940082025	0	-0.0335351315073756	1	-0.0163432141725455	0	0	0	-0.00955947320689635	0.0589123748969847	0	0	0	0	0	0	-0.00581173910423449	0.293270447822349	0.146345982691637	0	-0.0555018519768688	-0.00393807871347277	0	0
"hokB"	-0.0412589916885268	0.174040381904497	-0.018049912462472	0.181211507068847	0	-0.0163432141725455	1	0	-0.0128164439891525	-0.0310973130985836	0.173571955489472	-0.202136457472866	0	0.105730080824123	0	0	-0.0254639855422254	-0.0154313114704353	0	-0.0189480511287254	-0.0824321549892706	-0.00610058286965969	0.0766591533817948	0	-0.0236552491658813	0.106310139637725
"hslU"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	0	0.127531364757831	0	-0.0128164439891525	0	1	0	0	0.00142913379048246	-0.0775820070696988	-0.136194418807647	-0.0747717633034091	0	0	0.177325661228991	0	0	0	0.170328255078814	0	0	0	-0.128686144710221
"infC"	0.195801319995574	-0.0235335853513091	0	-0.000463617045392338	-0.0350999402845509	0	-0.0310973130985836	0	0	1	-0.0251204234573348	0	0	0	0	0	0.188230185736747	0	-0.0503436018326675	0	0.0411870473487757	0	-0.118288594593277	-0.0418206098146885	0.186909282410092	0
"mokC"	-0.0388524772801518	0.170412328055465	-0.000554174732133109	0.166862235727313	0	-0.00955947320689635	0.173571955489472	0	0	-0.0251204234573348	1	-0.144857265660333	0	0.0842763053372301	0	0	-0.017528203508631	0	0	-0.000367566869614911	-0.060326373075403	0	0.0658381911136312	0	-0.0150092295978882	0.0825679464960237
"mreB"	0.00252927267824357	-0.137504386013113	0.00705933356253045	-0.0528157607231066	0	0.0589123748969847	-0.202136457472866	0	0.00142913379048246	0	-0.144857265660333	1	0	-0.114056611466185	0	0	0	0.0228427105316309	0	0.00353244151030608	0.0417370986355985	0	-0.113744204965213	0	0	-0.098043062051663
"mreC"	0	0	0	0	-0.12155410307985	0	0	0	-0.0775820070696988	0	0	0	1	0.101993133805374	0.239114431618936	0	0	-0.090304789246732	-0.035651432350609	0	0	-0.0678106460511983	0	-0.0233030708806858	0	0.0978409691350201
"nadR"	0	0.0799904046943129	0	0.0405345933047098	-0.105267995605416	0	0.105730080824123	0	-0.136194418807647	0	0.0842763053372301	-0.114056611466185	0.101993133805374	1	0.0996514017982606	0	0	-0.143720820259043	-0.00119829204276471	0	0	-0.128269187305997	0	0	0	0.193866984721278
"prlA"	0	0	0	0	-0.118737901678694	0	0	0	-0.0747717633034091	0	0	0	0.239114431618936	0.0996514017982606	1	0	0	-0.0881175183554973	-0.0316902652990894	0	0	-0.0645726392125545	0	-0.01896281393718	0	0.0951570505867933
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
"rbsB"	0.194712455546252	-0.0155564674398654	0	0	-0.0243992485843702	0	-0.0254639855422254	0	0	0.188230185736747	-0.017528203508631	0	0	0	0	0	1	0	-0.042424920848091	0	0.0247732181295063	0	-0.110033536114155	-0.0321122212653591	0.181303789792825	0
"rbsD"	0	0	0	0	0.140581836759341	0	-0.0154313114704353	0	0.177325661228991	0	0	0.0228427105316309	-0.090304789246732	-0.143720820259043	-0.0881175183554973	0	0	1	0.0107373221931522	0	0	0.175395685592914	0	0	0	-0.138174211896999
"rbsR"	-0.0580969615657218	0	0	0	0.206127684483792	-0.00581173910423449	0	0	0	-0.0503436018326675	0	0	-0.035651432350609	-0.00119829204276471	-0.0316902652990894	0	-0.042424920848091	0.0107373221931522	1	0	-0.0703253115908856	0	0.14014094841276	0.251291852487382	-0.0394224990684297	0
"rpsA"	0	0	0.267737847803879	0	0	0.293270447822349	-0.0189480511287254	0	0	0	-0.000367566869614911	0.00353244151030608	0	0	0	0	0	0	0	1	0.109479738100499	0	-0.0271482323552404	0	0	0
"spoT"	0.0685275659067916	-0.0575375736943467	0.112694228156895	-0.0151352212254112	-0.0625877953947731	0.146345982691637	-0.0824321549892706	0	0	0.0411870473487757	-0.060326373075403	0.0417370986355985	0	0	0	0	0.0247732181295063	0	-0.0703253115908856	0.109479738100499	1	0	-0.23605391439934	-0.0552039281309113	0.0190975462916369	0
"trkH"	0	0	0	0	0.117324489088206	0	-0.00610058286965969	0	0.170328255078814	0	0	0	-0.0678106460511983	-0.128269187305997	-0.0645726392125545	0	0	0.175395685592914	0	0	0	1	0	0	0	-0.119657497287956
"ybeB"	-0.131721960853896	0.0649601979887931	-0.0299676851924831	0.0495012605222229	0.0951968189504632	-0.0555018519768688	0.0766591533817948	0	0	-0.118288594593277	0.0658381911136312	-0.113744204965213	0	0	0	0	-0.110033536114155	0	0.14014094841276	-0.0271482323552404	-0.23605391439934	0	1	0.133954638497148	-0.107182236943374	0
