"ECB_01992"	"acpP"	"appC"	"cycA"	"fabF"	"flgB"	"hokB"	"hslU"	"infC"	"mokC"	"mreB"	"mreC"	"nadR"	"prlA"	"pykF"	"rbsB"	"rbsD"	"rbsR"	"spoT"	"trkH"	"ybeB"	"yfaQ"	"yhdG"	"yieO"
"ECB_01992"	1	-0.0419978098892571	0	-0.0331085354855978	-0.0027380483915233	0	-0.0436393826724779	-0.0419695851618633	0.20975432807874	-0.0425275742292865	0	0	-0.0428344272613669	0	0	0.209579214921587	-0.00535669919953508	0	0.0531796436279894	-0.00194538186974726	-0.0425828290877729	0	0.209144870717833	-0.0410383191816358
"acpP"	-0.0419978098892571	1	-0.0118674204267885	0.170429522055344	0	-0.0250303686574516	0.167680688688889	0.0363928720494247	-0.0313174209590378	0.168566573142379	-0.0943615812065908	0	0.0356812775356789	0	0	-0.0253591380547958	0	0	-0.0932995958637413	0	0.0806070113201695	0	-0.0224196383191371	0.0373490802343611
"appC"	0	-0.0118674204267885	1	0	0	0.365034120625446	-0.0385368523569814	-0.0159743203304529	0	-0.0152522077238786	0	0	-0.0213980300439643	0	0	0	0	0	0.121443897743889	0	-0.0324999550165066	0	0	-0.0080728348029175
"cycA"	-0.0331085354855978	0.170429522055344	0	1	0	0	0.184136721833449	0.0130480789116832	-0.0120327376718638	0.172438199012096	-0.0241054324478659	0	0.0150359050229655	0	0	0	0	0	-0.0447852949832055	0	0.044073389201387	0	0	0.00986048271672465
"fabF"	-0.0027380483915233	0	0	0	1	0	0	0	-0.000606995096505322	0	0.0788592909928395	0	0	0	0	0	0.339912795096539	0	0	0.318241982049607	0	0	0	0
"flgB"	0	-0.0250303686574516	0.365034120625446	0	0	1	-0.0429748982797576	-0.0272277888486422	0	-0.0271423446488004	0.0181574783331012	0	-0.0309007775478132	0	0	0	0	0	0.140105229956814	0	-0.041980445393621	0	0	-0.021968851956087
"hokB"	-0.0436393826724779	0.167680688688889	-0.0385368523569814	0.184136721833449	0	-0.0429748982797576	1	0.0539244792053307	-0.0385100180063758	0.166341684479627	-0.142373609211675	0	0.0517552538127744	0	0	-0.0363383516770101	0	0	-0.122252504110737	0	0.104107108775774	0	-0.034810397645716	0.0571507697748042
"hslU"	-0.0419695851618633	0.0363928720494247	-0.0159743203304529	0.0130480789116832	0	-0.0272277888486422	0.0539244792053307	1	-0.0300799972818429	0.0386119152440263	-0.104935021743974	0.128733449532334	0.232254756719271	0.124949530945917	0	-0.0227847187923632	0	-0.00258403763603475	-0.0889713786097751	0	0	0	-0.0201112651486509	0.224780544489245
"infC"	0.20975432807874	-0.0313174209590378	0	-0.0120327376718638	-0.000606995096505322	0	-0.0385100180063758	-0.0300799972818429	1	-0.0327168949118898	0	0	-0.0320892384006766	0	0	0.203837561824748	-0.00573157474768396	0	0.035082625715294	0	-0.0366649653527326	0	0.202475978334807	-0.0274428506507541
"mokC"	-0.0425275742292865	0.168566573142379	-0.0152522077238786	0.172438199012096	0	-0.0271423446488004	0.166341684479627	0.0386119152440263	-0.0327168949118898	1	-0.100458615572104	0	0.0377059230088726	0	0	-0.0273013164985062	0	0	-0.0974783665158354	0	0.0838198601899273	0	-0.0245811242836443	0.0398983653926244
"mreB"	0	-0.0943615812065908	0	-0.0241054324478659	0.0788592909928395	0.0181574783331012	-0.142373609211675	-0.104935021743974	0	-0.100458615572104	1	0	-0.113814431349085	0	0	0	0.136165549246839	0	0	0.0739098102388378	-0.134156580268637	0	0	-0.0908505296790023
"mreC"	0	0	0	0	0	0	0	0.128733449532334	0	0	0	1	0.132259377214939	0.28611389435038	0	0	0	-0.0814680615272944	0	0	-0.0532933038718534	-0.0672038458162086	0	0.123360843527755
"nadR"	-0.0428344272613669	0.0356812775356789	-0.0213980300439643	0.0150359050229655	0	-0.0309007775478132	0.0517552538127744	0.232254756719271	-0.0320892384006766	0.0377059230088726	-0.113814431349085	0.132259377214939	1	0.128679757135189	0	-0.0255738385746784	0	0	-0.0955745640237552	0	0	0	-0.0231839516942866	0.228287812082017
"prlA"	0	0	0	0	0	0	0	0.124949530945917	0	0	0	0.28611389435038	0.128679757135189	1	0	0	0	-0.0764973378979578	0	0	-0.0494914426313932	-0.0617276707098709	0	0.11927517490641
"pykF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
"rbsB"	0.209579214921587	-0.0253591380547958	0	0	0	0	-0.0363383516770101	-0.0227847187923632	0.203837561824748	-0.0273013164985062	0	0	-0.0255738385746784	0	0	1	-0.0017333254218647	0	0.022890386766504	0	-0.0327985689894994	0	0.197042895547023	-0.0190362542509296
"rbsD"	-0.00535669919953508	0	0	0	0.339912795096539	0	0	0	-0.00573157474768396	0	0.136165549246839	0	0	0	0	-0.0017333254218647	1	-0.00273383459999073	0	0.338139382709235	0	0	-0.000126138706656876	0
"rbsR"	0	0	0	0	0	0	0	-0.00258403763603475	0	0	0	-0.0814680615272944	0	-0.0764973378979578	0	0	-0.00273383459999073	1	0	0	0.279249617004498	0.374658203221127	0	-0.00621509863108365
"spoT"	0.0531796436279894	-0.0932995958637413	0.121443897743889	-0.0447852949832055	0	0.140105229956814	-0.122252504110737	-0.0889713786097751	0.035082625715294	-0.0974783665158354	0	0	-0.0955745640237552	0	0	0.022890386766504	0	0	1	0	-0.096891779902257	0	0.018320669123231	-0.079829230231912
"trkH"	-0.00194538186974726	0	0	0	0.318241982049607	0	0	0	0	0	0.0739098102388378	0	0	0	0	0	0.338139382709235	0	0	1	0	0	0	0
"ybeB"	-0.0425828290877729	0.0806070113201695	-0.0324999550165066	0.044073389201387	0	-0.041980445393621	0.104107108775774	0	-0.0366649653527326	0.0838198601899273	-0.134156580268637	-0.0532933038718534	0	-0.0494914426313932	0	-0.0327985689894994	0	0.279249617004498	-0.096891779902257	0	1	0.261847387600971	-0.0309663925750587	0
"yfaQ"	0	0	0	0	0	0	0	0	0	0	0	-0.0672038458162086	0	-0.0617276707098709	0	0	0	0.374658203221127	0	0	0.261847387600971	1	0	0
"yhdG"	0.209144870717833	-0.0224196383191371	0	0	0	0	-0.034810397645716	-0.0201112651486509	0.202475978334807	-0.0245811242836443	0	0	-0.0231839516942866	0	0	0.197042895547023	-0.000126138706656876	0	0.018320669123231	0	-0.0309663925750587	0	1	-0.0159086385630095
"yieO"	-0.0410383191816358	0.0373490802343611	-0.0080728348029175	0.00986048271672465	0	-0.021968851956087	0.0571507697748042	0.224780544489245	-0.0274428506507541	0.0398983653926244	-0.0908505296790023	0.123360843527755	0.228287812082017	0.11927517490641	0	-0.0190362542509296	0	-0.00621509863108365	-0.079829230231912	0	0	0	-0.0159086385630095	1
