"ECB_01992"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"
"ECB_01992"	1	0.0693717259060631	-0.0216118114137111	0	-0.0308870619373838	0	0	-0.0991167216935714	-0.0898122503741746	-0.0309567525240456	0	0	0	0.0459196516693207	0.00659820922462743	0	0	-0.0591651130275187	0	0	0	0	0	0	0	0	0.0650057005465374	0	0	0	0	0	0.0660685744372479	-0.0139795186905256	0	0.0558751384144703	0	0	0.058806863776551	-0.0263383951209212	0	-0.0455273337766357	0.0653101980915192	0	0.101562994849237	-0.00883962737933524	-0.00258276816672424	0	0	0	0	0	0	0	0	0	0
"ECB_03722"	0.0693717259060631	1	-0.0101883123859864	0	0	0	0	-0.0323029655321842	-0.162469558070605	-0.0459527738975584	0	0	0	0	0	0	0	-0.0465245082804756	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0154963616941802	0	0	0.094303766564425	0	0	0	0	0	0	0	0	0	0	0	0
"acpP"	-0.0216118114137111	-0.0101883123859864	1	0	0	0.0602158472621467	-0.00403639109628869	-0.00642765262030111	0.0734031777654356	0.0843935994433551	0	0	-0.0164930704212755	0	0	0.0295849954862267	0	0.0432210966379796	-0.0477671664859875	0	0	0	0.0649333538458924	0	0	0	-0.00306815172470135	-0.0690869667402911	0	-0.0691440903601806	0	-0.0675924151136365	-0.0052999956526933	0	0	0	-0.0549180581728783	0	0	0	0.069468083234254	0.0300746314441291	-0.00364417454685142	0	-0.0189081385004761	0.0734058534193311	0.0711907554779353	0.0489629027008119	0.066259751593477	0	0.0481618352839783	0	0	0	0.0506701109873819	0	0
"appC"	0	0	0	1	0	0	0	0.274031098026784	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0208273966582685	0	0	0	0	0.0160178060996818	0	0	0.0894535859501877	0	0	0	0.0264835661498876	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0217837470496804	0.000604198735653597
"arcA"	-0.0308870619373838	0	0	0	1	0	0	0.195493824368973	0	0.0908823595669302	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0812248974595866	0	0	0	0	0	0	0	0	0	0	0	0.135772250580002
"cycA"	0	0	0.0602158472621467	0	0	1	0	0	0.0630207973768742	0.190753328429574	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0115617648914643
"fabF"	0	0	-0.00403639109628869	0	0	0	1	0	0	-0.0553455997608912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.286168199489385
"flgB"	-0.0991167216935714	-0.0323029655321842	-0.00642765262030111	0.274031098026784	0.195493824368973	0	0	1	0	-0.0986830268253954	0	0	0	-0.0773028313068862	0	0	0.234075135837659	0	0.209511508819338	0	0	0	0	0	0	0.272979647968279	-0.0297939671979215	0	0	0	0.275890761838327	0	-0.0300260648861212	0.208791657453112	0.167789641115167	-0.0330134981025036	0	0.268895215052173	-0.0313805034478037	0.290286478970828	0	0	-0.0299320055624547	0	-0.109323687314705	0	0	0	0	0	0	0	0	-0.111300303994199	0	0.272290721886477	0.00182262310271585
"hokB"	-0.0898122503741746	-0.162469558070605	0.0734031777654356	0	0	0.0630207973768742	0	0	1	0.0543980668563944	0	-0.00895035559227846	0	0	-0.224754600901359	0	-0.0140917506112848	0.218879265404732	-0.0284846081482515	-0.00896127647239961	0	-0.00965707682560874	0.0714143801106616	-0.00820855492463173	0	0	-0.163218102441903	-0.00970196913874332	0.15923934847789	-0.00946859688684177	0	-0.00183107288960346	-0.16285191548495	0	-0.162634789322258	-0.153513832050619	0	0	-0.157432482419694	0.0535262695812372	0.0785619381227809	0.247896001439004	-0.163073042542692	0.157537427315592	-0.0577981813102602	0.0866778715197078	0.0819148513216827	0.0430767403807667	0.0733616505151781	0.155812367169957	0.041691318188476	-0.00923197555868947	-0.00923865236342831	-0.134153245003263	0	0	-0.018165556996964
"hokD"	-0.0309567525240456	-0.0459527738975584	0.0843935994433551	0	0.0908823595669302	0.190753328429574	-0.0553455997608912	-0.0986830268253954	0.0543980668563944	1	0	0	-0.0495618470919103	0	0	0.158680910337356	0	0.103338522573706	-0.244185082607802	0	0	0	0.190497463113366	0	0	0	-0.0424177141692662	-0.142809076198845	0	-0.143582735051458	0	-0.154829003974032	-0.0438847040970448	-0.0242012138540677	-0.0122580382438444	-0.0272985605527289	-0.153243991490267	-0.00151376354465575	-0.0320079791113535	0	0.190443265077227	0.0967201642567224	-0.0427622786110696	0	-0.00813354152886806	0.18652553812101	0.189236961049483	0.191839825216818	0.190475793788814	0	0.19197691831646	0	0	-0.0228588848012086	0.166498892536313	0	0
