"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_02852"	"ECB_03722"	"acpP"	"acs"	"appC"	"arcA"	"blr"	"cls"	"cpsG"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lon"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"narZ"	"nudC"	"oppD"	"phoH"	"plsB"	"prlA"	"proX"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rnb"	"rne"	"rpiR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybeM"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeF"	"yeeR"	"yeeU"	"yegO"	"yfaQ"	"yfcTU"	"yggM"	"yghS"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjiX"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"ECB_00737"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0166463170536361	0.17224488459503	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0083953452311159	0	0	0.0228617056613561
"ECB_01992"	0	1	0	0	0	0	0	0	0	0	-0.017643958053772	0	0	0	0	0	0	0	-0.0317068720536409	-0.0318554640390098	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.214927888265057	0	0	0
"ECB_02797"	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219838231972941	0	-0.00637892602425331	-0.019847831938917	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_02816"	0	0	0	1	0	0	0	0	0	0	-0.0449915283674358	0	0	0	0	0	0	0	-0.0111447296302183	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0172483665461035	0.155064993280931	0.119789052764394	0	0
"ECB_02852"	0	0	0	0	1	0	0	0	0	0	0.0543823095583548	0	0	0	0	0	0	0	0.108661577844579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00581308737795287	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0368624341945375	-0.0268655222306949	-0.0958461212182886	0	0
"ECB_03722"	0	0	0	0	0	1	0	0	0	0	-0.0115447136763494	0	0	0	0	0	0	0	-0.0298301718417614	-0.0163989944698374	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203895081638739	0	0	0
"acpP"	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0.0743117404984425	0.17981337917083	0	0	0.0248225228123378	0	0	0	0	0	0	0	0	0	0	0.0162709790370294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00362516003316123	0	0	0	0	0	0.0334646641322423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.030205260207092	0.00376444960558825	0	0.0577743425395886
"acs"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.185377258780274	0	0
"appC"	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0.214465402009557	0	-0.0110194495025152	-0.0110171195626338	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"arcA"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0781737933755618	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.153628444321086	0.130766718386455	0	0
"blr"	0	-0.017643958053772	0	-0.0449915283674358	0.0543823095583548	-0.0115447136763494	0	0	0	0	1	0.045872848912882	-0.0160083328657461	0	-0.00231966706930793	0	-0.00420285397155731	0	0.0750937742699859	0.00551098301692478	0	0	0	0.0566283302327561	-0.00539354754388389	0	0	-0.0769405029807286	0	0	0	0	-0.00103396911376654	0.0997293788213871	0	-0.00515829742124827	0	0	-0.00860997890879324	-0.00801637055757707	0	0.0387445061128837	-0.00166547482933273	0	0	0	-0.00685270729889255	0	0.0532155638843148	-0.0128956893008795	-0.00402753669801425	0	0.0348084371783456	0	0	0	0	-0.00827459227571891	0	-0.0195949727997692	0	0	0	0	0	0	0	0.0917326714240915	0.0562900874684027	-0.00730163639961165	0.0497516820302003	-0.0182668990615956	0	0	0	0	0	0	0	0.0460112174873517	0	-0.00637268832910502	0	-0.00665035013582573	0	0	0	0	0	0.0722634555756949	-0.0157696980738355	-0.0816886177429167	0	0
"cls"	0	0	0	0	0	0	0	0	0	0	0.045872848912882	1	0	0	0	0	0	0	0.0920741620820168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0257085028959557	-0.0373490614715341	-0.089089936271756	0	0
"cpsG"	0	0	0	0	0	0	0	0	0	0	-0.0160083328657461	0	1	0	0	0	0	0	-0.0334756752315475	-0.0266424482029714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.206551733900571	0	0	0
"cycA"	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0.00953475051333494	0.17103765574578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00178498196550648	0	0	0.0162201678256923
"envZ"	0	0	0	0	0	0	0	0	0	0	-0.00231966706930793	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.195344706844908	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0269401169189661	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.240601552316536	0	0
"flgB"	0	0	0.219838231972941	0	0	0	0	0	0.214465402009557	0.0781737933755618	-0.00420285397155731	0	0	0	0	0	1	0	-0.113409312274403	-0.0599221328089858	0	0	0	0	0	0	-0.0774899526940406	0	0.212239300893565	0.223661677800832	0	0.165339364009894	0	-0.0236916707158354	0.0372267864359327	0	0	0	0	0	0	0	0	0	0	0.214674531094855	0	0	0	0	0	0.21310259212806	0	0	0	0.213746397732425	0	0	0.223679062110292	0.0238688091124741	0	0	0	0.216285711802528	0	0.203554044252109	0	-0.012886482979869	0	0	0	-0.000466562632707403	0	-0.00141477875691789	0	0	0	0	0	0	0	0	0	0	-0.16692831481063	0.219590189959022	0	0.215084425129688	0	-0.0147927939129865	-0.242106508476934	0.0212196176465953	0.213957061726409	-0.0187365312981356
"galF"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	-0.103191335829096	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0432452955506243	-0.128207510037281	0	0
"hokB"	0.0166463170536361	-0.0317068720536409	-0.00637892602425331	-0.0111447296302183	0.108661577844579	-0.0298301718417614	0.0743117404984425	0	-0.0110194495025152	0	0.0750937742699859	0.0920741620820168	-0.0334756752315475	0.00953475051333494	0	0	-0.113409312274403	0	1	0.115074163254612	0	0	0.0678948611463497	0.111515195224487	0	0	0	-0.0813631523431449	-0.0119899713415199	-0.0211238085178165	0	-0.00593242821365669	-0.0188548882182271	0.19015137334729	0	0	-0.00747012348713671	0	-0.0261259770741803	0	0.0160485649285011	0.0766752919780784	0	0.0197123801574774	0	-0.010936153746434	-0.0244456721318014	0	0.106986865433869	0	0	-0.01189465763885	0.0685688727764127	0.021255796165426	0	-0.011609709053321	0	-0.0257471807014124	-0.0211171923689099	-0.170196507790338	-0.0164546184272771	-0.00378712437198808	0	-0.00971212413611541	-0.0121261746374581	0	0.0263350368212338	0.188234680211053	0.111262513563245	-0.0248102791584666	0.099769149987484	-0.0303553740392862	0.0404806732899158	0.0756020450139795	0.0327877860408594	0	9.88596178976774e-05	0.0189952241203571	0	0.0916612228288154	4.76651455176522e-05	0	0.0300149992428826	0	0	-0.00663262616021105	0	-0.0107306719997092	-0.0143593595643779	0.0854854897440595	0	0	-0.0115791588729425	0.076609818081015
"hokD"	0.17224488459503	-0.0318554640390098	-0.019847831938917	0	0	-0.0163989944698374	0.17981337917083	0	-0.0110171195626338	0	0.00551098301692478	0	-0.0266424482029714	0.17103765574578	0	-0.0269401169189661	-0.0599221328089858	-0.103191335829096	0.115074163254612	1	-0.0252535769702926	0	0.178619647701829	0.00140880722100576	0	0	0	0	-0.00603310201971008	-0.0524533656322952	0.115596862975342	0	-0.00132022114164253	0.114190970315961	-0.238342861560258	0	0	0	-0.0111826115960778	0	0.172253060604971	0	0	0.17276538925496	0	-0.012195862402044	-0.00862045082585731	-0.105510718547094	0	0	0	-0.00788269408312109	0	0.172947948233795	-0.105494769530418	-0.00968870753197899	-0.105033223203711	-0.010523053744021	-0.0521735631422782	-0.0135436048951287	-0.000156545338146829	-4.40963617057709e-05	-0.0967314006888136	-0.0150603342525733	-0.000136602579133805	0	0.173485281654696	0.111710076491417	0.000746493697631278	-0.00885520898596861	0	-0.0321318298945296	0.174677446991929	0.179489815672715	0.173896694529714	0	0.165203896062435	0.17225421597379	0.162370256327854	0	0.164454291219827	0	0.173500449737507	0	0	-0.0199643875744717	0.137555153652792	-0.0123192010009827	-0.000153727839693026	0	0	0.0440431458132855	-0.00988486170091862	0.138950640005799
"hsdS"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0252535769702926	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.233396436005372	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"hupB"	0	0	0	0	0	0	0.0248225228123378	0	0	0	0	0	0	0	0	0	0	0	0.0678948611463497	0.178619647701829	0	0	1	0	0	0	0	0	0	0	0	0	0	0.00778762829077356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0274997785739026	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0316039433254798	0.00153198649825634	0	0.0537751487180702
"hyfA"	0	0	0	0	0	0	0	0	0	0	0.0566283302327561	0	0	0	0	0	0	0	0.111515195224487	0.00140880722100576	0	0	0	1	0	0	0	0	0	0	0	0	0	0.013984875958906	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0403957461216821	-0.0222411244914443	-0.0983569077136773	0	0
"iap"	0	0	0	0	0	0	0	0	0	0	-0.00539354754388389	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.197670093981995	0	0
"iclR"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.040283683868792	0	0
"infB"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0774899526940406	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0271595729729364	-0.0385387680368847	0	0
"infC"	0	0	0	0	0	0	0	0	0	0	-0.0769405029807286	0	0	0	0	0	0	0	-0.0813631523431449	0	0	0	0	0	0	0	0	1	0	0	0	0	0	-0.00321843915032083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0538735663183185	0.142177381031162	0.134718728737285	0	0
"lon"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.212239300893565	0	-0.0119899713415199	-0.00603310201971008	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
