"ECB_00737"	"ECB_01992"	"ECB_02797"	"ECB_02816"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"envZ"	"fabF"	"flgB"	"galF"	"hokB"	"hokD"	"hsdS"	"hslU"	"hupB"	"hyfA"	"iap"	"iclR"	"infB"	"infC"	"lrp"	"malT"	"metH"	"mntH"	"mokC"	"mreB"	"mreC"	"nadR"	"nudC"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"recO"	"rfbB"	"rne"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"thiI"	"thrA"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ybhP"	"ycdM"	"yceK"	"ycfC"	"yebY"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yhdJ"	"yieO"	"yihP"	"yjcE"	"yjjY"	"ylcG"	"yqeB"	"yqhH"
"ECB_00737"	1	0	0	0	0	0	0	0	0	0	0	0	0	0.0459312749149439	0.162412734867562	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00354024022351321	0	0	0	0	0	0	0	0	0	0	0	0	-0.026057247348133	0.0132370841020717	0	0.0423167488593618
"ECB_01992"	0	1	0	0	0	0	0	0	0	0	0	-0.0115755917588861	0	-0.0305378204318444	-0.0163584418403582	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235506654423213	0	0	0
"ECB_02797"	0	0	1	0	0	0	0	0	0	0	0	0.186364295030374	0	-0.0254379396076784	-0.0290759897919336	0	0	0	0	0	0	0	0	0.0220688574473236	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0220434237655746	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0785496441563075	0	0	0
"ECB_02816"	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.230458181838553	0	0
"ECB_03722"	0	0	0	0	1	0	0	0	0	0	0	-0.00424486444479231	0	-0.0128276950284767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.231409741966373	0	0	0
"acpP"	0	0	0	0	0	1	0	0	0	0	0	0	0	0.0911489630051956	0.162029308879228	0	0	0.0362132716603773	0	0	0	0	0	0	0	0	0	0.0205507097998109	0	0	0	0	0	0	0	0	0	0	-0.00998444254906549	0	0	0	0	-0.00985870825001068	0	-0.00470947495672235	0	0	0	0	0	0	0	0	0	0.00508634384287648	0.00696800687439925	0	0	0	0.0119817682426529	0.0449338785733874	0.00800064164527898	0	0.000433664383127244	0	0	0	0	0	0	0	0	0	-0.0284426714587835	0.0103120163084322	0	0.068600241875182
"appC"	0	0	0	0	0	0	1	0	0	0	0	0.192337478513618	0	-0.0255073276034527	-0.0183329584020315	0	0	0	0	0	0	0	0	0.00968601900156447	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00965796900893356	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0715200277583913	0	0	0
"arcA"	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0.0131751980418486	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.164873935022763	0.147317021470963	0	0
"cycA"	0	0	0	0	0	0	0	0	1	0	0	0	0	0.0388343066820768	0.162914056541927	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0225059850957344	0.0124809339237058	0	0.0381385717651477
"envZ"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.235994905823646	0	0
"fabF"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	-0.0729598811980497	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.210463308816344	0	0
"flgB"	0	-0.0115755917588861	0.186364295030374	0	-0.00424486444479231	0	0.192337478513618	0	0	0	0	1	0.00843848876365853	-0.0355614203136341	-0.0815652567639838	0	0	0	0	0	0	-0.234191797397511	0	0.176672247265265	0	0.184242279568241	-0.00122950308019172	0	0.0571864133206567	0	0	-0.0021844290409171	0	0	0	0	0.191717478920722	-0.000442841668681848	0.0131190040798783	0	0	0	0	0.0130303735696668	0.193464915502332	0.0105851809196498	-0.00188235516334567	0.176693799293647	0.046599514053774	-0.00059246780925315	0	0.00522987607793462	0.189383620565609	-7.08481654854708e-05	0.0836968699577663	0	0	-0.000906419203722517	0	-0.0140133023235446	0	0	0	0	0	0	0	0	0	0	0.186459825996854	0	0.191336479993	-0.00022202597388995	-0.111634052550103	0.00961588893645158	0.19319020957993	-0.0328208103771361
"galF"	0	0	0	0	0	0	0	0	0	0	0	0.00843848876365853	1	0	-0.168443129174838	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.00377757305728885	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0872997820567604	0	-0.0476824137347001
