"ECB_01992"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iclR"	"infC"	"malT"	"mokC"	"mreB"	"mreC"	"nadR"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"spoT"	"trkH"	"ybaL"	"ybeB"	"ycdM"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yhdG"	"yieO"	"ylcG"
"ECB_01992"	1	0	0	0	0	0	0	-0.151946277559567	0	0	0	0.10212883554385	0	0	0	0	0.0398989180889052	0	0	0	0	0.205999125765243	0	-0.0250031753600241	0	0	0	0	0	-0.0524515938023286	-0.0994107559406745	-0.0125143431037354	0	0	-0.00100846247173326	0	0.105558997203838	0	0
"acpP"	0	1	-0.00113041348552264	0	0.127161290110092	0	-0.0354616650039523	0.0775799210457772	0.0860115402732309	0	0	0	0.117553502540723	0.0970454076354031	-0.0870929129653546	0	0	0.131092782156671	0	0	-0.00288584885108807	0	-0.0235254110771047	0	-0.0233163408723361	0	-0.0163627851779338	0	-0.00171963154372894	0	0.0633093855305683	0	0.120125845085861	0.132216486616118	0	0.119039175539854	-0.0467598267403166	0.073716947921427	0.00915704703030082
"appC"	0	-0.00113041348552264	1	0	0	0	0.238604472135372	-0.0168947645592467	-0.0348190839165874	0	0	0	0	-0.00777300921692774	0	0	0	0	0	0	0.201237691460327	0	-0.0145493543145919	0	-0.014320098348052	0.195812824836026	-0.00735358013147724	0.0110676522785377	0	0.109652413380619	0	0	0	0	0	0	0	0	0
"arcA"	0	0	0	1	0	-0.0429469655953657	0	0	0	0	-0.0677413454451591	0.0683068148195964	0	0	0	0.160455566248289	0	0	0.157393351823146	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0646324891080257	0.210935733661756
"cycA"	0	0.127161290110092	0	0	1	0	0	0.0282425550213426	0.198421690991946	0	0	0	0	0.145268092210223	0	0	0	0.024194527237767	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0276502987204822	0	0	0	0	0
"fabF"	0	0	0	-0.0429469655953657	0	1	0	0.000736239889922318	0	0	0.203581662448057	-0.11881325453368	0	0	0	-0.0285411982803678	-0.0650801362216157	0	-0.0229575485341173	0	0	0	0.0986292372074696	0.0569120729781	0.0982523051090138	0	0.0859193608740834	-0.08497696857678	0.0563425142036473	0	0	0.0472722353854336	0	0	0.0385024213772258	0	0	-0.033186267897315	-0.110254180300886
"flgB"	0	-0.0354616650039523	0.238604472135372	0	0	0	1	0	-0.058094268120968	0	0	0	0	-0.0403543699514484	0	0	-0.029318266369865	0	0	0	0.238415807752843	0	-0.0371833386593158	0	-0.0371633919085991	0.238792808062362	-0.0368471004969647	0.094605186992618	-0.0233402613482124	0.205952532730266	0	0	0	0	0	0	-0.0722306884104289	0	-0.0294866281340252
"hokB"	-0.151946277559567	0.0775799210457772	-0.0168947645592467	0	0.0282425550213426	0.000736239889922318	0	1	0.065603188437835	0	0	-0.0799492899232278	0.00625668719778712	0.0744688669953672	-0.172440853098061	0	0	0.0390693212885064	0	0	-0.0145120968576954	-0.147356642899919	0	0.132266539481738	0	-0.0206123927148188	0	-0.238729453163161	0	0	0.286972388184952	0.133005935016394	0.00930784685529791	0.0426956790782977	0.133146555551465	0.00795162909246158	-0.128105153862756	0	0
"hokD"	0	0.0860115402732309	-0.0348190839165874	0	0.198421690991946	0	-0.058094268120968	0.065603188437835	1	0	0	0	0.200047632979595	0.0626598552078376	-0.192445583182851	0	0.0976579689310035	0.199200298960258	0	0	-0.036158818427176	0	-0.0361635427755434	0	-0.0361173068215838	-0.0317899708938078	-0.0343016778202739	0	-0.0296709330192389	0	0.0838255634775687	0	0.201307460458528	0.19918502179336	0	0.20088598872759	-0.0607510351809941	0.140214581959446	0.0055399832481113
"hslU"	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iclR"	0	0	0	-0.0677413454451591	0	0.203581662448057	0	0	0	0	1	-0.11798433652827	0	0	0	-0.0578251874201106	-0.137200108312666	0	-0.0542709318052266	0	0	0	0.110899607600573	0.0721269627208922	0.110662372959225	0	0.102730841001902	-0.133424071869435	0.081298039923422	0	0	0.0656381688059535	0	0	0.0599449264083608	0	0	-0.0856104789259879	-0.0863771508150691
"infC"	0.10212883554385	0	0	0.0683068148195964	0	-0.11881325453368	0	-0.0799492899232278	0	0	-0.11798433652827	1	0	0	0	0.0571529983879845	0.162186861989856	0	0.0519701930002899	0	0	0.107890370365796	0	-0.123888431019864	0	0	0	0.0316340673346793	0	-0.144643917509962	-0.0847461416317072	-0.118293984035207	0	0	-0.113424778660733	0	0	0	0.106021772591573
