"ECB_01992"	"ECB_03722"	"acpP"	"appC"	"arcA"	"cycA"	"fabF"	"flgB"	"hokB"	"hokD"	"hslU"	"iap"	"iclR"	"infB"	"infC"	"malT"	"metH"	"mokC"	"mreB"	"mreC"	"nadR"	"oppD"	"phoH"	"prlA"	"pykF"	"rbsA"	"rbsB"	"rbsD"	"rbsR"	"rplF"	"rpsA"	"rpsC"	"sapF"	"speG"	"spoT"	"trkH"	"wzy"	"ybaE"	"ybaL"	"ybbN"	"ybeB"	"ycdM"	"yceK"	"ycfC"	"yecE"	"yeeR"	"yeeU"	"yfaQ"	"yfcTU"	"yggM"	"ygjD"	"yhdG"	"yieO"	"yihP"	"ylcG"
"ECB_01992"	1	0.00523017382430737	-0.0263238750762179	0	0	0	0	-0.0303159799833458	-0.186416659415752	-0.0689184065618777	0	0	0	0	0	0	0	-0.0629542563322944	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.036809664132251	0	0.0368407403018594	0	0	0	0	0	0	0	0	0	0	0	0
"ECB_03722"	0.00523017382430737	1	-0.0134247986209046	0	0	0	0	0	-0.195966626107907	-0.0687289749838028	0	0	0	0	0	0	0	-0.0515126438780592	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0188620797407585	0	0.0107172258287855	0	0	0	0	0	0	0	0	0	0	0	0
"acpP"	-0.0263238750762179	-0.0134247986209046	1	0	0.0111163352800311	0.0575806499676028	-0.0034363148772204	0	0.0658982543698125	0.092206736334965	0	0	-0.0167896183293095	0	0	0.0286939909059714	0	0.0416138373793735	-0.0455578129888857	0	0	0	0.0623851704813707	0	0	0	-0.00745902491768155	-0.0603553626325505	0	-0.0603962813517802	0	-0.0590004265129258	-0.00905359618929802	0	0	-0.0507046343918323	0	0	0	0.0673784649594233	0.0283555329935819	0	-0.0271030978400829	0.072785489266093	0.0698985833175916	0.0459863743546658	0.0638967684103742	0	0.0451252069266974	0	0	0	0.0510065161795548	0	0
"appC"	0	0	0	1	0	0	0	0.276767460192119	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0246398614227068	0	0	0	0	0.0196837481238282	0	0	0.0853483159497846	0	0	0.0303610498391441	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0255844141332987	0
"arcA"	0	0	0.0111163352800311	0	1	0	0	0.207642676333384	0.0111914971634533	0.115467243789578	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000125311717215228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.13270193141845
"cycA"	0	0	0.0575806499676028	0	0	1	0	0	0.0696004912822038	0.188284271305836	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0154219095330666
"fabF"	0	0	-0.0034363148772204	0	0	0	1	0	0	-0.0584786373169586	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.28946329877128
"flgB"	-0.0303159799833458	0	0	0.276767460192119	0.207642676333384	0	0	1	0.00528829672455706	-0.0775269469024674	0	0	0	0	-0.0108931928825775	0	0.209452325272851	0	0.206356256237374	0	0.0220398587261326	0	0	0	0	0.275675666256656	0	-0.060414796418359	0	-0.0599049043362654	0.278541446056412	-0.0479771539511513	0	0.222030531952688	0.16403333028193	-0.0397550119431173	0.272242832239391	0	0.33980549087163	0	0	0	-0.0428520896831003	0	0	0	0	0	0	0	0	-0.214846291574906	0	0.275155307667316	-0.0293532213401249
"hokB"	-0.186416659415752	-0.195966626107907	0.0658982543698125	0	0.0111914971634533	0.0696004912822038	0	0.00528829672455706	1	0.0159358582100681	0	-0.00818171223719383	0	-0.0060849132297602	-0.237890328292468	0	-0.00647494520783868	0.221489320800033	0	-0.00808868962828716	0	-0.00869586381159577	0.0774824932341838	-0.00738771031312945	0	0	-0.199640722616405	-0.0244600520878181	0.157782331755006	-0.0243710473050719	0	-0.0207757181569975	-0.199136155006511	0	-0.156832360693457	-0.0128386809930376	0	-0.197901620183179	0.0663875956738484	0.0857890949341617	0.250173844480317	0.156285273168438	-0.182060365050412	0.0967517674129456	0.0904064644678222	0.0505708225333859	0.079995399383046	0.154868281071522	0.0491601611050418	-0.00839333747084197	-0.0084583173856034	-0.16336091906016	0	0	-0.02341100598912
"hokD"	-0.0689184065618777	-0.0687289749838028	0.092206736334965	0	0.115467243789578	0.188284271305836	-0.0584786373169586	-0.0775269469024674	0.0159358582100681	1	0	0	-0.0373412347805918	-0.0509356154440662	0	0.166153631780288	0	0.0969738234351961	-0.256547097219114	0	0	0	0.188308787049861	0	0	0	-0.0668807910097999	-0.114107922815326	0	-0.114409366295529	0	-0.120043636763701	-0.0675209086739686	-0.0064666651437549	0	-0.12081945529779	0	-0.0599906198652914	0	0.189006742351744	0.0921922252300094	0	-0.0677839475645302	0.187856234467402	0.189203716888347	0.18943638513727	0.188402724833415	0	0.189617390530156	0	0	0	0.174867635787566	0	0
"hslU"	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"iap"	0	0	0	0	0	0	0	0	-0.00818171223719383	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.261244831070079
"iclR"	0	0	-0.0167896183293095	0	0	0	0	0	0	-0.0373412347805918	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.026402911039217	0	0.0260131543376685	0	0.0112272836179998	0	-0.000683014600073621	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.306148969671674
"infB"	0	0	0	0	0	0	0	0	-0.0060849132297602	-0.0509356154440662	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-0.0443222212553522
